experiment	run	sex	age_group	fold
SRP053274	SRR2984394	female	infant	3
SRP053274	SRR2984373	female	infant	3
SRP053274	SRR1791589	female	infant	3
SRP053274	SRR2984375	female	infant	3
SRP068304	SRR3096845	male	infant	3
SRP068304	SRR3096844	male	infant	3
SRP068304	SRR3096839	male	infant	3
SRP068304	SRR3096838	male	infant	3
SRP045638	SRR2071357	male	infant	1
SRP045638	SRR2071362	male	infant	1
SRP045638	SRR1554551	male	infant	1
SRP045638	SRR2071365	female	infant	1
SRP045638	SRR2071360	male	infant	1
SRP055454	SRR1817593	female	infant	2
SRP055454	SRR1817598	female	infant	2
SRP055454	SRR1817599	female	infant	2
SRP055454	SRR1817596	female	infant	2
SRP055454	SRR1817583	female	infant	2
SRP055454	SRR1817639	female	infant	2
SRP055454	SRR1817594	female	infant	2
SRP055454	SRR1817641	female	infant	2
SRP045638	SRR1554553	male	infant	1
SRP045638	SRR2071364	male	infant	1
SRP045638	SRR2071355	female	infant	1
SRP186520	SRR8606676	male	infant	2
SRP186520	SRR8606671	male	infant	2
SRP186520	SRR8606672	male	infant	2
SRP186520	SRR8606670	male	infant	2
SRP186520	SRR8606678	male	infant	2
SRP186520	SRR8606677	male	infant	2
SRP187586	SRR8670612	male	infant	2
SRP187586	SRR8670626	male	infant	2
SRP187586	SRR8670618	male	infant	2
SRP187586	SRR8670625	male	infant	2
SRP187586	SRR8670624	male	infant	2
SRP187586	SRR8670630	male	infant	2
SRP187586	SRR8670632	male	infant	2
SRP187586	SRR8670613	male	infant	2
SRP187586	SRR8670631	male	infant	2
SRP058740	SRR2040575	male	infant	1
SRP058740	SRR2040582	male	infant	1
SRP058740	SRR2040579	male	infant	1
SRP058740	SRR2040577	male	infant	1
ERP104782	ERR2174146	female	infant	2
ERP104782	ERR2174145	female	infant	2
SRP031868	SRR1015621	male	infant	1
SRP031868	SRR1015620	male	infant	1
SRP032476	SRR1027895	female	infant	2
SRP041706	SRR1272187	male	infant	2
SRP055435	SRR1806787	male	infant	3
SRP072769	SRR3322277	male	infant	2
SRP072769	SRR3322290	male	infant	2
SRP072769	SRR3322289	male	infant	2
SRP072769	SRR3322278	male	infant	2
SRP083126	SRR4102093	male	infant	3
SRP083126	SRR4102299	male	infant	3
SRP058740	SRR2040578	male	infant	1
SRP058740	SRR2040580	male	infant	1
SRP058740	SRR2040576	male	infant	1
SRP058740	SRR2040581	male	infant	1
SRP058414	SRR2032007	female	infant	1
SRP045638	SRR2071363	female	infant	1
SRP058414	SRR2032113	male	infant	1
ERP104782	ERR2174144	female	infant	2
ERP104782	ERR2174143	female	infant	2
SRP032476	SRR1027748	female	infant	2
SRP032476	SRR1027902	female	infant	2
SRP032476	SRR1027886	male	infant	2
SRP032476	SRR1027893	male	infant	2
SRP032476	SRR1027891	male	infant	2
SRP032476	SRR1027852	male	infant	2
SRP044228	SRR1510124	male	infant	2
SRP055435	SRR1806752	male	infant	3
SRP058414	SRR2032105	female	infant	1
SRP058414	SRR2032106	female	infant	1
SRP072769	SRR3322291	male	infant	2
SRP072769	SRR3322292	male	infant	2
SRP072769	SRR3322280	female	infant	2
SRP072769	SRR3322279	female	infant	2
SRP110289	SRR5750779	female	infant	2
SRP186520	SRR8606681	male	infant	2
SRP186520	SRR8606679	male	infant	2
SRP186520	SRR8606675	male	infant	2
SRP186520	SRR8606680	male	infant	2
SRP186520	SRR8606673	male	infant	2
SRP186520	SRR8606674	male	infant	2
SRP187586	SRR8670635	male	infant	2
SRP187586	SRR8670621	male	infant	2
SRP187586	SRR8670615	male	infant	2
SRP187586	SRR8670629	male	infant	2
SRP187586	SRR8670634	male	infant	2
SRP192714	SRR8908896	male	infant	2
SRP192714	SRR8908899	male	infant	2
SRP192714	SRR8908898	male	infant	2
SRP192714	SRR8908897	male	infant	2
SRP045638	SRR2071354	female	young_child	1
SRP115571	SRR5938439	female	young_child	3
SRP032476	SRR1027841	female	young_child	2
SRP032476	SRR1027898	female	young_child	2
SRP032476	SRR1027900	male	young_child	2
SRP032476	SRR1027840	female	young_child	2
SRP032476	SRR1027888	female	young_child	2
SRP055435	SRR1806776	male	young_child	3
SRP058414	SRR2032038	male	young_child	1
SRP058414	SRR2032020	male	young_child	1
SRP058414	SRR2032108	male	young_child	1
SRP058414	SRR2031977	male	young_child	1
SRP062178	SRR2149896	male	young_child	1
SRP062178	SRR2149937	male	young_child	1
SRP062178	SRR2149943	male	young_child	1
SRP066267	SRR2919508	male	young_child	3
SRP192714	SRR8908807	female	young_child	2
SRP192714	SRR8908816	female	young_child	2
SRP192714	SRR8908827	female	young_child	2
SRP192714	SRR8908804	female	young_child	2
SRP192714	SRR8908830	female	young_child	2
SRP192714	SRR8908823	female	young_child	2
SRP192714	SRR8908802	female	young_child	2
SRP192714	SRR8908808	female	young_child	2
SRP192714	SRR8908831	female	young_child	2
SRP192714	SRR8908821	female	young_child	2
SRP192714	SRR8908812	female	young_child	2
SRP192714	SRR8908800	female	young_child	2
SRP192714	SRR8908809	female	young_child	2
SRP192714	SRR8908820	female	young_child	2
SRP192714	SRR8908810	female	young_child	2
SRP192714	SRR8908801	female	young_child	2
SRP192714	SRR8908818	female	young_child	2
SRP192714	SRR8908834	female	young_child	2
SRP192714	SRR8908835	female	young_child	2
SRP192714	SRR8908814	female	young_child	2
SRP192714	SRR8908817	female	young_child	2
SRP192714	SRR8908826	female	young_child	2
SRP192714	SRR8908828	female	young_child	2
SRP192714	SRR8908813	female	young_child	2
SRP192714	SRR8908825	female	young_child	2
SRP192714	SRR8908806	female	young_child	2
SRP192714	SRR8908824	female	young_child	2
SRP192714	SRR8908811	female	young_child	2
SRP192714	SRR8908822	female	young_child	2
SRP192714	SRR8908805	female	young_child	2
SRP192714	SRR8908833	female	young_child	2
SRP192714	SRR8908815	female	young_child	2
SRP192714	SRR8908829	female	young_child	2
SRP192714	SRR8908803	female	young_child	2
SRP192714	SRR8908832	female	young_child	2
SRP192714	SRR8908819	female	young_child	2
SRP045638	SRR2071356	male	young_child	1
SRP105312	SRR5483035	female	young_child	3
SRP035252	SRR1104902	female	young_child	3
SRP035252	SRR1104903	female	young_child	3
SRP035252	SRR1104905	female	young_child	3
SRP115571	SRR5938421	male	young_child	3
SRP031868	SRR1057968	male	young_child	1
SRP031868	SRR1057967	male	young_child	1
SRP058414	SRR2032043	male	young_child	1
SRP062178	SRR2149949	male	young_child	1
SRP062178	SRR2149844	male	young_child	1
SRP099346	SRR5248349	male	young_child	2
SRP110289	SRR5750776	female	young_child	2
SRP154276	SRR7535099	female	young_child	1
SRP192714	SRR8908608	female	young_child	2
SRP192714	SRR8908778	female	young_child	2
SRP192714	SRR8908783	female	young_child	2
SRP192714	SRR8908799	male	young_child	2
SRP192714	SRR8908779	female	young_child	2
SRP192714	SRR8908781	female	young_child	2
SRP192714	SRR8908607	female	young_child	2
SRP192714	SRR8908606	female	young_child	2
SRP192714	SRR8908785	female	young_child	2
SRP192714	SRR8908612	female	young_child	2
SRP192714	SRR8908784	female	young_child	2
SRP192714	SRR8908788	male	young_child	2
SRP192714	SRR8908798	male	young_child	2
SRP192714	SRR8908782	female	young_child	2
SRP192714	SRR8908615	female	young_child	2
SRP192714	SRR8908795	male	young_child	2
SRP192714	SRR8908790	male	young_child	2
SRP192714	SRR8908605	female	young_child	2
SRP192714	SRR8908787	female	young_child	2
SRP192714	SRR8908610	female	young_child	2
SRP192714	SRR8908604	female	young_child	2
SRP192714	SRR8908614	female	young_child	2
SRP192714	SRR8908780	female	young_child	2
SRP192714	SRR8908791	male	young_child	2
SRP192714	SRR8908611	female	young_child	2
SRP192714	SRR8908792	male	young_child	2
SRP192714	SRR8908794	male	young_child	2
SRP192714	SRR8908613	female	young_child	2
SRP192714	SRR8908797	male	young_child	2
SRP192714	SRR8908789	male	young_child	2
SRP192714	SRR8908777	female	young_child	2
SRP192714	SRR8908793	male	young_child	2
SRP192714	SRR8908609	female	young_child	2
SRP192714	SRR8908796	male	young_child	2
SRP192714	SRR8908776	female	young_child	2
SRP192714	SRR8908786	female	young_child	2
SRP211963	SRR9596422	female	young_child	1
SRP211963	SRR9596418	female	young_child	1
SRP211963	SRR9596417	female	young_child	1
SRP115571	SRR5938459	female	young_child	3
SRP045638	SRR2071375	male	young_child	1
SRP044228	SRR1510125	female	young_child	2
SRP072739	SRR3329447	male	young_child	3
SRP072739	SRR3329450	male	young_child	3
SRP072739	SRR3329443	male	young_child	3
SRP072739	SRR3329620	male	young_child	3
SRP115571	SRR5938429	male	young_child	3
SRP045638	SRR2071376	male	young_child	1
SRP045638	SRR2071353	male	young_child	1
SRP044228	SRR1510126	male	young_child	2
SRP044228	SRR1510127	female	young_child	2
SRP058414	SRR2032039	female	young_child	1
SRP062178	SRR2149942	male	young_child	1
SRP099346	SRR5248356	male	young_child	2
SRP099346	SRR5248355	male	young_child	2
SRP099346	SRR5248347	male	young_child	2
SRP099346	SRR5248358	female	young_child	2
SRP192714	SRR8908837	male	young_child	2
SRP192714	SRR8908845	male	young_child	2
SRP192714	SRR8908601	male	young_child	2
SRP192714	SRR8908848	male	young_child	2
SRP192714	SRR8908894	female	young_child	2
SRP192714	SRR8908425	female	young_child	2
SRP192714	SRR8908842	male	young_child	2
SRP192714	SRR8908858	male	young_child	2
SRP192714	SRR8908895	female	young_child	2
SRP192714	SRR8908886	female	young_child	2
SRP192714	SRR8908872	female	young_child	2
SRP192714	SRR8908852	male	young_child	2
SRP192714	SRR8908422	female	young_child	2
SRP192714	SRR8908602	male	young_child	2
SRP192714	SRR8908841	male	young_child	2
SRP192714	SRR8908600	male	young_child	2
SRP192714	SRR8908418	female	young_child	2
SRP192714	SRR8908424	female	young_child	2
SRP192714	SRR8908417	female	young_child	2
SRP192714	SRR8908875	female	young_child	2
SRP192714	SRR8908836	male	young_child	2
SRP192714	SRR8908853	male	young_child	2
SRP192714	SRR8908419	female	young_child	2
SRP192714	SRR8908874	female	young_child	2
SRP192714	SRR8908876	female	young_child	2
SRP192714	SRR8908421	female	young_child	2
SRP192714	SRR8908881	female	young_child	2
SRP192714	SRR8908843	male	young_child	2
SRP192714	SRR8908856	male	young_child	2
SRP192714	SRR8908847	male	young_child	2
SRP192714	SRR8908883	female	young_child	2
SRP192714	SRR8908838	male	young_child	2
SRP192714	SRR8908893	female	young_child	2
SRP192714	SRR8908887	female	young_child	2
SRP192714	SRR8908855	male	young_child	2
SRP192714	SRR8908892	female	young_child	2
SRP192714	SRR8908423	female	young_child	2
SRP192714	SRR8908880	female	young_child	2
SRP192714	SRR8908888	female	young_child	2
SRP192714	SRR8908889	female	young_child	2
SRP192714	SRR8908426	female	young_child	2
SRP192714	SRR8908846	male	young_child	2
SRP192714	SRR8908857	male	young_child	2
SRP192714	SRR8908844	male	young_child	2
SRP192714	SRR8908420	female	young_child	2
SRP192714	SRR8908840	male	young_child	2
SRP192714	SRR8908849	male	young_child	2
SRP192714	SRR8908603	male	young_child	2
SRP192714	SRR8908877	female	young_child	2
SRP192714	SRR8908839	male	young_child	2
SRP192714	SRR8908891	female	young_child	2
SRP192714	SRR8908851	male	young_child	2
SRP192714	SRR8908859	male	young_child	2
SRP192714	SRR8908882	female	young_child	2
SRP192714	SRR8908879	female	young_child	2
SRP192714	SRR8908850	male	young_child	2
SRP192714	SRR8908885	female	young_child	2
SRP192714	SRR8908873	female	young_child	2
SRP192714	SRR8908427	female	young_child	2
SRP192714	SRR8908884	female	young_child	2
SRP192714	SRR8908416	female	young_child	2
SRP192714	SRR8908878	female	young_child	2
SRP192714	SRR8908854	male	young_child	2
SRP192714	SRR8908890	female	young_child	2
SRP105312	SRR5483038	female	young_child	3
SRP115571	SRR5938440	male	young_child	3
SRP066267	SRR2919509	male	young_child	3
SRP072739	SRR3329444	female	young_child	3
SRP072739	SRR3329448	female	young_child	3
SRP072739	SRR3329452	female	young_child	3
SRP072739	SRR3329621	female	young_child	3
SRP044228	SRR1510128	male	young_child	2
ERP016816	ERR1578756	male	young_child	1
SRP058414	SRR2032112	female	young_child	1
SRP062178	SRR2149935	male	young_child	1
SRP072739	SRR3329453	male	young_child	3
SRP072739	SRR3329623	male	young_child	3
SRP072739	SRR3329449	male	young_child	3
SRP072739	SRR3329445	male	young_child	3
SRP096825	SRR5179137	male	young_child	1
SRP096825	SRR5179138	male	young_child	1
SRP096825	SRR5179136	male	young_child	1
SRP099346	SRR5248361	male	young_child	2
SRP099346	SRR5248353	female	young_child	2
SRP110289	SRR5750772	female	young_child	2
SRP192714	SRR8908868	male	young_child	2
SRP192714	SRR8908864	male	young_child	2
SRP192714	SRR8908866	male	young_child	2
SRP192714	SRR8908867	male	young_child	2
SRP192714	SRR8908869	male	young_child	2
SRP192714	SRR8908871	male	young_child	2
SRP192714	SRR8908860	male	young_child	2
SRP192714	SRR8908865	male	young_child	2
SRP192714	SRR8908862	male	young_child	2
SRP192714	SRR8908863	male	young_child	2
SRP192714	SRR8908870	male	young_child	2
SRP192714	SRR8908861	male	young_child	2
SRP032775	SRR1027004	female	young_child	1
SRP032775	SRR1177747	female	young_child	1
SRP032775	SRR1177751	male	young_child	1
SRP032775	SRR1027010	female	young_child	1
SRP115571	SRR5938449	female	young_child	3
SRP032775	SRR1027011	female	young_child	1
SRP032775	SRR1177752	male	young_child	1
SRP032775	SRR1177748	female	young_child	1
SRP032775	SRR1027005	female	young_child	1
SRP032775	SRR1177753	female	young_child	1
SRP032775	SRR1177749	female	young_child	1
SRP032775	SRR1177755	female	young_child	1
SRP032775	SRR1027008	female	young_child	1
SRP032775	SRR1177754	female	young_child	1
SRP032775	SRR1027006	female	young_child	1
SRP032775	SRR1177750	female	young_child	1
SRP032775	SRR1177756	female	young_child	1
SRP032775	SRR1027009	female	young_child	1
SRP032775	SRR1027007	female	young_child	1
SRP062178	SRR2149947	male	young_child	1
SRP062178	SRR2149940	male	young_child	1
SRP062178	SRR2149936	male	young_child	1
SRP062178	SRR2149951	male	young_child	1
SRP072769	SRR3322299	female	young_child	2
SRP099346	SRR5248363	male	young_child	2
SRP099346	SRR5248354	female	young_child	2
SRP099346	SRR5248360	female	young_child	2
SRP192714	SRR8908560	female	young_child	2
SRP192714	SRR8908720	male	young_child	2
SRP192714	SRR8908400	female	young_child	2
SRP192714	SRR8908552	female	young_child	2
SRP192714	SRR8908719	male	young_child	2
SRP192714	SRR8908428	female	young_child	2
SRP192714	SRR8908550	male	young_child	2
SRP192714	SRR8908562	female	young_child	2
SRP192714	SRR8908467	female	young_child	2
SRP192714	SRR8908555	female	young_child	2
SRP192714	SRR8908718	male	young_child	2
SRP192714	SRR8908561	female	young_child	2
SRP192714	SRR8908443	male	young_child	2
SRP192714	SRR8908691	female	young_child	2
SRP192714	SRR8908450	male	young_child	2
SRP192714	SRR8908459	female	young_child	2
SRP192714	SRR8908721	male	young_child	2
SRP192714	SRR8908723	male	young_child	2
SRP192714	SRR8908540	male	young_child	2
SRP192714	SRR8908547	male	young_child	2
SRP192714	SRR8908452	female	young_child	2
SRP192714	SRR8908394	female	young_child	2
SRP192714	SRR8908699	female	young_child	2
SRP192714	SRR8908556	female	young_child	2
SRP192714	SRR8908447	male	young_child	2
SRP192714	SRR8908436	female	young_child	2
SRP192714	SRR8908553	female	young_child	2
SRP192714	SRR8908431	female	young_child	2
SRP192714	SRR8908469	female	young_child	2
SRP192714	SRR8908453	female	young_child	2
SRP192714	SRR8908549	male	young_child	2
SRP192714	SRR8908458	female	young_child	2
SRP192714	SRR8908432	female	young_child	2
SRP192714	SRR8908696	female	young_child	2
SRP192714	SRR8908456	female	young_child	2
SRP192714	SRR8908448	male	young_child	2
SRP192714	SRR8908460	female	young_child	2
SRP192714	SRR8908484	male	young_child	2
SRP192714	SRR8908470	female	young_child	2
SRP192714	SRR8908430	female	young_child	2
SRP192714	SRR8908486	male	young_child	2
SRP192714	SRR8908449	male	young_child	2
SRP192714	SRR8908688	female	young_child	2
SRP192714	SRR8908487	male	young_child	2
SRP192714	SRR8908402	female	young_child	2
SRP192714	SRR8908477	male	young_child	2
SRP192714	SRR8908465	female	young_child	2
SRP192714	SRR8908396	female	young_child	2
SRP192714	SRR8908476	male	young_child	2
SRP192714	SRR8908689	female	young_child	2
SRP192714	SRR8908444	male	young_child	2
SRP192714	SRR8908698	female	young_child	2
SRP192714	SRR8908483	male	young_child	2
SRP192714	SRR8908435	female	young_child	2
SRP192714	SRR8908401	female	young_child	2
SRP192714	SRR8908482	male	young_child	2
SRP192714	SRR8908693	female	young_child	2
SRP192714	SRR8908714	male	young_child	2
SRP192714	SRR8908479	male	young_child	2
SRP192714	SRR8908468	female	young_child	2
SRP192714	SRR8908472	female	young_child	2
SRP192714	SRR8908463	female	young_child	2
SRP192714	SRR8908715	male	young_child	2
SRP192714	SRR8908461	female	young_child	2
SRP192714	SRR8908398	female	young_child	2
SRP192714	SRR8908438	female	young_child	2
SRP192714	SRR8908393	female	young_child	2
SRP192714	SRR8908455	female	young_child	2
SRP192714	SRR8908542	male	young_child	2
SRP192714	SRR8908471	female	young_child	2
