gene	male_adolescent_3
100287177	-0.0018557368855445
100287366	0
100287482	0.0370748798632852
100287569	0
100287616	-0.00910287700168126
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0.00696904764591795
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	0
100289187	-0.02554675987898796
100289274	0.01451424433931666
100289341	0
100289373	0.01218002444156147
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0.01991229861469137
100294720	0
1003	0
100302691	0
100303728	0
100303755	0
100306951	0
100316904	0
100329135	0
100359394	0
10036	0.00815766937047636
100379174	0
10038	-0.00822432327022385
100381270	-0.02035038987062495
10039	-0.01052832033266942
1004	-0.01407783934411843
10040	0
10042	0.01209386340859327
100422737	-0.01678843962579194
10043	0.01616207396460182
10044	0
10045	0.0015233873261195
10046	-0.05184287515676013
10047	0
10048	0
10049	-0.00293755603160307
100499171	0.01206352492042437
1005	0
10050	0
100500850	-0.01792912633169643
100505474	0
100505478	0
100505495	0.01995570589636506
100505501	0
100505515	0
100505538	-6.0211625410076e-4
100505540	0
100505545	0
100505549	0
100505573	-0.00576767737462127
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0.04061992766903235
100505641	0.00369241140633572
100505658	0
100505659	-0.0054523858050306
100505664	0
100505676	0
100505681	2.2063455245914054e-5
100505685	0
100505687	0
100505696	0
100505715	0.01785787911137977
100505718	0
100505738	-0.00108192911410563
100505741	0
100505746	-0.01959787108967038
100505761	-0.01080231413115226
100505768	0
100505776	0.0125187208242969
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0.00479262949119506
100505839	0
100505841	-1.700126058884e-4
100505851	0.02100503852136415
100505854	0
100505876	0
100505877	0
100505879	0
100505881	-0.00381665922617928
100505890	0
100505893	0
100505894	0
100505933	0.00616585084025279
100505964	0.00404878068543541
100505967	0
100505975	0
100505978	0
100505984	0.00341175798465148
100505985	0
100505989	0.00176910523175218
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	-0.01487457679039448
100506071	-0.05605960727716498
100506082	0
100506083	0
100506098	0.00551630861872667
100506100	-0.02284584770926836
100506107	0
100506108	0
100506113	-0.01177249891172333
100506115	-0.05500379005734875
100506119	0
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0
100506172	-0.00726979749471874
100506175	-0.00358905219530247
100506195	0
100506207	0
100506215	0.01173854530168571
100506229	-0.0646813228026284
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0.01989111319017771
100506314	0.1362426432611024
100506319	0
100506368	0
100506374	0.02134972011908936
100506380	6.2727884655363e-4
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	-0.00464736142733266
100506457	-0.02190356771072367
100506462	-0.01500924744759137
100506465	0
100506469	0.00456430427891865
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0.0046414837573761
100506504	-0.00600344462163329
100506526	0.00222478759630911
100506527	0
100506530	0
100506540	-0.00821853608366322
100506542	0
100506571	0
100506581	0
100506599	-0.00683276324069199
100506603	0.01074515090851704
100506606	0.00344574037196381
100506622	-0.02638028994959055
100506655	0
100506660	0
100506668	-0.00657709009985349
100506675	-0.07201035643979123
100506677	0
100506679	0
100506680	0
100506686	0.01138017889578448
100506691	0.0106912460621803
100506696	0
100506697	0
100506710	0
100506713	-0.02716216189429169
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0.01006961584667017
100506757	0
100506765	0
100506776	0.02912045319183321
100506779	0.03118059170617707
100506790	0
100506791	0
100506795	0
100506797	0.01179224130185735
100506826	0
100506827	0.00122856230329887
100506834	0
100506840	0
100506866	-0.01398560241182051
100506874	0
100506895	0
100506907	0
100506922	0
100506930	0.01586997876195285
100506963	0
100506994	0.00483259283455711
100506999	9.8432959394143e-4
100507027	0.00693482446488919
100507034	-0.00292148342399851
100507050	0
100507057	0
100507058	0
100507059	0
100507062	-0.00163704055997372
100507064	-0.01634932706977107
100507086	0
100507114	0
100507117	0.01998017396194704
100507143	0
100507156	0
100507171	-0.00359746769835021
100507173	0
100507203	0
100507206	0
100507240	0
100507246	0
100507250	-0.00254886058696958
100507254	0
100507257	-0.01221238453103977
