gene	male_adult_2
100289678	0.01540446864267841
100292680	0
100293516	0
100294362	-0.00728716893424623
100294720	0
1003	-0.00628386260227277
100302691	0
100303728	0
100303755	-0.00743956664560898
100306951	0
100316904	1.1008552204031e-4
100329135	0
100359394	0
10036	-0.05914394839106897
100379174	0
10038	0
100381270	0.01685141854790618
10039	0.00106942290176109
1004	0
10040	0.02066450064962544
10042	-0.00478399058954982
100422737	0
10043	0
10044	-0.00410220791868578
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	-0.03829173785473593
100505474	0
100505478	0
100505495	0.00183398727295303
100505501	0
100505515	0
100505538	0.05117631760260232
100505540	0
100505545	0
100505549	-0.00608457308820984
100505573	0
100505583	0
100505609	0
100505616	-0.04632049394869963
100505619	0
100505622	0.01741427263272093
100505624	0
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0
100505715	-0.00127976563910679
100505718	0
100505738	0
100505741	0
100505746	-0.00157158169746424
100505761	0
100505768	0
100505776	0
100505782	0
100505783	-0.00755513987534244
100505797	0.01558580866046483
100505811	0
100505812	0
100505826	0.02753001278265961
100505839	0
100505841	0
100505851	0
100505854	0.03851347412274073
100505876	0
100505877	0
100505879	0
100505881	0.05117730920763685
100505890	0
100505893	0
100505894	0.01486303776416134
100505933	0
100505964	0
100505967	0
100505975	0.00926943643291158
100505978	0
100505984	0.00275315677397727
100505985	0
100505989	0
100506012	0
100506013	0
100506022	0.0210958726268161
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0
100506083	0
100506098	0
100506100	0.01459398882564704
100506107	0
100506108	0
100506113	0
100506115	0.00685497012863463
100506119	-0.06823045072425397
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0
100506172	1.1344591641643e-4
100506175	0
100506195	0
100506207	0
100506215	0.00985645181006237
100506229	0.04163349317704661
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	-0.01341617724124913
100506319	-0.00468607712939377
100506368	0
100506374	0
100506380	0
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	0
100506457	0
100506462	0.01369398361532586
100506465	-0.00783891618763785
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	-0.03807636986412137
100506526	0
100506527	0
100506530	0
100506540	-0.00172533116587608
100506542	0
100506571	0
100506581	0
100506599	-0.00791938582948993
100506603	-0.00503507633269307
100506606	0
100506622	0
100506655	0
100506660	0
100506668	-0.02043555983269749
100506675	-0.00161413286078583
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0
100506696	0
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0
100506826	0.00897028486190579
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	0.01653843119271576
100506930	0
100506963	-0.00486450462170414
100506994	0.00496344964957111
100506999	0
100507027	0
100507034	0
100507050	0
100507057	0.03503972896220574
100507058	0
100507059	0
