gene	male_middle_adult_3
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0
100287616	0
100287814	0
100287896	-0.00753373386334999
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	-0.04042854484518572
100289187	0
100289274	0
100289341	0
100289373	-0.0111055668587668
100289495	0
100289635	-0.02234783385509354
100289678	0
100292680	0
100293516	-0.00617465522251143
100294362	0
100294720	-0.00130417891334455
1003	0
100302691	0
100303728	-0.01290850213270034
100303755	0
100306951	-0.01320545898574726
100316904	0.01625475049353971
100329135	0
100359394	0
10036	0
100379174	0
10038	0.02717515020139151
100381270	0
10039	0.02142678036608631
1004	0
10040	0
10042	0
100422737	0
10043	0
10044	0
10045	0
10046	0.04273979204336564
10047	0
10048	0
10049	0
100499171	-0.00215121396914357
1005	0
10050	0
100500850	-0.03831298702526824
100505474	0
100505478	0
100505495	0
100505501	-0.00708086183032857
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0.0015660336334867
100505619	0
100505622	-0.00738828579998623
100505624	0
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0
100505715	-0.01134069431967259
100505718	0
100505738	0
100505741	0.01367227354844262
100505746	0
100505761	0.01694770393923974
100505768	0
100505776	0
100505782	0
100505783	-0.02441281404903515
100505797	0
100505811	0
100505812	0
100505826	-0.00507794203464341
100505839	0
100505841	0
100505851	-0.01614610664618086
100505854	0
100505876	3.6504956127311e-4
100505877	0
100505879	0
100505881	0.06259624243975603
100505890	0
100505893	0
100505894	0
100505933	0.00710020276388671
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0.00491498260639401
100505985	0
100505989	0
100506012	0.02426058139415581
100506013	0
100506022	-0.01033770701535974
100506025	0
100506049	0
100506068	-0.00111215189097377
100506071	-0.01004111134342392
100506082	0
100506083	-0.00767341240614766
100506098	6.502044972317099e-5
100506100	-0.00279860193329274
100506107	0
100506108	0
100506113	0
100506115	-0.00610873117298942
100506119	0.04777948995020072
100506122	0
100506125	0
100506126	0.00443780148663558
100506127	0
100506142	0
100506144	6.4205800879911e-4
100506172	0
100506175	0
100506195	0
100506207	0
100506215	-0.0290000004177635
100506229	0
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	-0.06106519753620764
100506319	0
100506368	0
100506374	0.02751841815749774
100506380	0
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0.00777680649649058
100506428	-0.00193609512493743
100506433	0
100506457	0
100506462	-0.0065984504176019
100506465	0.0241199159455397
100506469	0
100506475	-0.00662961962068317
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0.0013382576122997
100506504	0.00618619565406975
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0.01113067771556815
100506603	0.01081939167316844
100506606	-0.00161300653397713
100506622	8.4051884056146e-4
100506655	0
100506660	0
100506668	0
100506675	0.0325328021258715
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0
100506696	-0.0030238323326538
100506697	0
100506710	0
100506713	0
100506714	0.01022245195246549
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	-0.02291513695545949
100506790	0
100506791	0
100506795	0
100506797	-4.9667652710524e-4
100506826	0.0141819478420616
100506827	0
100506834	0
100506840	0
100506866	0.01597374847821831
100506874	0
100506895	0
100506907	0
100506922	0
100506930	-0.04375565455199544
100506963	0
100506994	0
100506999	0
100507027	-0.03807419036917994
100507034	0
100507050	0
100507057	0.03599521432145971
100507058	0
100507059	0
100507062	0
100507064	0.02622874745991762
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0.02981048179464865
100507173	0
100507203	0
100507206	0
100507240	0
100507246	-0.01423089007795383
100507250	0.03242969573021704
100507254	0
100507257	0
100507261	0
100507266	-0.00569069747691833
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	-0.00501438334206666
100507316	0.01573716363777365
100507331	0
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0
100507392	0
100507403	0
100507421	0
100507423	0
100507428	0.03884017849628587
100507433	0
100507436	0
100507459	-0.0191950160033762
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	-0.00435134117148655
100507477	0
100507487	0
100507495	0
100507506	0
100507524	0
100507527	0
100507533	0
100507534	0
100507537	-0.00359071783142263
100507540	0
100507547	0
100507564	0
100507567	0.01041230854426882
100507584	0
100507600	-0.01011383624409679
100507602	0.00131381969582703
100507605	0
100507629	-0.00556203126857805
100507632	0.00931160867493235
100507642	5.2452968771826e-4
100507650	-0.0010056444017981
100508631	0
10051	-0.0168331988297906
10052	0
100526820	0.03090350629283866
100528062	0
10053	-0.02589909606027348
100533106	0
100533178	0
100533182	0.01444281720386355
10054	-0.00432148759906413
10055	0
10056	-0.00753141459952761
10057	0
10058	-0.03739301217874231
10059	0
1006	0
10060	0
10061	0.02611525480450725
10062	0.03696845300654966
100628307	0
100631378	0
100652740	-0.00709164967417483
100652791	0.00443616590839232
100652824	0
100652853	-0.04562886459481852
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	0.00923545686747921
10069	-0.00437008856104021
1007	0.00317464631639654
10071	0.00157638692631408
10072	0
10073	0
10075	0.00805941313038967
10076	0
10077	0
10078	0
10079	0
1008	0
10081	-0.00132065792744888
10082	0
100820829	-0.06724889543748816
10083	0
10084	0
10085	0
100852408	0
100852409	0
100859921	0
100859930	-0.00150946982557092
10086	0.00646996082671668
100861552	0
100861553	0.00311521831165371
100861554	0
100861573	0
100862662	0
100862671	0.01207687049234792
100862679	0
100862680	0
100862704	0
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0.00321928813128815
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	-0.08469340382342877
100874323	0
100874362	-0.01206451891253237
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	0
1009	-0.00384662254440353
10090	3.5550509056514e-4
10092	0
10093	0
10095	0.01092045539690262
10096	-0.00157265755290242
10097	0
10098	-0.00251851779256578
10099	-0.01635747669997315
100996246	0
100996251	0
100996279	0
100996286	0.01842506512178366
100996301	0
100996307	-0.00585092476908496
100996342	0
100996419	0.01614918627679264
100996425	0.01843713326413796
100996455	0.01277844306047893
100996485	-0.03209351886468925
100996490	-0.01181850348475326
100996492	0
100996570	0
100996579	-0.04332963738524049
100996590	0
100996624	0
100996671	0
100996694	0
100996702	0.01027479395266939
100996902	0
101	-0.00745003937399867
1010	0
10100	0
10101	0
10102	0
10103	0
10105	-0.00242492183476958
101055625	-0.06413508644449437
101059948	0
10106	-9.2984086824448e-4
101060019	0
101060200	0
101060264	0.02340259718668964
101060544	0
10107	-0.00714144784824675
10109	0
10110	0.00331711071837898
10111	0.0059813393816058
10112	0
10113	0
10114	0.01367419894563128
10116	0.01715053389767354
10117	0
1012	0
10120	0
10121	0
10123	0.00602660485985556
10125	0
10126	5.7467801026461e-4
10127	0
10128	0
10129	0.00139371937294876
1013	0
10130	-0.00303409420270481
10131	0
10133	-0.03629354257566513
10134	0
10135	0.01546556857659797
10136	0
10137	0.00686039059788305
10138	0
10139	0.0011613354080816
1014	0
10140	0
10141	0
101410533	0
101410538	0
10142	0
10143	0
10144	0
10146	0
10147	0
10148	-0.00251194051754443
10149	0
1015	0
10150	0
10152	3.991441208497e-4
10153	0
10154	0
10155	0
101559451	0
10157	0
10158	0
10159	0
1016	0
10160	0
10161	0.02030854240306004
10162	0.02039318997035919
10163	0
10164	0
10165	0.0214382269254143
10166	0
10168	0
10169	-0.00554735111706932
1017	0
