gene	male_child_3
100289635	-0.03357430607676918
100289678	-0.00324737227692006
100292680	0
100293516	-0.03163362143944097
100294362	0
100294720	-0.00787027483091342
1003	0
100302691	0
100303728	0
100303755	-0.01496400863470935
100306951	-0.00931214825888096
100316904	-0.00749576685472219
100329135	0
100359394	0
10036	-0.03394431057244017
100379174	0
10038	0.01150977409764553
100381270	0
10039	0
1004	0
10040	-9.547915771819298e-5
10042	0
100422737	-0.00894262798895507
10043	0
10044	0
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	0.05650326303369563
100505474	0
100505478	0
100505495	0
100505501	0.02941150837725676
100505515	0
100505538	-0.01177959377137822
100505540	0
100505545	0
100505549	0.01651112572390595
100505573	0.00986910662801345
100505583	0
100505609	0
100505616	-0.00382321950585305
100505619	0
100505622	0.00946586937802679
100505624	0
100505641	-0.00634933032540761
100505658	0
100505659	0.04073369825199127
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	-0.0534983892959236
100505715	0
100505718	0
100505738	-0.00972786363148092
100505741	0.0972441128461192
100505746	0.04444272910072913
100505761	0
100505768	0
100505776	-0.01661172840902402
100505782	0
100505783	0
100505797	-0.00592479742232906
100505811	0
100505812	0
100505826	0
100505839	-0.01797257522567364
100505841	-0.02303223574315015
100505851	0.01770480199138455
100505854	-9.8595859527863e-4
100505876	0
100505877	0
100505879	0
100505881	0.02623582297956789
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0
100505967	0
100505975	-0.00189144591405453
100505978	0
100505984	-0.0024687715882002
100505985	0
100505989	0
100506012	0
100506013	-0.00263517290208413
100506022	0.00214053806682516
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0
100506083	0
100506098	-0.0843564197544614
100506100	0.02166239922669665
100506107	0
100506108	0
100506113	0
100506115	0.05833806853727383
100506119	0
100506122	0
100506125	0
100506126	-0.00110322328447156
100506127	0
100506142	-0.00183613676009775
100506144	0
100506172	0
100506175	0
100506195	-0.00256794223313311
100506207	0
100506215	-0.015946533872934
100506229	0.05053618857978249
100506237	0
100506243	0
100506271	0
100506274	0.01707178419307465
100506286	0
100506289	0
100506302	-0.04428628405909437
100506314	0.00666514076841469
100506319	0
100506368	0
100506374	0
100506380	0
100506385	-2.3955151770043e-4
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	-0.0038335572777866
100506433	-0.01582781691695807
100506457	-0.01623474295227881
100506462	0
100506465	0
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	-0.01427726828853865
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0.01258781613919495
100506542	-0.00301664213018191
100506571	0
100506581	-0.01411842523544926
100506599	0
100506603	0
100506606	-0.0209681285245625
100506622	0.00825990214846686
100506655	0
100506660	0
100506668	0.01153886312583213
100506675	0.03034727201187176
100506677	0
100506679	0
100506680	0
100506686	0.02218484547370626
100506691	0
100506696	0
100506697	0
100506710	-0.01542563186177894
100506713	0.00224232090734293
100506714	0
100506724	0
100506733	-0.01226468415085385
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0.00979405843915562
100506779	0
100506790	0
