gene	female_adolescent_1
1004	0
10040	0.02676106355926878
10042	0
100422737	-0.00617684593653083
10043	0
10044	-0.00516122175135959
10045	-0.01749945975190234
10046	-0.01178472080209633
10047	0
10048	0.01074415803460973
10049	0
100499171	0
1005	0
10050	0
100500850	0.02106314303126242
100505474	0
100505478	0
100505495	0.00500802824404823
100505501	-5.8504029519731e-4
100505515	0
100505538	0.00540560639098965
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0.0123779083936644
100505641	0
100505658	0
100505659	-0.05146084932274372
100505664	0
100505676	0
100505681	-0.0200443370538457
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0
100505741	0.00239701078026889
100505746	-0.07373014852802755
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0.00863595681233813
100505811	0
100505812	0
100505826	0.02832292051516171
100505839	0
100505841	0
100505851	-0.00790157711215355
100505854	0
100505876	0
100505877	0
100505879	-0.00596834109478215
100505881	-0.07043329604169615
100505890	0
100505893	0
100505894	0.01361679288831397
100505933	0
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0
100505985	0
100505989	0
100506012	0
100506013	0
100506022	-0.00193640088469613
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0
100506083	-0.01725918281433384
100506098	0
100506100	0.02750577159130907
100506107	0
100506108	0
100506113	0.02596747818466588
100506115	-0.00513980591244265
100506119	0
100506122	0
100506125	0
100506126	0
100506127	0.00424418237291112
100506142	0
100506144	0
100506172	0
100506175	0
100506195	-0.00792578185537448
100506207	0
100506215	0
100506229	-0.03044967884449732
100506237	0
100506243	0
100506271	0
100506274	0.00728538390046416
100506286	0
100506289	0
100506302	0.00943337924369761
100506314	0.09647660441263067
100506319	0
100506368	0
100506374	0
100506380	0
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	-0.00188412065699184
100506428	0.00185583600541092
100506433	-0.00301302669392163
100506457	0
100506462	0.0200244051046487
100506465	-0.019840342695937
100506469	-0.0060638105215112
100506475	0
100506489	0
100506492	0
100506495	-0.0036565856033004
100506497	0
100506498	0
100506504	0.0564538094907866
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	-0.00864673073654469
100506599	0
100506603	-0.00719526317433414
100506606	0.03317237976293633
100506622	0.00420412157731374
100506655	0
100506660	0
100506668	0
100506675	-0.05261150853117682
100506677	0
100506679	0
100506680	0
100506686	-0.00622089186101389
100506691	0
100506696	-0.0135171763039965
100506697	0
100506710	0
100506713	0.00445886023088237
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0.00652894438376182
100506790	0
100506791	0
100506795	0
100506797	0.04077805611373344
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0.01496275058657248
100506874	0
100506895	0
100506907	0
100506922	0.02583997112507816
100506930	-2.0824092086536e-4
100506963	-0.00896016523395091
100506994	0.02604325064572087
100506999	0
100507027	0.05432352092345502
100507034	0
100507050	0
100507057	0
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	-0.00168031273960508
100507173	0.00234970125707815
100507203	0
100507206	0.00773179324465108
100507240	0
100507246	0
100507250	0.01046612000319989
100507254	-0.05222577431159592
100507257	-0.02567320029985778
100507261	0
100507266	-0.00164155492098259
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0
100507316	0.02509640315669671
100507331	-0.01388437080340189
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	-0.01112516505153357
100507392	-0.00659320099459131
100507403	0
100507421	0
100507423	0.00505398941193111
100507428	-0.0407427449912426
100507433	0
100507436	0
100507459	-0.01073200117418386
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	-6.1661356400522e-4
100507477	0
100507487	0.01250698587964488
100507495	0.01152795109950667
100507506	0
100507524	-0.01412420517015053
100507527	0
100507533	0
100507534	0
100507537	0
100507540	-0.01924076542685589
100507547	0.01167230417326843
100507564	0
100507567	0.01178076408420352
100507584	0
100507600	0.0040192648288742
100507602	0.01940937164958188
100507605	0
100507629	0
100507632	0.01788458293680197
100507642	0.01307216573466032
100507650	0.02384316949943822
100508631	0
10051	-0.01328087122579988
10052	0
100526820	-9.7157984655627e-4
100528062	0
10053	-0.00182971950251972
100533106	0.0452516400324632
100533178	0
100533182	0.0200080831497738
10054	0.02283410339771035
10055	0.00309782943387613
10056	0
10057	0
10058	0
10059	0
1006	0
10060	0.00421709683400204
10061	0
10062	0.02679235003883658
100628307	0
100631378	0
100652740	0.00569858393383499
100652791	0
100652824	0
100652853	-0.0245587399450653
100652911	0
100652929	0
100652999	0
10066	0
10067	0.00214403462691366
10068	-0.016012621629623
10069	-0.02356595719189342
1007	0
10071	0
10072	-0.02504139506024442
10073	0
10075	0
10076	0
10077	0
10078	0
10079	0.02200797806517098
1008	0
10081	-1.1476241093679e-4
10082	0
100820829	-0.08589556165343613
10083	0
10084	0.01677744815394527
10085	0
100852408	0
100852409	0
100859921	0
100859930	0.01632097389928341
10086	0
100861552	0
100861553	0
100861554	-0.00272073794058003
100861573	0
100862662	0
100862671	0
100862679	0
100862680	0
100862704	-0.02589610654720923
10087	0
100873930	-0.00794143218663224
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	0.0338451561497886
100874323	0
100874362	0.02110502561047841
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	0
1009	-0.00918420918295974
10090	0
10092	0
10093	0
10095	0
10096	0
10097	0
10098	0.04940812571375547
10099	0.04348305506039333
100996246	-0.00860897784402456
100996251	0
100996279	0
100996286	-0.00750066011444578
100996301	0
100996307	0
100996342	0.00750275982173736
100996419	0
100996425	-0.00902086931327995
100996455	0
100996485	0.02679679406941083
100996490	0
100996492	0
100996570	0
100996579	0.00373277805689539
100996590	0.02423392034267739
100996624	0
100996671	0
100996694	0
100996702	0
100996902	0
101	-0.01049288268355393
1010	0.00147796133554378
10100	-0.04997184568002712
10101	0
10102	0
10103	-2.6567464092615e-4
10105	-0.00281096114754131
101055625	-0.00767971195048374
101059948	0
10106	0.00110337765844503
101060019	0
101060200	-0.01461325875284751
101060264	0.00525977543496261
101060544	-0.00387015010142342
10107	0.01124169196040806
10109	0
10110	0.00408694327858252
10111	-0.01013130586646754
10112	0
10113	0
10114	0
10116	0
10117	0
1012	0
10120	0
10121	0
10123	0
10125	0.01250566422228641
10126	-0.00150040712653196
10127	-0.00571207888114915
10128	0
10129	0.06629094992873462
1013	0
10130	0
10131	-0.01280616528058519
10133	0
10134	0
10135	-0.00654620964933344
10136	0
10137	0
10138	0
10139	0.01292224298890916
1014	0
10140	0.02663438883982618
10141	0
101410533	0
101410538	0
10142	0
10143	-0.00364118103498793
10144	0.00930505310415341
10146	0.01884486328504067
10147	0
10148	0.02634787069759111
10149	0
1015	0
10150	0
10152	0.0210382380769643
10153	-0.01249420311146678
10154	0.00933765539441517
10155	0
101559451	0.00353217756953672
10157	0
10158	-0.05651109568454518
10159	0
1016	-0.03402692301841404
10160	0.02065212301400046
10161	-0.0411026647972459
10162	0
10163	0.00635003150411366
10164	0
10165	0
10166	0
10168	-0.00397035574746606
10169	0
1017	0.01634112433460854
10170	0
10171	0
10172	0.01840031940621229
10174	-0.00528492099293496
10175	0
10178	-0.01480784318889932
10179	0.02340810057819715
10180	-0.02471717647417158
101805491	0
10181	0
10184	0
10186	0.0026481896116496
10188	-0.01601348810406934
10189	-0.00168547877621768
1019	0.00837887799925111
10190	-0.00796334852899013
101926888	0
101926890	0
101926892	0
101926903	0
101926928	-2.3602142950246e-4
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0.02506088869677474
101927003	0
101927007	0
101927017	0
101927018	0.04567968676311243
101927027	-0.02742485693075309
101927034	0
101927038	0
101927040	0
101927043	0
101927051	0
101927059	0
101927067	0
101927074	-0.00374124536896589
101927075	0
101927081	0
101927096	0
101927111	0
101927112	0
101927115	-0.01121716596402782
101927123	0
101927124	0.03491669120090278
101927125	0
101927129	0
101927131	0
101927138	0
101927143	0
101927150	0
101927151	0
101927152	0
101927159	0
101927164	0
101927193	-0.00168123052715784
101927195	0
101927196	0
101927204	0
101927219	0
101927220	0
101927228	0
101927237	0
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	0
101927282	0
101927286	0
101927292	0.00208169300942874
101927295	0.02467255872898022
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	-0.00377539786196556
101927433	0
101927438	-0.01320835717806144
101927447	0
101927449	0
101927450	0
101927460	-0.00929432206616637
101927482	-0.07395133876637064
101927494	0
101927495	0
101927498	0
101927502	-0.00881307274878913
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	-0.01162526277391083
101927539	0
101927543	-2.1523465466681e-4
101927547	0
101927553	0
101927565	0
101927581	0
101927586	0.00561694360659514
101927587	-0.02787086664088905
101927588	0
101927592	0
101927599	0
101927606	0
101927616	0
101927636	0
101927641	0
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	-0.01459642820173079
101927720	0
101927722	0.01681226957069928
101927735	0
101927760	0
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	-8.2808525428864e-4
101927821	-0.00660600213194327
101927828	0
101927829	0
101927839	0
101927843	0
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	0
101927948	0
101927950	0
101927953	0
101927972	0
101927974	0.06571597739064623
101927992	0
101927994	0
101928000	-0.00595266567732464
101928002	0
101928009	0
101928012	0
101928031	0
101928035	0.01327890109069667
101928040	0
101928043	0
101928052	0
101928069	0
101928079	0
101928087	0
101928098	0
101928100	0.01927043299754709
101928101	-0.00764278270312656
101928104	0
101928111	0.0141368281918497
101928120	0.00458280455476328
101928132	0
101928134	0
101928144	0
101928158	-0.00159547570983382
101928162	0
101928165	0
101928167	0
101928185	0
101928190	0
101928201	0
101928205	0
101928222	0
101928227	-0.00888271283134083
101928238	-0.03010419150060878
101928251	0
101928259	0
101928271	0
101928276	0
101928280	0
101928288	0
101928298	0
101928303	0
101928333	0
101928335	0
101928371	0
101928376	0
101928386	0
101928388	0
101928389	0
101928399	0
101928401	0
101928405	0
101928418	0
101928424	0
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	0
101928464	0.00462267348566412
101928475	0
101928476	0
101928495	0.00699072070290338
101928496	0
101928516	0
101928521	0
101928525	0.02003769905936623
101928535	0
101928537	0
101928539	0
101928555	0
101928557	0
101928559	0
101928565	0
101928571	0
101928578	0
101928580	-4.9208256502093e-4
101928583	0
101928590	0
101928597	0
101928602	0
101928616	0
101928618	0
101928622	0
101928646	0
101928649	0
101928651	0
101928661	0
101928673	0.02387760160660507
101928682	0
101928684	0
101928687	0.06978083520141401
101928694	0
101928700	0
101928707	0.02157156521511914
101928708	0
101928710	0.01833044808726986
101928725	0
101928728	0
101928731	0
101928739	0
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
101928784	-0.00131721446925963
101928790	0
101928795	0
101928797	0
101928809	0
101928820	0
101928823	0
101928834	-0.0140929075171378
101928837	0
101928844	0
101928845	0
101928846	0
101928847	0
101928850	0
101928857	0
101928858	0
101928865	0
101928881	0
101928886	0
101928894	0
101928896	0
101928909	0
101928922	0
101928937	0
101928940	0
101928973	0
101928978	0
101928988	0
101928989	-0.0044638216313365
101928999	0
101929002	0
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0
101929064	0
101929076	0
101929081	0
101929084	0
101929109	0
101929110	0
101929116	0
101929123	0
101929144	0
101929151	0
101929153	0
101929154	0
101929162	0
101929164	0
101929172	0
101929176	0
101929181	0
101929210	0
101929224	-0.00266397471721924
101929239	0
101929241	0.00450844196706285
101929243	0.0383780079102613
101929260	0
101929261	0
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0
101929335	0.01867452070751533
101929378	0
101929384	0
101929406	0
101929407	0
101929413	0
101929423	0.04003093903816292
101929441	0
101929460	0
101929472	0
101929478	0
101929486	0
101929488	0
101929497	0
101929505	0
101929511	0
101929517	0
101929524	0
101929526	0
101929528	0
101929529	0
101929536	0
101929538	0
101929549	0
101929552	0
101929557	0
101929570	0
101929582	0
101929584	0
101929586	0.00277519998917309
101929591	0
101929592	0
101929607	0
101929620	0
101929623	0.00464278056101198
101929631	0
101929651	0
101929657	0
101929690	0
101929693	0.00534321270850805
101929694	0
101929717	0
101929718	0
101929719	0
101929726	0.00504007654011661
101929730	0
101929745	0
101929748	0
101929759	-0.00389867586970364
101929760	-0.0016257397522036
101929765	-0.01896980392261299
10193	0
101930114	0.01598982527197723
101930421	0
101930452	0
10194	0
10195	0
101954204	0
10196	0
10197	0
101978719	-0.0076388511981069
10198	0
10199	0
102	0
1020	0
10200	0.00317590842986561
10201	0
10202	0
10203	0.01445952574947248
10204	0.01778512479092075
10205	0.02627937025566703
10206	0
102060282	0
10207	-0.00216166219271026
10208	-0.00907875295255872
10209	0
1021	-0.01221681236648466
10210	-0.006948554033655
10211	-0.00992785610294292
10212	-7.834516409314e-4
10213	0
10214	0
10215	0
102157402	0
10216	4.232240436198273e-5
10217	0
10218	0
10219	0
1022	0.0156582703214368
10220	0
10221	0
10223	-3.274259628552312e-5
10224	0.01819453496506019
10225	0.00975325702750016
10226	0
10227	-7.9610860942225e-4
10228	0
10229	0
10230	0
10231	0.00562036850061077
10232	0
10233	0
10234	0
10235	0
10236	0
10237	0
10238	0
1024	0
10240	0
10241	0.00690886069689619
10242	0
10243	0.07168231752026598
10244	-0.0027790183987677
10245	0
10246	0
102467079	0
10247	0
10248	-2.6044167759305e-4
10249	0
1025	0
10250	0
10251	0
10252	0
10253	0
10254	0
102546226	0
102546294	0
10255	-0.00122560256866592
10256	-0.04817676060561416
10257	0.00130716195019685
1026	-0.03357805021522969
10260	0
10261	0
10262	0.00949309051012877
10263	0
10265	0
10266	0
10267	-0.03003069096815091
10268	0
10269	-0.00485109733093278
1027	0
10270	0.00829103425248651
10272	0
102723335	-0.04047883732302733
102723526	0
102723661	0
102723684	0
102723692	0
102723701	0
102723775	0
102723786	0
102723809	-0.01265455999424565
102723932	0
102724009	0
102724094	0.00185644383328176
102724201	0.06357599823902403
102724323	0.00148725192152167
102724368	-0.03849225745339751
102724508	-0.00411315100529079
102724511	0
102724532	-0.02310599431575198
102724612	0
102724699	0
102724814	0
102724927	-0.00153666234650157
102724929	0
10273	-0.00387331887268989
10274	0
10276	-0.02837331556028195
10277	0
10278	0
10279	-0.06613318417175924
1028	0
10280	0
10281	0
10282	0
10283	0
10284	0.00505439775197519
10285	0
10286	-0.01368594481589636
10287	-0.0112956295726158
10288	0
10289	0
1029	0
10290	0
10291	0
10293	-0.04171317029452854
10294	0
10295	0
10296	0
10297	-1.7936483304531e-4
10298	-0.02555088323838928
10299	-0.018902214231128
103	-0.00529576156644594
1030	0
10300	-0.00490290448507536
10301	-0.04312407779117534
10302	0
10307	0
10308	0
10309	0
1031	0.00117843752612006
10311	0
10312	-0.03128492625301365
10313	0.00644618094787516
10314	-2.3578532392618e-4
10316	0.00623137799171177
10317	0
10318	0
10319	0
1032	-0.00810435658182968
10320	0
10321	-0.0232666394254608
10322	0
10324	0
10325	0.01420714484628826
10326	0.03495856263515016
10327	0.00635118097952089
10328	7.6278844828766e-4
10329	0
1033	-0.02323983059692387
10330	0.00232377264422737
10331	-0.00117971548871173
10332	0
10333	-0.00881531308895849
10335	-0.00426960126334242
10336	-0.01636868816427688
10342	0
10343	0
10344	0
10345	0
10346	0
10347	0
10350	0.01692923662910785
10351	0
10352	0
1036	0.00453500104012291
10360	0
10361	-0.04166935772729885
10362	0
10363	0
10365	-0.03344429926778735
10367	0.01441861134027425
10368	0
10369	0
10370	0
10371	0
10376	3.445959235001e-4
10379	0
1038	0
10380	0
10381	-0.02439922039831789
10382	-0.02456094117056364
10383	0
10384	0
10385	0.01391536108493295
10388	0.01616397159193562
10389	0
1039	-4.5770256777815e-4
10390	0
10391	-0.06191851074712805
103910	0
10392	0
10393	0
10394	0
10395	0
10396	0.00791619089724551
10397	0.00937312980622741
10398	0.05009403590379949
10399	-0.00393375855827021
104	0
1040	0
10400	0
10401	0.01810124112849543
10402	9.5827705775337e-4
10403	0
10404	0
10406	-0.01291100463777474
10407	0
10408	0
10409	-0.01116317731893774
1041	0
10411	0
10413	0
10417	7.3030828553323e-4
10418	0
10419	-0.01843507896970877
10420	0.02299492922678526
10421	0
10422	0
10423	0
10424	-0.01530763491001097
10425	0
10426	0
10427	0.01681050093057182
10428	0
1043	0
10430	0.00606265062882408
10432	0
10434	0
10435	0
10436	0
10437	0
10438	0
10439	0.01537049862439026
1044	0
10440	0
10443	0
10444	0.00850933666042011
10445	0
10446	0
10449	-0.0111919986778092
1045	0
10450	0
10451	-0.02056026172591509
10454	0
10455	0
10456	0.00245923545237429
10457	0.0094521851348745
10458	-0.04365524311503999
10459	0
1046	0
10460	0
10461	0.04402493670447895
10462	0.01667958778408234
10463	0
10464	0
10465	0
10466	0
10467	0
10468	-0.01452904806213396
10469	-0.0073512879829293
1047	0
10471	0
10472	0.00332396721941535
10473	0
10474	0
10475	0
10478	-2.2329724775288e-4
10479	0.00372392386037751
1048	-0.00134885255027176
10480	0.00687137432348862
10481	0
10482	0
10483	0.00713594701405375
10484	0.00633265463052964
10485	0
10486	0
