gene	female_older_adult_2
101927018	0.01060534955502884
101927027	-0.0095964975774453
101927034	-6.5739041128689e-4
101927038	0
101927040	0
101927043	0
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	0.01803175837295251
101927112	0
101927115	0
101927123	0.00197572167624159
101927124	0
101927125	0
101927129	0
101927131	0
101927138	0
101927143	-0.012181303150282
101927150	0.01646753944260265
101927151	0
101927152	0
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	0
101927220	0
101927228	0
101927237	-0.00355487719570971
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	0.00270520010234127
101927282	0
101927286	0
101927292	-0.01658569307921208
101927295	0
101927310	0
101927314	0.00698838792729948
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	-0.014361756032362
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0
101927482	0.03721073001618455
101927494	0
101927495	0
101927498	0
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0
101927539	0
101927543	0
101927547	0
101927553	0
101927565	0
101927581	0
101927586	0
101927587	0
101927588	0
101927592	0
101927599	0
101927606	0
101927616	0
101927636	0
101927641	-0.00736484313384942
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	0.0093225834065999
101927720	0
101927722	-0.03135968727566123
101927735	0
101927760	0
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	0
101927821	0
101927828	0
101927829	0
101927839	0
101927843	0.00924752462379455
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	9.624289549675496e-5
101927948	0
101927950	0
101927953	0
101927972	0
101927974	-0.01657991365667472
101927992	0
101927994	0
101928000	0
101928002	0
101928009	0
101928012	0
101928031	-0.02380815206262792
101928035	0
101928040	0
101928043	0
101928052	0
101928069	0
101928079	0
101928087	0
101928098	0
101928100	-0.0016350451052916401
101928101	0
101928104	0
101928111	-0.05966801643256611
101928120	0
101928132	0
101928134	0
101928144	0
101928158	0
101928162	0
101928165	0
101928167	0
101928185	0
101928190	0
101928201	0
101928205	0
101928222	0
101928227	0
101928238	0
101928251	0
101928259	0
101928271	0
101928276	0
101928280	0
101928288	0
101928298	0
101928303	0
101928333	0
101928335	0
101928371	0
101928376	0
101928386	0
101928388	0
101928389	0
101928399	0
101928401	0
101928405	0
101928418	0
101928424	0.01486629439568939
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	0
101928464	0
101928475	0
101928476	0
101928495	0
101928496	0
101928516	0
101928521	-0.00507539157285868
101928525	0
101928535	0
101928537	0.00484823401135723
101928539	0
101928555	-7.5152189108977e-5
101928557	0
101928559	0
101928565	0.01742601431037166
101928571	0
101928578	0
101928580	0
101928583	-0.01690880942156551
101928590	0
101928597	0
101928602	0.02002102166510995
101928616	0
101928618	0
101928622	0
101928646	0
101928649	0
101928651	0
101928661	0
101928673	0.01151200028003624
101928682	0
101928684	0
101928687	0
101928694	0
101928700	0
101928707	0
101928708	0
101928710	0.00546828869541212
101928725	0
101928728	0
101928731	0
101928739	0
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
