gene	female_young_child_2
100302691	0
100303728	-0.00301118452489801
100303755	0
100306951	0
100316904	0.00506448439121772
100329135	0
100359394	0
10036	0
100379174	0
10038	0
100381270	0.01707378671134405
10039	-0.00871525042601134
1004	0
10040	0
10042	0
100422737	0
10043	0
10044	0
10045	-0.01831928539713629
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	-0.03453738746730646
100505474	0
100505478	0
100505495	0
100505501	0.01810314397548201
100505515	0
100505538	0.01876755645556141
100505540	0
100505545	0
100505549	0
100505573	-0.00170212827937754
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0.00439587373061474
100505685	0
100505687	0
100505696	0
100505715	-0.00421303023517126
100505718	0
100505738	-0.03493756567060763
100505741	0.02473553844344308
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	-0.03834031240916634
100505811	0
100505812	0
100505826	-0.00734344083031284
100505839	0
100505841	0
100505851	0.00217277665112972
100505854	0
100505876	0
100505877	0
100505879	0
100505881	0.00711193861022816
100505890	0
100505893	0
100505894	0
100505933	0.01962884606388414
100505964	-0.00707501974768102
100505967	0
100505975	0
100505978	0
100505984	0
100505985	0
100505989	0
100506012	0
100506013	0
100506022	-0.00663476814527898
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0
100506083	0
100506098	0.01527610670688334
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0.00313264682499768
100506119	-0.02497315575882115
100506122	0
100506125	0
100506126	0
100506127	0
100506142	-0.00452080592298087
100506144	0
100506172	0
100506175	0
100506195	0
100506207	-0.00451400797851413
100506215	0.00811186937846429
100506229	0
100506237	0
100506243	0
100506271	0
100506274	0.00102000473605548
100506286	0
100506289	0
100506302	0
100506314	-0.05651313527618146
100506319	0
100506368	0
100506374	0
100506380	0.01357693450620196
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	-0.00244778206562729
100506457	0.00160920338571282
100506462	0
100506465	0.01088252465103125
100506469	-0.00574715768067873
100506475	0
100506489	0
100506492	0
100506495	3.2212227767296e-4
100506497	0
100506498	0.03065612518500171
100506504	-0.01010114174871136
100506526	0
100506527	0
100506530	0
100506540	0
100506542	-5.2131995400174e-4
100506571	0
100506581	-0.00834791778490365
100506599	-8.8497866271023e-4
100506603	-0.01160794651986999
100506606	-5.9712477781355e-4
100506622	0
100506655	0
100506660	0.03084142007536308
100506668	0
100506675	0
100506677	0
100506679	0
100506680	0
100506686	0
100506691	-0.00182632746891637
100506696	0.00245749739438811
100506697	0
100506710	0
100506713	-0.01273199246065211
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0.01179040851208359
100506826	0
100506827	0
100506834	0
100506840	0
100506866	-1.4966678737124e-4
100506874	0
100506895	0
100506907	0
100506922	0
100506930	0.00509766755354014
100506963	-0.02431258735225873
100506994	0
100506999	0
100507027	0
100507034	0
100507050	0
100507057	0.0059795888547199
100507058	0
100507059	0
100507062	0
100507064	0
