gene	female_adult_3
10026	0.02263688280277491
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0.02788615475363306
100287114	0
100287177	0.10915696051574188
100287366	0
100287482	0.02159705663045439
100287569	0
100287616	0
100287814	0
100287896	0.03918382819796388
100287902	0.009786170074702
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.01181781584370085
100288797	0
100289092	-0.01455734651406103
100289097	0
100289098	0
100289187	-0.059355867771174
100289274	-0.01468416296884703
100289341	0
100289373	-0.01885324324712124
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	-0.03987766270817291
100294720	0
1003	-0.01225608102713182
100302691	0
100303728	0
100303755	0
100306951	-0.00762636577892067
100316904	0.01967549990522106
100329135	0
100359394	0
10036	-0.02058781806224924
100379174	0
10038	-0.04530785107822433
100381270	-0.00121337254548152
10039	-0.01231581272929227
1004	0
10040	0.04970811112666307
10042	0
100422737	-0.00615827055873964
10043	0
10044	0
10045	0
10046	0
10047	0
10048	0
10049	-0.00333502299884695
100499171	0
1005	0
10050	0
100500850	0.01221081123548505
100505474	0
100505478	0
100505495	0
100505501	0
100505515	0
100505538	0
100505540	0
100505545	0.00120094131004958
100505549	0.04252527780326048
100505573	0
100505583	0
100505609	0
100505616	-0.00728878029752185
100505619	0
100505622	-0.03881924199023895
100505624	0
100505641	0
100505658	0
100505659	0
100505664	-0.00100531854419831
100505676	0
100505681	-3.4285433287123e-4
100505685	0.00254590731635343
100505687	0
100505696	0.00852722836605514
100505715	0
100505718	0
100505738	0.03123200853304762
100505741	0.00368150483424657
100505746	-0.00655766278690904
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0.02508945403051216
100505826	0.03889858242487152
100505839	0
100505841	0
100505851	-0.03544082408151069
100505854	0
100505876	0.0092505809623700409
100505877	0
100505879	0
100505881	0
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0
100505967	0
100505975	-0.00042733680514920003
100505978	0
100505984	-0.04701229021093939
100505985	0
100505989	0
100506012	-0.03038064146786536
100506013	0
100506022	0.00950223761740209
100506025	0
100506049	0
100506068	-0.00539991586707841
100506071	-0.00109290259099083
100506082	0
100506083	0
100506098	0
100506100	0.01346745204132524
100506107	0
100506108	0
100506113	0.0067258828908636
100506115	0.09305219046031914
100506119	0
100506122	0
100506125	0
100506126	-0.01670344256056585
100506127	0.0087185786667265
100506142	0
100506144	0
100506172	0.03293345842274785
100506175	0
100506195	0.01759560174401534
100506207	-0.01779288515066562
100506215	-0.06919525035715704
100506229	-0.02072327187473004
100506237	0
100506243	0
100506271	0
100506274	-0.00477569847834209
100506286	0
100506289	0
100506302	0
100506314	0.05992347781394101
100506319	0
100506368	0
100506374	0.01335656550804749
100506380	-0.06563864898105684
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	0
100506457	0
100506462	0
100506465	0
100506469	0
100506475	0
100506489	0
100506492	0
100506495	-0.00840490538299003
100506497	0.02361000837790696
100506498	-0.00209265783452303
100506504	0
100506526	0
100506527	0
100506530	0
100506540	-0.01002730780914705
100506542	0
100506571	0
100506581	-9.9542303889319e-4
100506599	0
100506603	0
100506606	0
100506622	0
100506655	0
100506660	-0.01047624469346615
100506668	0
100506675	-5.762224030665e-4
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0.01535170569402128
100506696	0
100506697	0
100506710	0
100506713	-0.00310459035854337
100506714	-0.03063537873493412
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0.0123361514389973
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0.05699058859796029
100506826	0
100506827	0.00775551201140161
100506834	0
100506840	0
100506866	-0.04364165420364659
100506874	0
100506895	0
100506907	0
100506922	0
100506930	0
100506963	0
100506994	0.01125529395616703
100506999	0
100507027	-0.03096387190486981
100507034	0
100507050	0
100507057	0.01689799905930724
100507058	0
100507059	0
100507062	0
100507064	0.03346792196574854
100507086	0
100507114	-7.3223544972382e-4
100507117	0.04581288568978983
100507143	0
100507156	0
100507171	0
100507173	-0.01498631688682841
100507203	0
100507206	0.02684454700490617
100507240	0
100507246	0.0641348134591403
100507250	0.01124805280427882
100507254	-0.07070915692286807
100507257	0.01515477538668142
100507261	0
100507266	0
100507274	0
100507277	0
100507283	-0.01819161934085765
100507290	0.00716172457006223
100507300	0
100507303	0
100507316	-0.04029634720805526
100507331	0.03064375369592916
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0
100507392	0
100507403	0
100507421	0
100507423	0
100507428	0
100507433	0
100507436	0.00340603007965829
