gene	male_infant_3
100505573	0
100505583	0
100505609	0
100505616	0.02480058713293742
100505619	0
100505622	-0.00250070647131776
100505624	-0.00838745828905649
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	0
100505841	0
100505851	0
100505854	0
100505876	0
100505877	0
100505879	0
100505881	0.00960264414194748
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0
100505967	0
100505975	0.01196980992982075
100505978	0
100505984	0
100505985	0
100505989	0
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	-0.00121101959844638
100506071	0
100506082	0
100506083	0
100506098	0.01391828946776309
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0
100506119	0
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0
100506172	0
100506175	0
100506195	0
100506207	0
100506215	0
100506229	0
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	0.08872989341594947
100506319	0
100506368	0
100506374	0
100506380	0
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	0
100506457	0
100506462	0
100506465	0
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0
100506603	0
100506606	0.00911427769737755
100506622	0
100506655	0
100506660	0.00497619589830648
100506668	0
100506675	0.06728200732154273
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0
100506696	0
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	0
100506930	0
100506963	0
100506994	0
100506999	0
100507027	0
100507034	0
100507050	0
100507057	0
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0
100507173	0
100507203	0
100507206	0
100507240	0
100507246	0
100507250	0
100507254	0
100507257	0
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0.01375984206787493
100507316	0.01139320305891331
100507331	0
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0
100507392	0
100507403	0
100507421	0
100507423	0
100507428	0
100507433	0
100507436	0
100507459	0.00639188808882599
100507461	0
100507462	0
100507463	0
100507468	8.9658378518242e-4
100507470	0
100507475	0.0036704849240415
100507477	0
100507487	0
100507495	-0.01240766411895252
100507506	0
100507524	0
100507527	0
100507533	0
100507534	0
100507537	0
100507540	0
100507547	0
100507564	0
100507567	0.00188034584981963
100507584	0
100507600	0
100507602	0
100507605	0
100507629	0
100507632	0
100507642	-0.00942950118868728
100507650	0
100508631	0
10051	0.02891216590994922
10052	0
100526820	0
100528062	0
10053	0
100533106	0.00274487188360406
100533178	0
