gene	female_middle_adult_2
101927943	0.01189833034181142
101927948	0
101927950	-0.00814535321333622
101927953	0
101927972	0
101927974	0.03813327236653991
101927992	0
101927994	0
101928000	-0.01231912702908641
101928002	0
101928009	0
101928012	0
101928031	0.03141707372190657
101928035	0
101928040	0
101928043	0
101928052	0
101928069	0.02407467853801581
101928079	0
101928087	0
101928098	0
101928100	0
101928101	0
101928104	0
101928111	0.03819823467398618
101928120	0.0121347971342641
101928132	0
101928134	0
101928144	0
101928158	0
101928162	0
101928165	0
101928167	0
101928185	0
101928190	-0.06354778847575346
101928201	0
101928205	0
101928222	0
101928227	0.08977901910414988
101928238	-0.00379017127169824
101928251	0
101928259	0
101928271	0
101928276	0.00509575276341193
101928280	0
101928288	0
101928298	0
101928303	0
101928333	0
101928335	-0.01736463908003767
101928371	0
101928376	-0.00731559493883472
101928386	0
101928388	0
101928389	0
101928399	-0.01332530947561647
101928401	0
101928405	-0.00770909891457576
101928418	0
101928424	-0.01367054452716355
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	0
101928464	0
101928475	0
101928476	0
101928495	0
101928496	0
101928516	0
101928521	0.03111769634459587
101928525	-0.00351612973711486
101928535	0
101928537	0
101928539	0
101928555	0
101928557	0
101928559	0
101928565	-0.07466452429751061
101928571	0
101928578	0
101928580	0.0033779256781107
101928583	-4.179946093901e-4
101928590	0
101928597	-0.00201460083302755
101928602	0
101928616	0
101928618	0
101928622	0
101928646	0
101928649	0
101928651	0
101928661	0
101928673	-0.05866376464111856
101928682	0
101928684	0
101928687	0.00300642926552552
101928694	0
101928700	0
101928707	0.00813674563033406
101928708	0
101928710	-0.01567044368528414
101928725	0
101928728	0
101928731	0
101928739	0
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
101928784	0.02235195513868403
101928790	0
101928795	0
101928797	-0.00784420665130694
101928809	0
101928820	0
101928823	0
101928834	0
101928837	0
101928844	0
101928845	-0.01963477099411231
101928846	0
101928847	0
101928850	0
101928857	0
101928858	0
101928865	0
101928881	0
101928886	0
101928894	0
101928896	-0.02806038388866355
101928909	0.00857094794002829
101928922	0
101928937	0
101928940	0
101928973	0
101928978	-0.00520555122685586
101928988	0
101928989	0
101928999	0
101929002	0
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0
101929064	0
101929076	0
101929081	0
101929084	0
101929109	0
101929110	0
101929116	0
101929123	0
101929144	-0.00986995582777766
101929151	0
101929153	0
101929154	0
101929162	0
101929164	-0.0017957835847761
101929172	0
101929176	0
101929181	0
101929210	-0.00373007030316226
101929224	-0.00507609628017682
101929239	0
101929241	-0.08074910770983998
101929243	0
101929260	0
101929261	0
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0
101929335	0
101929378	0.00321595056040391
101929384	0
101929406	0
101929407	0
101929413	0
101929423	-0.05513519628272689
101929441	0
101929460	0
101929472	0
101929478	0
101929486	0
101929488	0
101929497	-0.00721687459253871
101929505	0
101929511	0
101929517	0
101929524	0
101929526	0
101929528	0
101929529	-0.00258633646728854
101929536	-0.00557353823011042
101929538	0
101929549	-0.02160790036370004
101929552	0
101929557	-0.00965202206683281
101929570	0
101929582	0
101929584	0
101929586	0
