gene	female_young_adult_2
100287569	-0.05830261076076174
100287616	0
100287814	0
100287896	-0.03472500621947603
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-3.3169894909145e-4
100288797	0
100289092	0.04319310323055941
100289097	0
100289098	-0.01475079004646353
100289187	0
100289274	0
100289341	0
100289373	0.00416405616449606
100289495	0
100289635	0
100289678	0
100292680	0
100293516	-0.00789543962294133
100294362	0
100294720	0
1003	0
100302691	0
100303728	-0.00991091440768827
100303755	0
100306951	-0.01684800767578828
100316904	-0.04525382709995725
100329135	0
100359394	0
10036	-0.01716241223083824
100379174	0
10038	-0.00157974082818298
100381270	-0.01676212456105987
10039	-0.05224796371234522
1004	0
10040	-0.01998729052194015
10042	0
100422737	0
10043	0.00420223858040606
10044	0
10045	0
10046	0
10047	0
10048	0.03602795734063058
10049	0
100499171	-0.02993519979764943
1005	0
10050	0
100500850	-0.09529226310555346
100505474	0
100505478	-0.00713892266888026
100505495	0
100505501	0.0195458426705459
100505515	0
100505538	-0.00779821079970174
100505540	0
100505545	-0.01204624085203591
100505549	-0.0222037779268028
100505573	0.01338813911120402
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0.013669485070798
100505624	0
100505641	0
100505658	0
100505659	0.04639359640897388
100505664	0
100505676	0
100505681	-0.01110962364729451
100505685	0.00530645689247635
100505687	0
100505696	0.04301652255523944
100505715	-0.05267870600039418
100505718	0
100505738	0
100505741	-0.00159241583815622
100505746	0.11222064797239246
100505761	0.0174496533057022
100505768	0.00127443272030145
100505776	0
100505782	0
100505783	-0.02253444400790994
100505797	0
100505811	0
100505812	-0.04543268661964762
100505826	0.03710708707319478
100505839	-0.00323384410964573
100505841	0
100505851	-0.01946100565232811
100505854	0
100505876	0
100505877	0
100505879	0.00681042559248507
100505881	0.02345989108072278
100505890	0
100505893	0
100505894	0.01567309387212355
100505933	0
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0
100505985	0
100505989	-0.00222511945233823
100506012	0.03189497700055305
100506013	-0.00943333955508236
100506022	0.01403757394821372
100506025	0
100506049	0
100506068	0.00635146923235921
100506071	-0.0074589356809026
100506082	-4.2106808771822e-4
100506083	-0.0015327527714353
100506098	0.03036392673940302
100506100	-0.06170237698137201
100506107	0
100506108	0
100506113	0.02609309518792792
100506115	-0.04289358495398478
100506119	0
100506122	0
100506125	0
100506126	0.00656106791358131
100506127	-0.01887496396238005
100506142	0.02179509945235859
100506144	0
100506172	-1.3305205101444e-4
100506175	0
100506195	0
100506207	0
100506215	0.01633129007993943
100506229	0.02563052808351377
100506237	0
100506243	0.00555326019372193
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0.04106310606887681
100506314	-0.02584875875190514
100506319	0.02315155339801009
100506368	0
100506374	-0.01337416553462685
100506380	0.00825506787320225
100506385	-0.00592169768595359
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	-0.01614332943925498
100506433	0.02369715928763655
100506457	0
100506462	-0.02266425197023736
100506465	0.00224813688207202
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	-0.01612784827114636
100506526	0
100506527	0
100506530	0
