sex	age_group	term	combined_zscore
female	adolescent	small-intestine-Peyer's-patch_unknown_female	-0.6902615012595515
female	adolescent	spleen_unknown_male	0.7330072664409591
female	adolescent	stomach_unknown_male	0.27842878286937883
female	adolescent	subcutaneous-adipose-tissue_unknown_male	-1.214291225845663
female	adolescent	subcutaneous-adipose-tissue_unknown_female	-0.9339223779938314
female	adolescent	substantia-nigra_unknown_male	0.6134160917268309
female	adolescent	suprapubic-skin_unknown_male	0.2954966495508727
female	adolescent	thyroid-gland_unknown_male	0.6431391303120547
female	adolescent	tibial-artery_unknown_male	1.7651466670889238
female	adolescent	tibial-nerve_unknown_male	-0.011956326268303305
female	adolescent	transformed-skin-fibroblast_unknown_male	0.7738439574238986
female	adolescent	transverse-colon_unknown_male	0.14596672022089802
female	adolescent	urinary-bladder_unknown_male	0.6104281825242104
female	adolescent	colon_unknown_male	-0.1498103211939328
female	adolescent	whole-blood_adult_female	0.9560637272685414
female	adolescent	whole-blood_adult_male	-3.8965663708856346
female	adolescent	thyroid-gland-tumor_adult_male	0.24565681610649379
female	adolescent	long-bone_child_female	-1.262586180633504
female	adolescent	long-bone_child_male	0.8740111197022704
female	adolescent	skull_child_female	1.266104817386655
female	adolescent	skull_child_male	2.255175739088179
female	adolescent	muscle_unknown_male	1.1207621720136676
female	adolescent	myoblast_unknown_male	0.47891592670534006
female	adolescent	myoblast_unknown_female	-1.1298819047555155
female	adolescent	myotube_unknown_male	0.2646655101839859
female	adolescent	myotube_unknown_female	-2.223658459795733
female	adolescent	skeletal-muscle_unknown_male	0.37622292441381305
female	adolescent	bone-marrow_unknown_male	0.1694797082188527
female	adolescent	bone-marrow_unknown_female	0.08951275615433202
female	adolescent	hippocampus_adult_male	-0.6787667707224665
female	adolescent	blood_adult_male	0.383172164647196
female	adolescent	lung_adult_male	2.346446883833496
female	adolescent	lung_adult_female	-0.5535582955577296
female	adult	skeletal-muscle_adult_female	2.4921735914151855
female	adult	skeletal-muscle_adult_male	3.0958180358271696
female	adult	skin_adult_male	1.371135910224235
female	adult	adrenal-gland_fetus_male	0.713794404706195
female	adult	large-intestine_fetus_male	-0.22832268865413768
female	adult	small-intestine_fetus_male	1.278784892929308
female	adult	liver_adult_female	-2.094085400554566
female	adult	liver_adult_male	1.0938105391760364
female	adult	adrenal-gland_unknown_male	0.5579387921369848
female	adult	amygdala_unknown_male	0.9528347312482982
female	adult	aorta_unknown_male	1.7938646432435332
female	adult	atrium-auricular-region_unknown_male	1.0139065065758777
female	adult	atrium-auricular-region_unknown_female	1.523130629413338
female	adult	blood_unknown_male	1.545125152551126
female	adult	breast_unknown_male	0.8843624772577383
female	adult	breast_unknown_female	-1.310535623035664
female	adult	Brodmann-(1909)-area-24_unknown_male	1.3661408556420307
female	adult	Brodmann-(1909)-area-24_unknown_female	-0.2564721938662791
female	adult	Brodmann-(1909)-area-9_unknown_male	1.4053855612034607
female	adult	Brodmann-(1909)-area-9_unknown_female	0.5550378014015014
female	adult	C1-segment-of-cervical-spinal-cord_unknown_male	1.4453145581782305
female	adult	caudate-nucleus_unknown_male	1.2302914862185699
female	adult	cerebellar-hemisphere_unknown_male	1.7582981136547793
female	adult	cerebellar-hemisphere_unknown_female	-0.6932061547654133
female	adult	cerebellum_unknown_male	1.5851322687635696
female	adult	cerebral-cortex_unknown_male	1.365083370449633
female	adult	coronary-artery_unknown_male	0.5513421616923704
female	adult	coronary-artery_unknown_female	1.7626731630158745
female	adult	cortex-of-kidney_unknown_male	1.3320995195177188
female	adult	cortex-of-kidney_unknown_female	1.3632893032033708
female	adult	EBV-transformed-lymphocyte_unknown_male	2.0788351009392128
female	adult	EBV-transformed-lymphocyte_unknown_female	1.9002065097434702
female	adult	esophagogastric-junction_unknown_male	0.8858832175949996
female	adult	esophagus-mucosa_unknown_male	1.1599385419488801
female	adult	esophagus-muscularis-mucosa_unknown_male	1.7999050741632105
female	adult	gonad_unknown_male	-1.5245420336641051
female	adult	gonad_unknown_female	0.1813626793156453
female	adult	greater-omentum_unknown_male	0.7040233075326214
female	adult	greater-omentum_unknown_female	1.9871557150042753
female	adult	heart-left-ventricle_unknown_male	1.6288508719254338
female	adult	hippocampus-proper_unknown_male	1.159607474617421
female	adult	hypothalamus_unknown_male	0.7398093022987369
female	adult	liver_unknown_male	0.8885827030645559
female	adult	liver_unknown_female	-0.6214502143747929
female	adult	lower-leg-skin_unknown_male	1.5398234958063868
female	adult	lung_unknown_male	1.269098394678452
female	adult	minor-salivary-gland_unknown_male	0.5920619886034447
female	adult	nucleus-accumbens_unknown_male	0.39947394199775654
female	adult	pancreas_unknown_male	1.5845567816025357
female	adult	pituitary-gland_unknown_male	-0.19323520491248938
female	adult	putamen_unknown_male	1.2030403053480037
female	adult	sigmoid-colon_unknown_male	1.8116604035436463
female	adult	sigmoid-colon_unknown_female	-2.313263485760917
