sex	age_group	term	combined_zscore
female	adolescent	Colon-Sigmoid_female	-1.0397301169197517
female	adolescent	Colon-Sigmoid_male	0.22302470554503034
female	adolescent	Colon-Transverse_female	-0.8031094367543559
female	adolescent	Colon-Transverse_male	-0.23752017003108733
female	adolescent	Esophagus-Gastroesophageal-Junction_female	-1.6227812122281384
female	adolescent	Esophagus-Gastroesophageal-Junction_male	-0.5682243644362022
female	adolescent	Esophagus-Mucosa_female	-0.5486213711608102
female	adolescent	Esophagus-Mucosa_male	0.6375228328178296
female	adolescent	Esophagus-Muscularis_female	-1.0937086939429872
female	adolescent	Esophagus-Muscularis_male	-0.43006889369653606
female	adolescent	Heart-Atrial-Appendage_female	-1.2961536000694274
female	adolescent	Heart-Atrial-Appendage_male	0.5049329778182735
female	adolescent	Heart-Left-Ventricle_female	-1.0819307017278605
female	adolescent	Heart-Left-Ventricle_male	0.009283182338320987
female	adolescent	Kidney-Cortex_female	-1.7470755858112021
female	adolescent	Kidney-Cortex_male	-0.5206756030565598
female	adolescent	Liver_female	-2.668826524818535
female	adolescent	Liver_male	-0.6053035587556914
female	adolescent	Lung_female	-1.4585121790202913
female	adolescent	Lung_male	1.2990838365824875
female	adolescent	Minor-Salivary-Gland_female	-2.46575082880394
female	adolescent	Minor-Salivary-Gland_male	-0.06950566929460944
female	adolescent	Muscle-Skeletal_female	-1.511050176352943
female	adolescent	Muscle-Skeletal_male	-0.373527720621915
female	adolescent	Nerve-Tibial_female	-2.2726515205306783
female	adolescent	Nerve-Tibial_male	-0.6788800659980458
female	adolescent	Pancreas_female	-2.070139619445564
female	adolescent	Pancreas_male	-1.675228854292405
female	adolescent	Pituitary_female	0.5471496978902005
female	adolescent	Pituitary_male	-1.1797496073756528
female	adolescent	Skin-Not-Sun-Exposed-Suprapubic_female	-0.9466542546635308
female	adolescent	Skin-Not-Sun-Exposed-Suprapubic_male	-1.3742812727034097
female	adolescent	Skin-Sun-Exposed-Lower-leg_female	-0.4831000149668496
female	adolescent	Skin-Sun-Exposed-Lower-leg_male	-0.9648948945596035
female	adolescent	Small-Intestine-Terminal-Ileum_female	-0.8536721490626527
female	adolescent	Small-Intestine-Terminal-Ileum_male	-0.36982070426059266
