gene	female_child_2
10713	-0.00228818420041182
10714	0
10716	-0.00215166255640799
1071	-0.00607732908311169
10721	0
10723	0.01695170553162737
10724	9.185101680330812e-5
10725	0
10726	-0.00438397910540861
10728	0
10730	0
10732	0.00901176961810249
10733	0
10734	-7.0359832010941e-4
10735	9.8375436355118e-4
10736	9.010990685967194e-5
10737	0.00290483370518996
10738	0
10739	-0.00422579470118679
10741	0
10742	-3.7337879408978e-4
10744	-0.01195199549124861
10745	0
10746	0.00171137118576379
10747	0
10749	-0.00665097059232473
10750	0.02256800033183991
10752	0
10753	-3.2456415061272e-4
10755	0
10758	0
1075	0
10761	0
10762	0.01024811431545459
10763	0
10765	0
10766	0
10767	0
10768	0
10769	-0.003620654606271
10771	0
10772	0
10773	0
10775	0
10776	0.00109333083133988
10777	0
10778	8.7345038204239e-4
10780	0
10781	0
10782	0
10785	0
10786	0
10787	0
10788	-0.00176132988623975
10791	0.00727509887189651
10793	0
10794	0
10795	-0.00158225804472195
10797	-0.00193493314574758
10798	-0.00121273988784198
10799	0
107	-3.1770331083304e-4
10801	0
10802	0
10803	0.03492280334790399
10807	0
10808	-0.00709993992683638
1080	0
10810	-0.02084580842836186
10813	0
10814	0
10816	0.01643691143789006
10817	0
10818	0
1081	0.00445428628676983
10825	0
10826	-0.00210190307664679
10827	0
10840	0.01487015250664856
10841	0
10842	0.02989037869126154
10844	0
10845	0
10846	0
10847	-0.00527577894053923
10848	0
10849	-0.01321400008206902
1084	-0.0015516310615323
10850	0
10855	0.00411597912946161
10856	-0.00219129235107673
10857	0
10858	0
10859	9.1389610999169e-4
10861	0
10863	-0.00880068100157325
10864	0
10865	0
10866	0
10867	0
10868	0.00869296551304757
10869	0
10871	0.00736426556922915
10873	0
10874	-0.00105753027052533
10875	0
10876	0
10879	0
1087	0
10880	0
10881	-0.00269085550144923
10882	0
10884	-0.00228810955377906
10885	0
1088	-0.03738030818265638
10891	-0.01818705659177157
10892	-0.01252225146417463
10893	0
10894	0
10895	0
10897	0.00219308615011373
10898	0
10899	4.8561047584093e-4
1089	0.03423755024636633
108	0
10900	-0.00402315078198496
10902	0
10903	0
10904	2.1022444475826e-4
10905	0
10906	-0.00271700870801056
10907	0
10908	-0.00234956995359744
10911	0.13286273514811914
10912	-0.00216813347312288
10913	0
10914	0
10915	0
10916	0
10917	-0.0365287515436731
10919	-0.00250168554990893
10920	0
10921	0
10922	-0.00356876656239547
10923	-0.00234489425086245
10924	-0.0266095584326814
10926	0
10927	0
10928	-0.00199201355177155
10929	0
10930	0
10935	0
10936	0
10938	-6.1905957422839e-4
10939	0
