gene	female_young_child_3
10585	0
10586	0
10587	-0.0172962532745724
10589	0
1058	0
10590	0.00264260080960645
10591	-0.00692527549305378
10592	-0.00356642568000464
10594	0
10595	0
10598	0.00838598969270606
10599	-0.00692999826703981
1059	-0.01276452908000746
105	-0.00866783419086873
10600	0
10602	-0.02417759903398509
10603	-0.00559213473870693
10606	2.7712357457132e-4
10607	-2.3063632709838e-4
10608	-9.937633229579e-4
10609	0.01696469012980505
1060	0
10610	-5.6120447039905e-4
10611	0.00724972563905376
10612	0
10613	0
10614	0
10615	3.0340069627624e-4
10616	0
10617	0
10618	0
10621	-7.549876967083525e-5
10622	0
10623	0
10625	2.7571738986345e-4
10627	0
10628	0.00520931716431985
10629	0
1062	0
10630	-0.00103591851052508
10631	0
10632	1.3046453523883e-4
10633	0
10634	-0.00262386810435013
10635	-0.01176465781593564
10636	-7.9066694708589e-4
10637	0.00241228943088363
1063	0
10640	0.00509913546522047
10641	0
10643	-0.03847359723962761
10645	0
10647	0
10648	0
10650	0
10651	0
10652	0
10653	0.00465640957508629
10654	0
10656	0
10657	0
10658	0
10659	0
10660	0
10661	0.00463967197952253
10663	0.00765454606977995
10664	0
10665	-6.427484948336505e-5
10666	0
10667	0
10668	0.00716217989250346
10669	-0.00187394819547822
10670	0.00270042898612347
10671	0
10672	0
10675	0.01140009403451074
10677	0
10678	0
10681	-0.00342146975344416
10682	0
10683	-2.852040486897e-4
10686	-0.00272169598313909
10687	0
1068	0
10690	0
10691	-1.9271211261466e-4
10692	0
10693	-0.00154400554724725
10694	0.00502408773104193
10695	0
10699	0
1069	-0.00142479845972182
1070	-0.00864869799641715
10712	0
10713	0.00933228556449644
10714	0.00239791210469798
10716	0
1071	-0.01634366699013702
10721	0
10723	-4.9090717134369e-4
10724	-0.00155854786267552
10725	0.00770440236457412
10726	0.00152301790151261
10728	0.00682717524818455
10730	0
10732	2.4880437411554e-4
10733	0
10734	0.00960870743266848
10735	0
10736	-0.00119638319838503
10737	0.00868790116755577
10738	0
10739	-0.00637589001610229
10741	-0.00445195104312153
10742	-0.01186750150952249
10744	0
10745	0
10746	0
10747	-0.00160910275385573
10749	-0.00110705584131766
10750	-0.00558624040336688
10752	0
10753	0
10755	-0.01517761557361896
10758	0
1075	0
10761	0
10762	-0.0140773192279932
10763	0
10765	0
10766	0.019897868922151032
10767	0.01885339565967415
10768	0.00505899846974919
10769	0
10771	0
10772	0
10773	0.00793326761828362
10775	0.0025863883666459
10776	0.00698345081781152
10777	0
10778	0.00491545882914189
10780	0
10781	-0.00292260197857482
10782	0.00822015936881603
10785	-0.00196121618167947
10786	0
10787	-9.6093299276078e-4
10788	-0.009757308772625
10791	0.02417364256073285
10793	0.00826492233817584
10794	0
10795	4.3688329507703e-4
10797	0
10798	0
10799	0
107	0
10801	0
10802	0.00588615463132113
10803	0.00323463989124305
10807	0
10808	0.01407281247507529
1080	0
10810	-0.00405055906403923
10813	0
10814	0
10816	0
10817	0
10818	0
1081	-1.6394848148548e-4
10825	0
10826	-0.00358369046827904
10827	0
10840	-0.0100282204683761
10841	0.00367291778454858
10842	0.01504020756417486
10844	0
10845	-0.00836410670347403
10846	-0.00146363530093969
10847	0
10848	0
10849	-0.02006891530629762
1084	0
10850	0
10855	-0.00391223315102354
10856	0
10857	-0.00273334457825879
10858	7.695019786531e-4
10859	-0.00276092728767287
10861	0
10863	0
10864	0
10865	-0.00828596965394155
10866	0.00701163433975455
10867	-0.00149050216988003
10868	-0.01002381635241214
