gene	male_infant_3
10227	-7.2253244659416e-4
10228	0
10229	0
1022	-0.00681819015386646
10230	0
10231	0
10232	-3.1588848996343e-4
10233	-0.00259363271178715
10234	-0.00649423819519307
10235	0
10236	0.00117706456858187
10237	0
10238	0
10240	-0.00404157600264312
10241	0
10242	0
10243	0
10244	-2.3359898844937e-4
10245	2.9401844902154e-4
10246	-0.00174021173548136
10247	0
10248	0.00148182394762246
10249	0
10250	0
10252	0.01896997266646021
10253	0.00532457341779299
10254	0
10255	0
10256	0
10257	0
1025	-2.4596862796801e-4
10260	0.02213837779083493
10261	0
10262	0.00396167073905128
10263	0
10265	0.00119791701699366
10266	-0.00872977477640842
10267	0.003692542129446
10268	0.00129450657906933
10269	0
1026	0
10270	-1.1830669698935e-4
10272	0
10273	-0.00224617136759512
10274	-0.00469694439474321
10276	0
10277	0
10278	-6.1750655477405e-4
10279	-0.00431385560880977
1027	0.00180911536096041
10280	0
10281	0.00574592307135875
10282	0
10284	0
10285	3.374325559822e-4
10286	-0.0068671080537945
10287	0
10288	0.0048436310509582
10289	0.00601714057980457
1028	0
10290	0
10291	0
10293	0.00840236311494024
10294	-9.1410863832386e-4
10295	0
10296	-0.00310438033284199
10297	0
10298	0
10299	-0.0052879483587605
1029	-0.00724196179153624
102	0
10300	4.6488645622339e-4
10301	0
10302	-0.00230393517804479
10307	-0.00719886439314673
10308	0.00710883004184662
10309	5.6991049481123e-4
1030	0
10311	0
10312	-0.00477986538568925
10313	0.00543120710921306
10314	-0.00182907993564503
10316	0.00608056924733007
10317	0
10318	-0.0095249648366887
10319	-0.00174772147644218
1031	0
10320	0
10321	-0.03673012795798357
10322	-5.1311510865376e-4
10324	0.00243475774272229
10325	5.0437303282744e-4
10327	0
10328	0.00256615315785838
10329	-1.2922309153856e-4
1032	0
10330	-0.00168446676404221
10331	0
10332	-0.00489786880201924
10333	-0.00833399360124722
10336	0
1033	0.00376720624307923
10342	0
10343	0
10346	0.00870478032621109
10347	0.00216459351034342
10351	-8.6094593152738e-4
10352	0
10360	0
10362	0
10363	0
10365	0.00706769625532084
10367	0
10368	-0.00539950380859632
10369	0
1036	-0.00709813875465539
10370	9.5637980224292e-4
10371	0
10376	0
10379	6.2673830923087e-4
10381	0
10382	0
10383	0.00903372308853267
10384	-0.01636162107690775
10385	0
10388	-0.00427347402739901
10389	0.00378547223756056
1038	0
10390	-0.00155678983826781
103910	0.01217999434089179
10391	0.03203508996316825
10392	0
10393	0
10394	0.01040623107013241
10395	0
10396	9.0465599248984e-4
10397	0
10398	-0.0096471328263552
10399	0.00678687601168381
1039	0.0133983284801125
103	0
10400	0
10401	0
10402	0.005495409085037
10403	0.00312291219412242
10404	-0.01112064233731447
10406	0
10407	0.00854613563816776
10408	0
10409	0.01177494722167498
1040	0
10411	0
10413	-0.00354776212893078
10417	0.01041308847974049
10418	0
10419	-0.00856971019375385
1041	0
10420	-8.4361865238119e-4
10421	0
10422	0
10423	0.00510210491679228
10424	0
10425	0
10426	0
10427	0
10428	0
10430	0
10432	0
10434	0.00117125485925062
10435	0
10436	-0.00373814369152796
10437	0.00226962341716037
10438	0.01074925041030751
10439	0
1043	0
10440	0
10443	0
10444	0
10445	0
10446	0
10449	7.6946177162163e-4
1044	0
10450	-0.0028622319408689
10451	0
10454	0
10455	-0.00369036320174879
10456	0
10457	0
10458	0.00120475771291321
1045	0
10460	-0.00100817017711912
10461	-0.02691599751036585
10462	0.00465540158763314
10463	-0.01023094932930428
10464	0
10465	0
10466	0.00131105476003688
10467	0.01275879664270321
10468	0
10469	-0.00279703870714086
1046	0
10471	0
10472	-0.00623598149705207
10473	0
10474	0
10475	0
10478	0
10479	-0.00719051410635761
1047	0
10480	0.00118768535043134
10481	0
10482	0
10483	-1.681375081329e-4
10484	0
10485	0
10486	0
10487	0
10488	-0.00421197812241698
10489	-1.6232689407728e-4
1048	0
10490	0
10491	-0.0034074576773853002
10492	0
10493	0
10494	-0.00809504877697487
10495	0
10497	-0.00818477271211504
10498	0
10499	0
104	0
10500	0
10501	0
10505	-0.00163349855738863
10507	0
1050	0
10512	-0.00410847880787671
10513	-0.00834537953358716
10514	0
10516	1.3193114919307e-4
10518	-0.00326549765743348
10519	0
1051	9.9442440333637e-5
10520	-0.00487752200264113
10521	0
10522	-3.8194081348145e-4
10523	0.0012710769153179
10524	0
10525	-0.00150813010580226
10526	0
10527	0
10528	-6.9340611313383e-4
10529	-0.00886642396595231
1052	0.00485854651742374
10531	0
10533	-0.00433175353081179
10534	0
10535	0.00217755944820513
10536	0
10537	-0.00834207482325286
10538	-0.00308967316907499
10539	-7.4654104247484e-4
1053	-0.00148421810725784
10540	0
10541	0.0011649004740192
10542	0
10544	-6.2485766029841e-4
10548	0
10549	0
1054	-0.00479175746498821
10550	0
10551	0
10552	-0.01041868944769053
10553	-0.0114518625057689
10554	0.00538791247129118
10555	0
10556	-0.00205837032746284
10557	0
10558	-0.00138926841669042
10559	-0.00329543158006671
10560	-0.02260109466552866
10561	-0.00660869882265763
10562	-0.02010010490194604
10563	-0.00636065084390191
10564	8.918695441562137e-5
10565	-0.00566655546702022
10566	0
10567	0.00159176176797581
10568	0
1056	0.00489967772604803
10570	0
10572	0
10573	0
10574	0
10575	0.00401862541583425
10576	0
10577	0
10578	-0.01551166195443647
10579	0.00396072185440492
10580	0
10581	0.01441671483767733
10584	-0.00140182710108906
10585	0
10586	0
10587	-0.00211393922103613
10589	-4.4931188781952e-4
1058	0.00885643939819695
10590	0
10591	0
10592	0
10594	0
10595	0
10598	3.4852389129091e-4
10599	0
1059	0
105	0
10600	0
10602	0.00735047848538154
10603	0.00158594524501468
10606	0.00558455974489724
10607	0
10608	0
10609	-8.1467708631928e-4
1060	0
10610	-0.00534837888564663
10611	0
10612	0
10613	0
10614	0.00191890194816191
10615	0
10616	1.9977967218951e-4
10617	0
10618	0
10621	-0.00616214204031519
10622	0
10623	-0.00174767233194315
10625	-8.1863914243917e-4
10627	0
10628	0
10629	-0.00221315668488369
1062	0.00740690548554234
10630	2.1268812864431e-4
10631	0
10632	0
10633	0
10634	0.00880193572879011
10635	0.00481342980878175
10636	0
10637	0.011400893386408621
1063	0.00329450886712995
10640	0
10641	-0.00847113490817697
10643	0.17098591915334874
10645	0
10647	-4.1524989755996e-4
10648	0.00439193017667885
10650	0
10651	0.00109732364667948
10652	-5.3578470929482e-4
10653	-0.01030782356182166
10654	0
10656	0
10657	0
10658	0
10659	7.895074076995652e-5
10660	0
10661	0
10663	-0.00478415180196707
10664	0
10665	0
10666	-0.00119973575378129
10667	0
10668	0
10669	-0.00359404886855344
10670	0
10671	-6.2831749435421e-4
10672	0
10675	0.00483258458434845
10677	-0.00398013037451259
10678	0
10681	0
10682	-0.00310095532733848
10683	0
10686	4.2226913701414e-4
10687	0
1068	0
10690	-1.8668280713404e-4
10691	0
10692	0
10693	-0.00291737726714578
10694	0
10695	0.0013768790588219
10699	0
1069	8.2472543342659e-4
1070	-0.00537947899562982
10712	0
10713	0
10714	0
10716	0.0033757641220652
1071	-0.00316322449787627
10721	0
10723	0
10724	0
10725	-0.01611491405880258
10726	0
10728	0
10730	0
10732	-0.00458693468756136
10733	0
10734	-0.0035961016978277
10735	0.00528724776730508
10736	0
10737	0.0026731141179155
10738	0
10739	0
10741	0
10742	-0.02371993421694293
10744	0
10745	-0.01357263860572668
10746	0
10747	0
10749	0
10750	-0.00530180257797712
10752	-0.00528064819132981
10753	0
10755	0
10758	0
1075	-0.0065048591558891
10761	0
10762	7.6693441007189e-4
10763	8.8072702200116e-4
10765	-0.00194968987486104
10766	9.5841081442185e-4
10767	0
10768	0
10769	0
10771	0
10772	-0.00274251616657133
10773	-0.00755340549816584
10775	0
10776	0
10777	0
10778	0
10780	0
10781	-0.01397261023769992
10782	-0.00714917408187512
10785	0
10786	0.00123525618686688
10787	-0.0062662949272006
10788	0.0034032889638337
10791	0
