gene	male_old_adult_2
10575	0.00155483005420384
10576	-4.2018486863893e-4
10577	-0.00910672884615768
10578	0.02289561597228846
10579	0
10580	2.0983861783941e-4
10581	0
10584	0
10585	0.00797761445772773
10586	0
10587	0
10589	0
1058	-0.00301466800535659
10590	-0.0016784882940253
10591	0
10592	0
10594	0
10595	0
10598	0
10599	0
1059	0
105	0.01035944930739999
10600	0
10602	0.00183509468042173
10603	0
10606	0
10607	0.00120202540002223
10608	0
10609	-0.00943191344103532
1060	0
10610	-0.00803187401600119
10611	0
10612	0
10613	0
10614	0.00564776619043401
10615	0.00608492539920464
10616	0.0019989181559461
10617	0
10618	0
10621	-0.00730512965463926
10622	0.00848333975239195
10623	0
10625	0
10627	-0.0025057358592021
10628	0.00515695209478293
10629	0
1062	-0.00416377966588462
10630	-0.00938359881385432
10631	6.9408461879553e-4
10632	0.00133840948163336
10633	-4.9099325803474e-4
10634	-0.00489153981093732
10635	0.00102036514053373
10636	-0.01068868794714703
10637	7.887356206525721e-6
1063	0
10640	0
10641	0
10643	0.00704256151956628
10645	-0.00365938206466686
10647	0
10648	0
10650	0.00494823828156008
10651	-0.00624967086478029
10652	0
10653	0
10654	0.00399129190014673
10656	0
10657	0.00269654000663537
10658	0
10659	0.00169439267237373
10660	0
10661	0
10663	-0.00330818916594654
10664	0.00447075254759609
10665	0
10666	0.02918052400929206
10667	0
10668	0
10669	-0.00179007944725034
10670	0
10671	0
10672	0
10675	0
10677	0
10678	0
10681	0
10682	0.00246813056393031
10683	-0.00620257786244153
10686	0
10687	0
1068	0
10690	-0.00420755546511901
10691	0.00506404724219164
10692	0
10693	0.0060754043427949
10694	0
10695	0
10699	0
1069	0
1070	0
10712	0
10713	0.00340544853490783
10714	0
10716	0
1071	-0.01947901055830215
10721	-0.00426822655381119
10723	-0.00417213873215935
10724	0
10725	0
10726	0.00169650904329797
10728	0
10730	0.00105806728128233
10732	-0.00557884527700329
10733	0
10734	0
10735	0
10736	0
10737	0.00183782369172682
10738	-0.01079518294478558
10739	0
10741	-0.01467751408986434
10742	0.00480541009605915
10744	-0.00399118972189099
10745	0.01116168980306629
10746	0
10747	0
10749	0
10750	0.00275608009201107
10752	0
10753	0
10755	0.00247190691677075
10758	-0.00113065198478166
1075	-0.00163284514987117
10761	0
10762	0
10763	0.00784130695677142
10765	6.3573255465512e-4
10766	0
10767	-0.00267379757223215
10768	0
10769	-0.0223304311517106
10771	0
10772	0
10773	0
10775	0
10776	0
10777	0
10778	0
10780	0.002044226688033
10781	0.01329761203478988
10782	0.00755568085301634
10785	0
10786	-0.00461594262979665
10787	-0.00979166107974462
10788	0.01467454083879581
10791	0.0060677873667596
10793	-0.00965012067847389
10794	0
10795	-2.9383435290432625e-5
