gene	female_infant_2
10252	0.00502279378675062
10253	0.00142716400901542
10254	-0.00100356055402705
10255	0
10256	0
10257	-0.00676268120886214
1025	0
10260	0
10261	0.01732009554571032
10262	0
10263	0.00662622860307411
10265	-0.01065627637319592
10266	0
10267	0
10268	0
10269	0
1026	-0.00902635384710517
10270	0
10272	-0.00130174167451204
10273	0
10274	-0.00354306257222138
10276	-0.00753291163888427
10277	0
10278	0
10279	-6.270936134991508e-5
1027	0
10280	0
10281	0
10282	-0.00470199889075799
10284	-0.00315391650966369
10285	0
10286	0
10287	-0.00213248986974829
10288	0.01555179183094902
10289	0
1028	0.01298326867838332
10290	0
10291	0
10293	0
10294	0
10295	0
10296	0
10297	0
10298	0
10299	0
1029	0
102	0
10300	-0.00278682243682138
10301	6.9779077660547e-4
10302	0.00450934914058832
10307	-0.00278732629835148
10308	0.00397933343352677
10309	0
1030	-0.0032542272020373
10311	0
10312	-0.00160684172582879
10313	0
10314	0
10316	0
10317	-0.00147387301435678
10318	-0.00111678290401168
10319	0
1031	-0.00119041514276301
10320	0
10321	0
10322	0
10324	0
10325	8.0952633582954e-4
10327	0
10328	0
10329	-0.00862114889597082
1032	0.01318573074359517
10330	0
10331	0
10332	0
10333	-0.01065405574178459
10336	0.00511209160056985
1033	0
10342	-0.00365776957766698
10343	0.00235636249690368
10346	-0.00151177899655779
10347	0.0041954555977023
10351	-0.00303237683959251
10352	0
10360	0
10362	0.00238295303409808
10363	0
10365	8.7189916449258e-4
10367	-0.00404327871305632
10368	0
10369	0
1036	-0.00185050109980646
10370	0.00542773416672046
10371	0
10376	0
10379	0
10381	0
10382	0
10383	0
10384	-1.670345648322659e-5
10385	0
10388	-0.00556196162142888
10389	0.00381440610806717
1038	0
10390	0.00199856226347356
103910	0
10391	0.01299421056847423
10392	0
10393	0
10394	0
10395	0
10396	8.6624874764458e-4
10397	0
10398	-0.01909716183880053
10399	0
1039	0
103	-0.00576100918293333
10400	0
10401	-0.00862912296190733
10402	0.0049922672920316704
10403	0
10404	0
10406	0
10407	-0.00199217019900299
10408	0
10409	0.00204934608288675
1040	0
10411	0
10413	0
