gene	female_old_adult_3
10201	-0.01336956039293919
10202	0
10203	0.00576488729586723
10205	1.5347342934037e-4
10206	-0.00649549140717086
10207	0
10208	0
10209	-9.9865146921079e-4
1020	0
10210	-0.00637116271435795
10211	0
10212	0
10213	0
10214	0.00245920706826144
10215	0
10216	-0.00411756508221081
10217	2.4352982277998e-4
10218	-0.00721633516564511
10219	0.00226794044781659
1021	0
10220	0
10221	0
10223	0
10225	0
10226	0
10227	0
10228	0.00349770125278453
10229	0
1022	0
10230	-0.00448183363749489
10231	0
10232	0
10233	0.00156206568968947
10234	-0.00295312714963642
10235	0.00793577335567916
10236	0
10237	-0.00237812886569725
10238	0
10240	-0.00106865211992762
10241	0
10242	0
10243	0
10244	0
10245	0
10246	0
10247	0
10248	0
10249	0
10250	-0.00555668525264746
10252	0
10253	0
10254	0.00184384511986624
10255	0
10256	8.3510295467001e-4
10257	4.3389358809423e-4
1025	0
10260	0.00215680656554684
10261	0.01700059163247269
10262	0
10263	-0.00388481601964162
10265	0
10266	-0.0060294125267312
10267	-0.00302374038692404
10268	0
10269	0
1026	0
10270	0
10272	-0.00445411944778584
10273	0
10274	0
10276	-0.0021223305360207
10277	0
10278	0
10279	-1.45112152673e-4
1027	0
10280	0
10281	0
10282	0
10284	0
10285	0
10286	0
10287	0.00645620003485575
10288	0
10289	0
1028	0
10290	0
10291	0
10293	0
10294	-0.00830240624651434
10295	0
10296	0
10297	0
10298	0
10299	-0.00124846121440624
1029	0
102	0
10300	0
10301	0
10302	0
10307	0
10308	0.00262593995608887
10309	-0.00171568334270433
1030	0
10311	0
10312	0
10313	-0.00304484329064275
10314	0
10316	0
10317	0
10318	0
10319	-0.00373876399135779
1031	0
10320	0.01004170804687397
10321	8.7536069356489e-4
10322	0
10324	0
10325	-0.0035696536616271
10327	0.00509587360938032
10328	0
10329	5.2748746489537885e-5
1032	0
10330	0
10331	0
10332	-0.00751502954331808
10333	0.00689044929663167
10336	0
1033	0
10342	0
10343	0
10346	0.00515252280713727
10347	0
10351	-0.02757193299224699
10352	0
10360	-0.00654393475821841
10362	0
10363	0.00144397581895853
10365	0
10367	-0.0013984237502025
10368	0
10369	0
1036	0
10370	0.00888598502478123
10371	-9.9009798905531e-4
10376	0
10379	0
10381	0
10382	0
10383	0.00741278172798127
10384	0
10385	9.9670214583226e-4
10388	0.01122555357009423
10389	-0.00345588907689025
1038	0
10390	-0.00156046827391399
103910	-0.01104218086287611
10391	0
10392	0
10393	0
10394	-0.00459367925364716
10395	0
10396	0
10397	0
10398	0.00645866767212126
10399	-0.00629397228103849
1039	0
103	0
10400	0
10401	0
10402	0
10403	0.03988954914746581
10404	0
10406	-0.00895147424117996
10407	0.0126737122818075
10408	0
10409	-0.0163608412397445
1040	0
10411	0
10413	0
10417	0.00305469793128659
10418	0
10419	0
1041	0
10420	0
10421	0
10422	-0.0025517427129594
10423	1.8233724217917e-4
10424	-7.1203329146837e-4
10425	0
10426	0
10427	0
10428	-6.2455987822243e-4
10430	0.00195694275912298
10432	-0.00592115996336356
10434	0
10435	0.00141542605245016
10436	0
10437	0
10438	0
10439	0.03397639849478789
1043	0.00526152765631672
10440	0
10443	0
10444	0.00485896188465883
10445	0
10446	0
10449	0
1044	0.00314598900454604
10450	0
10451	0.01039195070032633
10454	0
10455	0.00883522003116165
10456	-0.0015699676010607
10457	-0.01304309694281601
10458	0
1045	-0.00282557235763855
10460	-0.00415695391212503
10461	0
10462	-0.01138534269095743
