gene	female_older_adult_2
1022	-0.00417049413047244
10230	-0.00375152033586057
10231	0
10232	0.01190333195554292
10233	0
10234	-0.00448644458970895
10235	-0.00766310582752695
10236	0
10237	5.2046339850649e-4
10238	0
10240	0
10241	0
10242	0.00197256498464111
10243	0
10244	0
10245	0.00655827082930838
10246	-0.00390439815869771
10247	-3.5288150191650456e-5
10248	0.00248063926554713
10249	-1.3999269076742e-4
10250	-0.00631723244523472
10252	-0.00818641706547871
10253	-0.02410437968590548
10254	0
10255	0.00335293757888903
10256	-0.00199664263479255
10257	0.01294504733253574
1025	0.00417653035801778
10260	-0.01048514700538631
10261	0
10262	-0.01856301817085704
10263	0
10265	0
10266	-0.00804268888152093
10267	-0.00224304240229747
10268	0.00683915057905054
10269	0
1026	-0.0042393812600423
10270	0
10272	0
10273	0
10274	0.00337286129146867
10276	0.00660125922781033
10277	0
10278	0
10279	0.01291350953894491
1027	0
10280	0.00483843893080337
10281	0
10282	0.00898963433389449
10284	-5.88684051491e-4
10285	0
10286	0
10287	-0.00472299537350431
10288	-0.02377344610968014
10289	0
1028	0.03637968418181096
10290	0.00127240548142369
10291	0
10293	-0.01098663412056589
10294	-0.00461915003344981
10295	0.00175237598118401
10296	0
10297	0
10298	-0.001498291008737
10299	-0.00978653667031363
1029	-0.00180994984639387
102	-0.00627035291963716
10300	0
10301	0.0094884373609509
10302	-0.00494581906434838
10307	0.01014662476679266
10308	0.01428191641160602
10309	-0.00929859839946793
1030	-0.01337151840169008
10311	0.00471862481274222
10312	0.00798568645829427
10313	0
10314	0
10316	-0.00273140644638078
10317	0
10318	0.00172018723069348
10319	0
1031	-0.01054782794860054
10320	-0.00155845023947133
10321	0
10322	0
10324	0
10325	0.01392299293037469
10327	-0.00125719242173091
10328	-0.00510336861212153
10329	0
1032	0
10330	0.00423784233067067
10331	0
10332	-0.01469330757918184
10333	0.00218994145442225
10336	0.01378463513351887
1033	-0.00326624656136407
10342	0
10343	0.0027112486045213
10346	0
10347	0
10351	-0.01118180718156392
10352	0
10360	-0.00761798095405958
10362	-0.00563256072669479
10363	0
10365	-0.01607225705755988
10367	0
10368	0
10369	0
1036	0
10370	0
10371	-3.4642623190188e-4
10376	0
10379	0
10381	-0.01917360647831849
10382	-0.01937940632112189
10383	0
10384	0.01216872661663647
10385	0.00156189322168503
10388	0
10389	0.00888687375982383
1038	0.00129988051346141
10390	0
103910	-0.00479113865853378
10391	-0.00277135309878584
10392	-0.0024479284879656
10393	-0.00740178815252301
10394	-0.0068386538609957
10395	0
10396	-0.00582864223046342
10397	0.00177515110807974
10398	0
10399	-0.00179319393170845
1039	-0.00258651484122973
103	2.3924335295795926e-6
10400	-0.009263119886527
10401	0.00397694749506814
10402	0
10403	-0.01365126322247522
10404	1.994561925593095e-5
10406	0.003782932620204
10407	-0.00840306579565214
10408	0
10409	0.00349873055025878
1040	0
10411	0
10413	0
10417	-0.00526312495667456
10418	0.00109099611382352
10419	-0.00344496011543315
1041	-0.0018091690682537
10420	0
10421	0.00317625758225387
10422	-0.00562590435267704
10423	-0.00898660705803482
10424	0.00176140787944496
10425	0.00564805447739999
10426	0.00711122473340346
10427	0
10428	0
10430	-2.5860068750279215e-5
10432	0.0083824298243547
10434	-0.0015533807640453
10435	0.00313797770719743
10436	0
10437	0.00547941681830126
10438	0.00555420187397316
10439	-0.02135665997043574
1043	0
10440	0
10443	-0.00573755631218045
10444	0
10445	-0.00270195524944195
10446	0.0036873551618498
10449	0.00279305357046415
1044	-0.00252916698525939
10450	0
10451	0
10454	-0.00369043194222838
10455	-0.00428026402000551
10456	0
10457	-0.0222917816170705
10458	0
1045	0
10460	-0.00435794978923479
10461	-0.0051536037338115
10462	0
10463	-0.00174942656820819
10464	0.00108674776523178
10465	-0.00538062228711625
10466	3.9775596987645e-4
10467	-0.01195895009689028
10468	0
10469	0
1046	0.00654266420821993
10471	-0.00352504795237504
10472	0.00132520725274179
10473	0.00218303869296358
10474	-0.00496012210045438
10475	-0.00110819681163022
10478	0
10479	0.00519296540216823
1047	0
10480	0
10481	0
10482	0
10483	-0.00232610808387508
10484	0
10485	0
10486	-0.00231221318467212
10487	0
10488	0.00113703556588734
10489	-0.00224564728820447
1048	0.01733879232537757
10490	-0.01067210870343173
10491	0
10492	0
10493	0
10494	0
10495	-0.00629893832252238
10497	0.00663548085015834
10498	0.00909300221637617
10499	4.4971613079073e-4
104	0
10500	3.1912037548187e-4
10501	0
10505	0
10507	-9.6675056892778e-4
1050	0
10512	0
10513	-0.00140395222101788
10514	0
10516	0.01883990475167166
10518	-0.00484173389961629
10519	0
1051	0.00282605831499469
10520	0
10521	-0.00327072861165369
10522	0
10523	0.00736391379400942
10524	0
10525	-0.00321923328857165
10526	0.00202422055717097
10527	-8.0218155679305e-4
10528	0
10529	-0.01595709225371356
1052	-0.01945947541729428
10531	-0.01497184042825769
