gene	male_older_adult_3
10197	-0.00106943481086913
10198	0
10199	0.00361289198324523
1019	0
101	0
10200	0
10201	0.00109701930130119
10202	-0.01360015455627328
10203	-0.00306582707918075
10205	0.00683029025853872
10206	0.01300091547326907
10207	0
10208	0
10209	0
1020	0
10210	0
10211	0
10212	0.00466530044824683
10213	0
10214	0.02007561333814668
10215	0
10216	0.00679281962435562
10217	0.00355800763072281
10218	-0.00174631667870342
10219	0.02601617889856684
1021	0.00548749675418954
10220	-0.00342620504622547
10221	-0.01735166846370709
10223	0
10225	-0.01390183061915823
10226	0
10227	0
10228	0
10229	0
1022	0.0032727126021686
10230	0.01411663254211455
10231	-0.00396601069763982
10232	0.01466691169496992
10233	-0.0246133668165867
10234	0
10235	0
10236	-1.0558567393769e-4
10237	0
10238	0
10240	0
10241	-0.00146192938110817
10242	-0.01085320711471141
10243	-0.00208801920368044
10244	0
10245	-0.00367768766145241
10246	0
10247	-0.01706800375435788
10248	0.00365998036458693
10249	0
10250	-0.01335427740047991
10252	-0.0113012067736142
10253	8.360030881133e-4
10254	0.00275283101958328
10255	0
10256	0
10257	0
1025	0
10260	-0.02457044245707101
10261	0
10262	-0.00158563209323283
10263	-0.01409794006392831
10265	0
10266	-0.00808853039859621
10267	-0.02560417990262331
10268	-0.01369081819799565
10269	-0.00815396822889283
1026	0.00746929709044756
10270	-2.8245025726986e-4
10272	-0.00282704407901833
10273	0
10274	0.00577892812328865
10276	-0.00189449935266089
10277	0.0117336131165717
10278	0
10279	0
1027	0.00407100427520866
10280	0.00921337968945549
10281	-0.01408471532097618
10282	0
10284	-5.2409461543398e-4
10285	0.00669669669605747
10286	0.00110292997679448
10287	-5.1052890627935e-4
10288	-4.2914444749324e-4
10289	0.01376054141851497
1028	0.00631925433955062
10290	0
10291	0
10293	0.03243230199550394
10294	0
10295	0
10296	5.4621327268275e-4
10297	0.00747255856165305
10298	0
10299	0.00201448123812098
1029	0.00909262805664518
102	0
10300	0
10301	0
10302	9.414968042370076e-5
10307	-0.00640476843164676
10308	0
10309	0.00266823478201001
1030	0.01821297208288169
10311	0
10312	0
10313	6.339638926235505e-6
10314	0.0031244891478737
10316	0.00998297305898161
10317	0
10318	0
10319	0.00454851865993832
1031	-0.00730528349226866
10320	0
10321	-0.0079938199389855
10322	0
10324	-0.00462017323323029
10325	0
10327	0
10328	-0.00679802251309914
10329	-0.00309391119110697
1032	0.01575911743370527
10330	0
10331	-0.00732804498287149
10332	0.0090462534258098
10333	4.303611638055e-4
10336	-4.3158196140555e-4
1033	-0.01781567378747929
10342	0
10343	-0.00596647857702478
10346	9.5180044813002e-4
10347	-0.01160330447627185
10351	0.01132946727820435
10352	0.01099360447681769
10360	0
10362	-0.0020035098096367
10363	0.00156537799414652
10365	0
10367	0
10368	0.01108285517265143
10369	0
1036	-0.00706696765353543
10370	-0.01503930881146979
10371	-0.00341224081454292
10376	0
10379	-0.0049191995549637
10381	0.00633353041394436
10382	0
10383	0
10384	-0.0076366506678777
10385	0
10388	0
10389	0.01351355637933282
1038	0
10390	-0.02225472934431769
103910	0.00980565975349344
10391	-0.01125816897386229
10392	0
10393	-0.00908733253991765
10394	-0.02120598215802965
10395	0
10396	-0.00608084418360985
10397	0.00999516818011556
10398	0.02580879270149549
10399	0
1039	0.00730060427750631
103	0
10400	0.00533063725223614
10401	0
10402	-0.02160152987970598
10403	0
10404	-0.0096703864715121
10406	0
10407	0
10408	-0.0036515427859594
10409	0.0252977247662839
1040	-0.0050047488631183
10411	0
10413	-0.00709157861082679
10417	0.02088621728089567
10418	-0.00588261126919938
10419	0.00857733145340052
1041	0
10420	0
10421	0
10422	0.00682974561381064
10423	-0.00748254345385655
10424	0
10425	0
10426	-0.00275575566948242
10427	0
10428	0.00234851161451981
10430	0
10432	0
10434	0
10435	0
10436	0
10437	0.0261799551417889
10438	0.01715605042139972
10439	-0.05711740700889663
1043	-0.03644869360478448
10440	-0.00336521383986985
10443	0.00886576211467323
10444	0.01602586297572407
10445	0
10446	0
10449	0.0133022613985735
1044	0
10450	0
10451	0.01054418592599061
10454	0
10455	0.0247727324009126
10456	-0.00360956770654846
10457	-0.01433997640271668
10458	0
1045	0
10460	-0.00761603311650713
10461	0.00434940833221372
10462	-0.03786979196942065
10463	-0.01318106228915062
10464	0.00571907573174334
10465	-8.6892731018142e-4
10466	-0.00707154092672137
10467	-0.01200942380726393
10468	-0.00335667488816774
10469	0.01057301675716783
1046	0.01734931003717255
10471	-0.01447854448942737
10472	0.01036893706246708
10473	0
10474	0
10475	-0.00622236272451085
10478	0
10479	0
1047	-0.01116131529951541
10480	0
10481	0
10482	-0.00311164968600683
10483	0
10484	0
10485	0.00835583841058846
10486	-0.0015303346817404
10487	0
10488	-0.00291912727273016
10489	0
1048	-0.00771242142243613
10490	0.00209073837036357
10491	0.00971373467165446
10492	-0.00366426874764108
10493	0
10494	0
10495	0.01699507089269819
10497	-0.00555780950659969
10498	0.00403402746043917
10499	0.0477888024440554
104	0
10500	0
10501	0
10505	0
10507	0
1050	-8.449606759263963e-5
10512	-0.00373769924285801
10513	-0.0010650064702195
10514	0
10516	0.07389470115959025
10518	0
10519	0.00160885160381645
1051	0
10520	0
10521	0.01652211626671162
10522	0
10523	-0.00265322384632754
10524	0.00461762505821924
10525	-0.01530132298829222
10526	0
10527	0
10528	-0.00405618036903262
10529	-0.02366633040911224
1052	0.00231224348119423
10531	-0.00936338247179485
10533	-0.00197388336636214
10534	0
10535	0.00665688682066989
10536	-0.00372815434286225
10537	0
10538	0
10539	8.8626847468946e-4
1053	0
10540	0
10541	1.6336679633702e-4
10542	-3.5554820009567e-4
10544	-0.02415531717073177
10548	0
10549	0.02253020545754818
1054	0
10550	0
10551	-0.02038211747916344
10552	-0.00135567463219133
10553	0
10554	0
10555	-0.01042739930983602
10556	0.02260688519914721
10557	0.0056581140741481
10558	-0.00266936345805931
10559	0
10560	-0.00458943775643174
10561	0
10562	-0.00233130520106701
10563	0
10564	-9.3418378629757e-4
10565	0
10566	-0.01868026893983134
10567	-0.010451860576494
10568	0
1056	0
10570	-0.01175662589705226
10572	0.00476805829136745
10573	-0.01761071753676779
10574	-0.01666019442854163
10575	-5.6730013490339e-4
10576	-0.01263607364521633
10577	0
10578	0
10579	0
10580	0
10581	-0.00115769126032058
10584	-0.01405062616679225
10585	-0.01904402101677403
10586	0
10587	0.00286124266110908
10589	-0.01499260507454787
1058	0
10590	0.00910806714350984
10591	0
10592	0.00551420609985004
10594	0
10595	0
10598	-0.00313960294624055
10599	-0.001366726920082
1059	0.01055724483404833
105	-0.00307753178350535
10600	0
10602	0
10603	0
10606	0
10607	-0.00673431705591579
10608	0
10609	0.02434105872419742
1060	6.7634602708573e-4
10610	-0.02160099668858463
10611	-0.01121391018845412
10612	-0.00367973417421594
10613	0
10614	-0.00693295415878815
10615	-0.01581409050196948
10616	0
10617	0
10618	-0.00805306370143291
10621	0
10622	0.00560444572439644
10623	-3.1362321746363e-4
10625	-0.00433582154082549
10627	0
10628	0.00757152085015171
10629	-3.7730690072296e-4
1062	0
10630	0.00138095567592788
10631	-0.00460472140941887
10632	-0.00536954929387231
10633	-0.00535940021563012
10634	0.00900364691092584
10635	-0.00635274674176885
10636	0.00431408300808869
10637	-0.00524147129719289
1063	-8.7000897340695e-4
10640	0
10641	0
10643	-0.08262023866790821
10645	0
10647	0
10648	-0.00876432473117798
10650	0.0061497825567461
10651	-0.00343381020749677
10652	0
10653	0
10654	-0.00643172547238079
10656	0
10657	-0.00984685812418401
10658	0
10659	0
10660	0.00961746868800125
10661	0
10663	-0.01528084943508695
10664	-0.00467654115352965
10665	0
10666	-0.04912153227410699
10667	0
10668	0
10669	0
10670	0
10671	-0.00478075644053346
10672	-0.01206342114989261
10675	0
10677	-0.01416946554425946
10678	0.03010093504313097
10681	0
10682	0
10683	-1.3500758773384e-4
10686	0
10687	0
