gene	male-elderly-coarse-1
101928865	0
101928881	0
101928886	0.002825701615597575
101928894	0
101928896	0
101928909	0
101928922	0.030999047508401986
101928937	0
101928940	0
101928973	0.0071607788411010165
101928978	0
101928988	0
101928989	0
101928999	0
101929002	0
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0
101929064	0
101929076	0
101929081	0
101929084	0
101929109	0
101929110	0
101929116	0
101929123	0
101929144	0
101929151	0
101929153	0
101929154	0
101929162	0
101929164	0
101929172	0
101929176	0
101929181	0
101929210	0
101929224	0
101929239	0
101929241	0
101929243	0.026455255468923772
101929260	0
101929261	0
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0
101929335	-0.01700259638353972
101929378	-0.0010990181462599024
101929384	0
101929406	0
101929407	0
101929413	0
101929423	0
101929441	0
101929460	0
101929472	0
101929478	0.025436578611148723
101929486	0
101929488	0
101929497	0.00404773889986497
101929505	0
101929511	0
101929517	0
101929524	0
101929526	0
101929528	0
101929529	0
101929536	0
101929538	0
101929549	0
101929552	0
101929557	0
101929570	0
101929582	0
101929584	0
101929586	0
101929591	0.0027836944401327846
101929592	0
101929607	0
101929620	0
101929623	0.00515010739158873
101929631	0
101929651	0
101929657	0
101929690	0
101929693	0
101929694	0
101929717	0
101929718	-0.005105282693319206
101929719	-0.004551959190793131
101929726	0
101929730	0
101929745	-0.001627912424406085
101929748	0
101929759	0
101929760	-0.009633669064608493
101929765	0.002766289650148556
10193	0
101930114	0
101930421	0
101930452	0
10194	0
10195	0
101954204	-0.037165741935783855
10196	0
10197	0
101978719	0
10198	0
10199	0.003497557235171308
102	0
1020	0
10200	0
10201	0.004903295824586939
10202	0.003045158090928589
10203	0
10204	0
10205	0.013838703558044918
10206	0
102060282	0
10207	0
10208	0
10209	0
1021	0
10210	0.00740608026557575
10211	0.001709436206006423
10212	-0.006380705267785718
10213	0
10214	0.011495343425949654
10215	0
102157402	0
10216	0
10217	-0.012797928252156057
10218	-0.002638889891538428
10219	0
1022	0
10220	0
10221	-0.027732350575563655
10223	-0.006121367158374991
10224	0
10225	0
10226	-0.007536750996130211
10227	0
10228	0
10229	-0.002940076896459195
10230	0.004735378809136429
10231	0.005252715608013354
10232	-0.022090450055963516
10233	0
10234	0
10235	0
10236	0
10237	0
10238	0
1024	0
10240	0
10241	0
10242	0
10243	0
10244	0
10245	0
10246	0
102467079	0
10247	0.01039617052025834
10248	0
10249	0
1025	0
10250	0.025114714677850456
10251	0
10252	0
10253	0
10254	0
102546226	0
102546294	0
10255	0
10256	0
10257	0
1026	0
10260	0.006140400036053679
10261	0
10262	0
10263	0
10265	0
10266	-0.005662442485759218
10267	0
10268	0.01585966494781833
10269	0
1027	0
10270	0
10272	0
102723335	0
102723526	-0.014830943355445889
102723661	0
102723684	0
102723692	0
102723701	0
102723775	0.01578710406746173
102723786	0
102723809	0
102723932	0
102724009	0
102724094	0.0073771363106589875
102724201	0.0020191938497709206
102724323	0.06835661374046349
102724368	0
102724508	0
102724511	0
102724532	0
102724612	0
102724699	0
102724814	0
102724927	0
102724929	0
10273	0
10274	-0.0036812600901964315
10276	-0.038980737268970896
10277	0
10278	0.025241576358393317
10279	0
1028	0
10280	0
10281	0
10282	0
10283	-7.315987274361539e-4
10284	0
10285	0
10286	0
10287	0
10288	0
10289	0
1029	0
10290	0
10291	0
10293	0
10294	0
10295	0
10296	0
10297	0
10298	0
10299	-0.006000595390368227
103	0
1030	-0.018114760209195058
10300	0
10301	0
10302	0
10307	0.0017391734039915638
10308	5.044500489487662e-4
10309	0
1031	-0.0130326381276259
10311	0
10312	-0.0031772219645460685
10313	0
10314	0
10316	0
10317	0.006654200681385428
10318	0
10319	0
1032	0
10320	0
10321	0
10322	0
10324	0.004029332681990015
10325	0
10326	0
10327	0
10328	0
10329	0
1033	0
10330	0
10331	0
10332	0.009569049513835618
10333	2.002811717221179e-4
10335	0
10336	0
10342	0
10343	0
10344	-0.017031270664375438
10345	0
10346	0
10347	0
10350	0.029728772231828876
10351	0.003468336240128681
10352	0.01502184878497469
1036	0
10360	0
10361	0
10362	0
10363	0
10365	-0.015937879135913498
10367	-0.005351790254742893
10368	0
10369	0
10370	0
10371	0.04032969168935411
10376	0
10379	0
1038	0
10380	0
10381	0
10382	0
10383	0
10384	0
10385	0
10388	0.03951412067643889
10389	0
1039	0
10390	0
10391	0
103910	0.00836345584017639
10392	-0.0033835501451566124
10393	0.009675580666136994
10394	0
10395	0
10396	6.216402104887457e-4
10397	-0.00837947079596048
10398	0
10399	-0.01634631420355101
104	-0.01988396033524983
1040	0
10400	0
10401	0
10402	-0.008471308751833764
10403	0
10404	0
10406	0.08179385042602286
