gene	male-adult-coarse-3
100506755	0.0420687729082217
100506757	0.001246724409477054
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	-0.001604493602190558
100506797	-0.020749908347088206
100506826	0
100506827	-0.03765165632467197
100506834	0
100506840	0
100506866	0.056137732436444654
100506874	0
100506895	0
100506907	0
100506922	0
100506930	-0.018845917582528234
100506963	-0.04849522354293378
100506994	0
100506999	0.005186011696839404
100507027	0
100507034	-0.005410523798195149
100507050	0
100507057	-0.01058301027320542
100507058	0
100507059	0
100507062	0
100507064	0.010062227621732752
100507086	-4.289012156200246e-4
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0.06741288881168506
100507173	0
100507203	-0.0020739461414478228
100507206	0
100507240	0
100507246	0
100507250	0.009671229096796824
100507254	-0.07940592744642468
100507257	0.061162353437489665
100507261	0.0032759039878712684
100507266	-0.037562582862898
100507274	0
100507277	0.016497114160878113
100507283	0.004095732910220642
100507290	0
100507300	0
100507303	0.003883128009837636
100507316	0.027441661680608145
100507331	0.006718451835377197
100507336	0.041992671596128656
100507362	0
100507384	0.011341798613790475
100507388	-0.014317782591281851
100507389	0.06113892444596975
100507391	0.012634367509784371
100507392	0.01478570064160837
100507403	0
100507421	0.005397025631627446
100507423	0
100507428	0
100507433	-0.05491359337718404
100507436	-0.00169167350900505
100507459	0.07374147165508281
100507461	-0.00551781607525025
100507462	0
100507463	-0.051981958078174025
100507468	0
100507470	0
100507475	-0.031217451361392774
100507477	0.015770408573580332
100507487	0.019017700772183996
100507495	0.0460808752633652
100507506	0
100507524	0
100507527	0
100507533	0.0019369720513801787
100507534	0.011008101769452173
100507537	-0.004272170405232692
100507540	0.022371897825700173
100507547	0.001497625790127879
100507564	0
100507567	0.05684537965305525
100507584	0
100507600	0
100507602	0.022409084365754593
100507605	-2.731422499931444e-4
100507629	0.03146271798398075
100507632	-0.03295105578691203
100507642	0
100507650	0.06236899713691869
100508631	0
10051	0
10052	0.037783693432996514
100526820	-0.011872727567230163
100528062	0
10053	0.029684069383516674
100533106	0.045873433751683255
100533178	0
100533182	0.05054454704462958
10054	-0.002482080902557513
10055	0
10056	0.014218963931343864
10057	0
10058	0.04395683865137527
10059	0
1006	-0.10842326913414455
10060	0.006601392894980916
10061	0.026307366693911496
10062	-0.0324704106692796
100628307	0
100631378	0
100652740	-0.054775593214322675
100652791	0
100652824	0.019604641078525793
100652853	-0.03722066792725195
100652911	0
100652929	0.02666588335158362
100652999	-0.02629462653170414
10066	0
10067	0
10068	0.08156961097942225
10069	-0.00256107672375004
1007	0
10071	0
10072	0
10073	-0.026648853247327426
10075	-0.019659221945285132
10076	-0.024223323630949083
10077	-0.06638882054283314
10078	0.042084664350042336
10079	-0.013203180301877317
1008	0.01117577984451982
10081	0.045639289292536585
10082	0
100820829	-0.013072699020382527
10083	0.06341174905985958
10084	0.042040368545967335
10085	0.022125398986119874
100852408	-0.02096103149099424
100852409	0
100859921	0
100859930	0.04924018650969919
10086	0
100861552	0.002491034596417777
100861553	0
100861554	-6.54629230242328e-4
100861573	0
100862662	-0.05498410850518863
100862671	0.009899940653339266
100862679	0.02170760658493702
100862680	0.010252163749924844
100862704	0.011767968245412713
10087	-0.03320379362624403
100873930	-0.008795000659285741
100873942	0
100874012	-0.012577246432663359
100874018	0.009114277725675739
100874021	-0.020187928551412986
100874032	0.022807578483813443
100874051	-0.02493407635452442
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	-0.019019013447028343
100874195	0.020843035611611355
100874205	0
100874239	-0.029931188147736442
100874251	-0.0180713462112937
100874253	0.005184652145543333
100874323	0
100874362	0.08130255934719105
100874365	0.007933431877751883
100885778	0.018830405359480593
100885781	0
100885798	0
100885848	-0.014207929781347247
10089	-0.0026685027372426733
1009	-0.03446893395564955
10090	-0.033272350571532744
10092	5.258827438613343e-4
10093	0
10095	0
10096	0
10097	0
10098	0.012647120772798878
10099	-0.0482317261141462
100996246	-0.012335883799327981
100996251	3.2338096114098864e-4
100996279	0.009889644939662047
100996286	0.09649695994573547
100996301	0
100996307	0.050229124590811074
100996342	0.0341526530797734
100996419	0
100996425	-0.008648876680080644
100996455	0.007714726777139524
100996485	0.03686775729971235
100996490	0.023235512239711816
100996492	0.04892487741364501
100996570	0.016798278509179088
100996579	-0.026634551419392475
100996590	0
100996624	0
100996671	0
100996694	0
100996702	0.039307416292660415
100996902	-0.015055327622196895
101	0.028988082320524262
1010	-0.012831154620546108
10100	-0.01327694018560715
10101	-0.01154989909105336
10102	-0.012442275056101676
10103	0.052161933727580316
10105	0.08388623747467973
101055625	0.0022509080221947567
101059948	0
10106	-0.0011540210767163512
101060019	0
101060200	0.027839344148566467
101060264	-0.06485193840304479
101060544	0
10107	0.02628493987572764
10109	0
10110	0
10111	0
10112	0
10113	0
10114	0
10116	-0.03053285392327337
10117	-0.0075242897557965165
1012	-0.012582220818907749
10120	8.383930070853942e-4
10121	-0.011357378076420626
10123	0.007723866130979574
10125	-0.011916356575168196
10126	0.046595523424995074
10127	0.0072315571752032065
10128	-0.012816688271582641
10129	-0.00819283354315858
1013	0.06048539303584799
10130	0.02095489055891003
10131	0.029382404531494714
10133	-0.04625585281816763
10134	0.012398830719825744
10135	0
10136	0.0075046724210831965
10137	0
10138	0
10139	-0.06528418297790525
1014	0.028912326951516874
10140	0
10141	-0.020683854553371395
101410533	0.025306102835884168
101410538	0.039312456187717566
10142	-0.008813005461719859
10143	-0.03993256895339462
10144	0.012492151723607492
10146	-0.00898042369793023
10147	0
10148	0
10149	0.03030920574599986
1015	0.013745818980151647
10150	0.03847148306157433
10152	-0.02913025791249149
10153	-0.04677608582429736
10154	0
10155	0
101559451	-0.0051399853694822075
10157	0
10158	0.09773899864919701
10159	-0.004977365863529605
1016	0.006317068289768479
10160	-0.005191037382351809
10161	0
10162	0
10163	0
10164	0.025449414432700417
10165	-0.0040847357133542124
10166	0.011612542077124411
10168	0.012776104725688036
10169	0.06313198206150458
1017	-0.030188141060709668
10170	0
10171	0
10172	-0.011864659773245469
10174	0
10175	0.008818860475675056
10178	0.01670482475329745
10179	0
10180	0.02983332624498116
101805491	0
10181	0
10184	-0.01301945456114816
10186	0
10188	0.020702969099822853
10189	0.06012608833982804
1019	0.005955048098048308
10190	0.018004693510217693
101926888	0
101926890	-0.023115799399291162
101926892	0.016878892882662297
101926903	0.02118975819300858
101926928	-0.0032172070342664713
101926934	0
101926942	0
101926951	-0.0062817265509177295
101926978	0
101926987	-0.004858380306449795
101927003	-0.022747341521077106
101927007	0
101927017	0.014192208696643359
101927018	-0.06298245421182941
101927027	-0.06854540752316177
101927034	0.06351555393601195
101927038	-0.014008688233228365
101927040	-0.0013689411990444916
101927043	-0.03632341688472913
101927051	0.027281872390651496
101927059	0
101927067	0.006548377763355245
101927074	-0.047085029964222064
101927075	0.003048070447372908
101927081	0.029736818168002395
101927096	0
101927111	0.0026882283445327977
101927112	0
101927115	-0.12044803907705451
101927123	-0.05532331394960695
101927124	-0.042279412138859586
101927125	0
101927129	0
101927131	0.017230469780705967
101927138	0
101927143	0
101927150	0
101927151	-0.04751757293317584
101927152	-0.07050903729358433
101927159	0
101927164	0.006525580088846217
101927193	-0.03673757104237162
101927195	0
101927196	0.014692497952238162
101927204	-0.012905148959910366
101927219	0.0249575542092854
101927220	0.00637643483122051
101927228	0
101927237	-0.012685800327291673
101927244	0
101927253	-0.007483573647987561
101927257	0.0222307890368241
101927273	0
101927274	0
101927275	0.03803082716422645
101927282	-1.5870602052382254e-4
101927286	0
101927292	0.07097340140558843
101927295	0.018345468102229912
101927310	0
101927314	-1.8772514983057225e-5
101927320	0
101927346	0
101927348	-0.03127921936630378
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0.0015521973988677398
101927396	0
101927402	-0.0029295620998386557
101927410	0
101927411	0
101927416	-0.005568496899385324
101927417	0
101927420	0.002757252337186331
101927433	0
101927438	-0.019622061702077545
101927447	0
101927449	0
101927450	0
101927460	-0.022332911299993822
101927482	0.00927868899485084
101927494	-0.002213479184203609
101927495	0
101927498	-0.005797974324029467
101927502	-0.01348525993736972
101927503	-1.3273836572268058e-4
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0.019929343682300496
101927539	-0.0028027141499870098
101927543	2.840519431276893e-4
101927547	-0.04080891632979415
101927553	0.05560726793145401
101927565	0
101927581	0
101927586	0
101927587	0
101927588	0
101927592	0
101927599	0
101927606	-0.05589404207067234
101927616	0
101927636	0.044521712016737665
101927641	0.0647323412606237
101927650	0.027158259892535726
101927657	0
101927659	-0.014679013979645678
101927682	0
101927690	0
101927701	0.0016488482105986493
101927702	0.047850871059025836
101927720	0.0035062681517474352
101927722	0.024444982255816244
101927735	0
101927760	0.003156906743259745
101927766	0.013646184090955766
101927769	0
101927787	-0.006214226277623789
101927798	0
101927808	0
101927809	-0.047506928107721974
101927815	-0.0029295369946560827
101927821	0.03610582462751564
101927828	0
101927829	0
101927839	0.007786682111017154
101927843	-0.010912089619168787
101927849	0
101927869	0
101927870	0.018107479934296247
101927876	0
101927877	0
101927884	0.008991414041868262
101927900	0
101927901	0.008142638941333475
101927907	0
101927914	0
101927934	0.016533649115438632
101927943	0
101927948	-9.717193876464823e-4
101927950	-0.024862208981919678
101927953	0
101927972	-0.002110423722465732
101927974	-0.026264332556609156
101927992	-0.025913701722533364
101927994	0.012650021601632077
101928000	0.02171708627538884
101928002	0
101928009	0
101928012	0
101928031	0.03403397933632754
101928035	0.04083201499402325
101928040	-0.0030144775404589113
101928043	0.027043772471206685
101928052	0
101928069	0
101928079	0
101928087	0
101928098	-0.0011478765516908362
101928100	0.04160919767323942
101928101	0.010739716044716876
101928104	0.0012605075948777529
101928111	0
101928120	0.04593671833845887
101928132	0
101928134	0.04309329601333098
101928144	0
101928158	0
101928162	0
101928165	0
101928167	0
101928185	0.025281367952242933
101928190	0
101928201	4.43285977819116e-4
101928205	0
101928222	-0.049567312277898755
101928227	0.06971110278049132
101928238	0.03465182600707106
101928251	0
101928259	0
101928271	0
101928276	-0.0027427394055148783
101928280	0.04022702504271099
101928288	0
101928298	-0.017137936737320218
101928303	0
101928333	0.006151414959726291
101928335	0
101928371	-0.01796097904192445
101928376	0
101928386	0
101928388	0
101928389	-0.007835262424461514
101928399	0.009540341386747874
101928401	-0.01774780399982791
101928405	0.030112878116882683
101928418	0
101928424	0
101928435	0
101928443	0.012228588957556163
101928446	0
101928449	0
101928460	0
101928461	0.01835751881206331
101928464	0
101928475	0
101928476	0.029784208326522923
101928495	-0.045130563828117004
101928496	0
101928516	0
101928521	0.017301984623225127
101928525	0
101928535	0
101928537	0
101928539	0
101928555	0.0032290190520793726
101928557	-0.021903406243853916
101928559	0
101928565	-0.04153109275082156
101928571	0
101928578	0.018719741500969556
101928580	0.0038913298175062274
101928583	-0.05085904571278402
101928590	-0.02160393727002921
101928597	0.006641777339538836
101928602	-0.0420649226036336
101928616	0.01620454361811591
101928618	0
101928622	-0.023887482672318824
101928646	0.008272099497384902
101928649	0
101928651	0.004717176360442743
101928661	0
101928673	0.03176777026049691
101928682	0.032722251465707154
101928684	0
101928687	0
101928694	0
101928700	0
101928707	-0.09452110832123294
101928708	0
101928710	-0.05323751136201419
101928725	0.034199259204770495
101928728	0
101928731	0
101928739	-0.02884950404972792
101928748	0
101928751	0
101928770	-0.028959590907565808
101928773	0.008966098580848673
101928778	-0.01225186002524778
101928784	0.03034785876161862
101928790	-1.0818837147540843e-4
101928795	-0.002582478489433994
101928797	0
101928809	0.0288772386468926
101928820	-0.02877689138276429
101928823	0
101928834	0.02067399330118779
101928837	0.03808177772721666
101928844	-0.04603669738820029
101928845	0
101928846	-2.8906271320283585e-4
101928847	0.014948124073096957
101928850	2.5986596866709095e-4
101928857	0
101928858	-0.058135832589433785
101928865	-0.010780009412807209
101928881	0
101928886	0.00860859706581588
101928894	0.009808086855293177
101928896	0
101928909	0
101928922	-0.07784500003810998
101928937	0.010755912015026573
101928940	0
101928973	-0.005064678703589043
101928978	0
101928988	0
101928989	0
101928999	-9.511303034899142e-4
101929002	0
101929004	0
101929019	0.0037043930626302728
101929027	0
101929034	0
101929052	0
101929064	9.627405196481571e-4
101929076	-0.009064668650575695
101929081	0.0017749341734721456
101929084	0
101929109	-0.0014550444504454422
101929110	-0.03877155674009063
101929116	0
101929123	0
101929144	0.006594327577100293
101929151	0
101929153	0
101929154	0
101929162	-0.007906800098782023
101929164	0.019142831359884413
101929172	0
101929176	0
101929181	0.006724149781838979
101929210	0
101929224	0.022715123257090006
101929239	-0.009295209909674402
101929241	0.02645191832145814
101929243	-0.07119906062824968
101929260	0
101929261	-0.004876193047467497
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0.023034334334840284
101929335	0.011142847069838754
101929378	-0.004770920130391261
101929384	0
101929406	0.019129411027481558
101929407	0.004804126501919199
101929413	0
101929423	-0.09258492603037999
101929441	0
101929460	0
101929472	0.05862564568257503
101929478	0
101929486	-0.0479026851133579
101929488	0
101929497	-0.018260010608369886
101929505	0
101929511	0
101929517	0
101929524	0
101929526	0
101929528	0
101929529	0
101929536	0.0398272032813937
101929538	0.03421528736985422
101929549	0
101929552	0
101929557	0
101929570	0
101929582	0
101929584	0
101929586	0.027143871430762512
101929591	0.011396474618715548
101929592	0.05148481355978699
101929607	-0.019216542442310604
101929620	0
101929623	0.0027629655228618845
101929631	0
101929651	0
101929657	0
101929690	0
101929693	-7.044462394879011e-4
101929694	-0.013166367901550083
101929717	-0.020048064555637107
101929718	0
101929719	0.006347362248890867
101929726	0.04723478401873455
101929730	0
101929745	-0.022916566340843346
101929748	0
101929759	0
101929760	-0.0965976689862046
101929765	0
10193	0.007221511792637299
101930114	0.058525076533288596
101930421	0
101930452	0.0052162134092818314
10194	0
10195	0.04425497001978821
101954204	-0.03499245627738777
10196	0.017662828503067912
10197	0.007065698326749655
101978719	0
10198	0.0598015950500689
10199	0
102	0
1020	-0.032922745681362484
10200	0
10201	0
10202	-0.061987799103080304
10203	0
10204	0
10205	-0.04497334746695698
10206	0.0050638388632856385
102060282	0.03113931574284281
10207	0.04262756358633717
10208	0
10209	-0.007586755136715168
1021	0
10210	0
10211	-0.02989396539622019
10212	-0.009843351119615614
10213	-0.019734082470247254
10214	0.028393067382073374
10215	-0.01582668280330469
102157402	0
10216	-0.046076713738224306
10217	-0.017498294971743038
10218	-0.017687420609743296
10219	-5.202346801997763e-4
1022	0
10220	0.011758914687800699
10221	-0.01826392241969752
10223	0
10224	0.02659638498399766
10225	0.01219324968456748
10226	0.015817971941796974
10227	-0.033361547436559634
10228	-4.215326796543266e-4
10229	0
10230	0.028379805469889677
10231	0.0307904904276332
10232	0.02710365726112441
10233	0
10234	0.012251755982068208
10235	-0.007831021588602148
10236	0.008808573736739433
10237	0
10238	-0.008817020781029519
1024	0.014402221917034623
10240	0
10241	-0.0338764733608214
10242	-0.04898312662677386
10243	0.046473457091134304
10244	0
10245	0
10246	-0.01519508198590902
102467079	0
10247	0.03386201544609239
10248	0
10249	-0.04281054022822009
1025	0
10250	0
10251	-0.003786050962062095
10252	0
