gene	male-child-coarse-3
100133941	-0.011620209954795796
100133985	-0.025256880185370357
100134229	-0.009766244004682994
100134259	0
100134368	0
100134713	-0.00451229483286538
100137047	-0.026129824646516815
10014	0.0035322472128453473
100141515	0
100144597	0
100144602	-0.007507197634945626
100144603	-0.043706265605575285
100144748	0.01422402881069431
10015	-0.004849074830350537
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0
100188893	-0.009595298265016964
100188953	0.01045488577234497
100189589	-0.007570160762886195
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0.01499827371284805
10023	0
10024	0.0040400532069952404
10025	0
10026	0
100268168	0
100270679	0
100272147	-0.05853297435277061
100286844	0
100287015	0.035483013336349525
100287114	0
100287177	-0.018764757319401304
100287366	0
100287482	-0.016608006634775678
100287569	0.0037591232434477356
100287616	0.013057621050577865
100287814	-0.015439932634309648
100287896	5.26924950743322e-4
100287902	0
100287932	-0.010489662771639319
100288079	0
100288122	0
100288198	-0.01282980687043902
100288413	0.016047656458397275
100288637	-0.008143600008007108
100288797	0
100289092	0.019399892428303218
100289097	0
100289098	0.04332917695979443
100289187	-0.0029302264338026238
100289274	1.9527014187797824e-4
100289341	0
100289373	0
100289495	0
100289635	0.019705021735575402
100289678	-0.0029874744611387343
100292680	0
100293516	0
100294362	-0.04041646053278761
100294720	0.011792154880758795
1003	0.012172148690947985
100302691	0
100303728	0
100303755	0
100306951	0.04190029332787432
100316904	0.008299381326000322
100329135	0
100359394	0
10036	0.01884273349216238
100379174	0.006766296633701482
10038	-0.02016724594451096
100381270	0.02994306940072626
10039	-0.026376533031058455
1004	0
10040	0.047790421877460326
10042	0
100422737	0.006500368961072698
10043	-0.015508569848992898
10044	-0.005369551408585365
10045	0
10046	0.0030853939748379986
10047	0
10048	0
10049	0
100499171	-0.009884577680200592
1005	0
10050	0.007863776918674955
100500850	-0.036386185764658394
100505474	-0.018317188595780996
100505478	0
100505495	0.016499423965540515
100505501	0.008207601290058665
100505515	0
100505538	-0.013614228108201242
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	-0.008954490393163386
100505624	-0.09080165908198481
100505641	0
100505658	0
100505659	-0.007671894273394736
100505664	0
100505676	0
100505681	0
100505685	0.014148766902821682
100505687	0
100505696	-0.04730367816018928
100505715	0.006916762586949087
100505718	0
100505738	0.0022015432768233163
100505741	0.016374782358948525
100505746	0
100505761	0
100505768	0
100505776	-0.00947375322491551
100505782	0
100505783	-0.040234482178446704
100505797	9.97389423650405e-4
100505811	0
100505812	0
100505826	0.006332435119508487
100505839	0.003079825602188185
100505841	0
100505851	-0.011914465448921621
100505854	0.003871689115778751
100505876	0
100505877	0
100505879	-0.0020615835735423495
100505881	-0.0655913215656082
100505890	0
100505893	0.002407139979463555
100505894	0.015218655123221079
100505933	-0.040196828898181165
100505964	-0.009482507648081256
100505967	0
100505975	0
100505978	0.0024181554604628336
100505984	0
100505985	0
100505989	8.913229401961859e-5
100506012	-0.0077260902506419114
100506013	0.0037693300443754057
100506022	0
100506025	0.004500402142349414
100506049	0
100506068	0
100506071	0.044195351806675894
100506082	0
100506083	-0.017958567364612224
100506098	0.024423202010517005
100506100	-0.05501334319391879
100506107	-0.002674321588759664
100506108	0
100506113	0
100506115	-0.005938971387929155
100506119	0
100506122	0
100506125	0.02559827349020953
100506126	0
100506127	0
100506142	0
100506144	0
100506172	0
100506175	0.0056465271310553004
100506195	-0.02103423844677976
100506207	-0.012668401701579256
100506215	0
100506229	-0.00853098853480493
100506237	0
100506243	-0.03024217465781131
100506271	0
100506274	-0.0020574677028337273
100506286	0
100506289	0
100506302	0.014937939138161636
100506314	-0.12577183094854852
100506319	0
100506368	-0.003277257045084009
100506374	-0.01597207075920446
100506380	0.021269433632268037
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	-0.011051674665810703
100506428	0.03868545719160173
100506433	0
100506457	0.06213337347117189
100506462	0.020844073275855798
100506465	0.01644879884758586
100506469	-0.01347797514097771
100506475	-6.10651490240399e-4
100506489	0
100506492	0
100506495	-0.0016942222766318437
100506497	0
100506498	0
100506504	0
100506526	-0.004350970843137785
100506527	0.022464464598895055
100506530	0
100506540	0.03842141280299848
100506542	-0.008649170752614357
100506571	0
100506581	0.01605195481600888
100506599	0.017506342321378203
100506603	0
100506606	-0.07257256168942115
100506622	0
100506655	0
100506660	0.009111715713396109
100506668	0
100506675	-0.02406886332965229
100506677	0
100506679	0.0012561647136998175
100506680	0
100506686	-0.03867848812729314
100506691	-0.0378808792193108
100506696	0.005685704320089976
100506697	-0.002416978079345995
100506710	0
100506713	0.01955508444701822
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	-8.902826428138798e-4
100506790	0
100506791	0
100506795	0
100506797	-0.032626748057412176
100506826	0
100506827	0
100506834	0
100506840	0
100506866	-0.014818586593970381
100506874	0
100506895	0
100506907	0
100506922	0.007306713199008453
100506930	0
100506963	0
100506994	-0.004702065244924463
100506999	0
100507027	0.0018486254047377177
100507034	0
100507050	0
100507057	0.040862004114314864
100507058	0
100507059	0
100507062	0.008940268548555338
100507064	0
100507086	0
100507114	-0.005753430347319936
100507117	0
100507143	0
100507156	0
100507171	0
100507173	-0.011416053186146868
100507203	0.005157702582269525
100507206	0
100507240	0.004281424945039342
100507246	0
100507250	0
100507254	0.051173758269925186
100507257	-0.016494735582440863
100507261	0
100507266	0.01691785288506551
100507274	0.0010653869126794908
100507277	0
100507283	0.008948635444150595
100507290	-0.05519976318656308
100507300	0
100507303	0.010972314704816017
100507316	0.07008983417989306
100507331	-0.007096679552885857
100507336	-0.0032086520645862888
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0
100507392	-0.023340247188187238
100507403	-0.015281728124146805
100507421	0
100507423	0
100507428	0
100507433	0.015082346328400695
100507436	0.019836759029540733
100507459	0
100507461	0
100507462	0
100507463	0
100507468	-0.0011222792127923847
100507470	0
100507475	0
100507477	-0.0014862802847936266
100507487	0.05223135789922554
100507495	0.009063525028679475
100507506	-0.007363480584608172
100507524	-0.012841913633904033
100507527	-0.0028624330625811965
100507533	-0.0030349574503190082
100507534	0
100507537	0.02118823652081333
100507540	0
100507547	0
100507564	0.008097796297808147
100507567	0.029561781486943585
100507584	0
100507600	0.003374217818805081
100507602	0
100507605	-0.012498237300398922
100507629	0
100507632	-0.010451924213158643
100507642	0.03954941054670258
100507650	-2.8522683824489263e-4
100508631	0
10051	0.014375528450746739
10052	0
100526820	0.0034778195854466283
100528062	0
10053	0
100533106	-3.344795801524339e-4
100533178	-0.009214479419044536
100533182	0
10054	0
10055	0.002340125879001592
10056	0
10057	0
10058	-0.020425765976990088
10059	-9.313718102365517e-4
1006	0.036458434907540534
10060	0
10061	-0.03027805203723482
10062	-0.014328680714073443
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	0
100652911	0
100652929	-0.0022883363222360453
100652999	-0.0018745557369928385
10066	0.013135905045251648
10067	-0.01288783237858501
10068	-0.0032105085442602223
10069	-0.005371884898060592
1007	0
10071	-0.03211036855339707
10072	-0.02388664138676031
10073	0
10075	0
10076	-0.005818747064736822
10077	9.263934500250622e-4
10078	0
10079	0
1008	0
10081	0
10082	0
100820829	-0.14123618695852694
10083	0
10084	0.006159855447486004
10085	-0.005203751778531428
100852408	0
100852409	0
100859921	0
100859930	0.004539138949972901
10086	0.008354843461654255
100861552	0
100861553	-0.01610198924082509
100861554	-0.004851218018042147
100861573	0
100862662	0
100862671	0.02248171343796415
100862679	0
100862680	0.0300993324756596
100862704	-0.019922487878457067
10087	0
100873930	0
100873942	0
100874012	0.006808943197972142
100874018	0
100874021	0
100874032	-0.009387897729130307
100874051	0
100874063	-2.843167676151122e-4
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	-0.018815633406536594
100874323	0
100874362	0
100874365	0
100885778	0
100885781	0
100885798	-0.0011057079313324548
100885848	-0.023779725037862635
10089	-0.0034599787691696926
1009	0.027159291753478604
10090	0.051590486497960227
10092	-0.0032767587370570546
10093	0
10095	0
10096	2.527116657591571e-4
10097	0
10098	0
10099	0.02976220014840586
100996246	0.003176519371304083
100996251	0.014487102756877963
100996279	0
100996286	0.047531203436863144
100996301	0
100996307	-0.020230047762459645
100996342	0
100996419	0
100996425	-0.013673441445316636
100996455	0.011164389842485392
100996485	0.026371113862540915
100996490	0.0048047974442589625
100996492	0
100996570	0
100996579	0.0782365419860682
100996590	0
100996624	0
100996671	0
100996694	0
100996702	-0.03176729990184825
100996902	0
101	0.011265305668294383
1010	0.011023926342582068
10100	-0.008763647641838318
10101	0.00767392181653224
10102	-0.014544356001223618
10103	-0.009276561006832532
10105	0
101055625	0.03239698688283731
101059948	0
10106	0
101060019	0
101060200	0
101060264	-0.06091989318839868
101060544	0
10107	0.0028968742473046184
10109	0
10110	0
10111	-0.010351978553781914
10112	0
10113	0
10114	0
10116	0
10117	-0.013760396945327096
1012	0.0785461368415505
10120	-0.011987401100198629
10121	-0.024507516805909055
10123	0
10125	0.029908873245267503
10126	0
10127	0
10128	9.180679639754949e-4
10129	0
1013	0.010332971941362876
10130	0
10131	0
10133	0
10134	-0.005358831783110074
10135	0.0029628912348545907
10136	-0.01007522861583671
10137	0
10138	0
10139	0.024427885764246048
1014	-9.633539060659958e-4
10140	-0.017404218174132118
10141	0.005315312003573466
101410533	0
101410538	0.007464615216981817
10142	0.019100393785066196
10143	-8.890913876958914e-4
10144	0.019730557175842198
10146	-0.013981434296365036
10147	0
10148	0
10149	-0.008640539244667636
1015	0
10150	0
10152	-0.0076976639038188405
10153	0.007169048935960608
10154	0
10155	0.015896832017073818
101559451	0.018345237095999386
10157	0
10158	0
10159	0
1016	0
10160	0.0378409413324174
10161	0.030446963946776217
10162	0.021021831418495524
10163	-0.028058222190200387
10164	0
10165	0.010026271155059585
10166	0.008679286815721115
10168	0
10169	-0.006575542637052036
1017	7.149061332931249e-4
10170	0.03907998940882263
10171	0
10172	0
10174	0.03151976262956643
10175	0.0034346789866478125
10178	-0.0043880955915817175
10179	0.0016860866234166725
10180	0
101805491	0.006933513783551004
10181	0
10184	0
10186	0.04148011403192804
10188	-0.01398661423158855
10189	0.015552272399337758
1019	-0.03746011279115332
10190	0
101926888	-0.00490892011705491
101926890	-0.003270261155597431
101926892	0
101926903	0.017229377528274588
101926928	-0.007435693580654361
101926934	0.004439518126492429
101926942	0
101926951	0
101926978	0
101926987	0.02054870967846914
101927003	-8.832718914249692e-5
101927007	0
101927017	0
101927018	-0.02535119084301354
101927027	0
101927034	-0.029375889276890388
101927038	0
101927040	0
101927043	0.007987853959478824
101927051	0
101927059	0
101927067	0
101927074	-0.006236091505429741
101927075	0
101927081	0.0029787250096984996
101927096	0
101927111	0.03271640818504829
101927112	0
101927115	0
101927123	0.03926056052259363
101927124	0.031263694749227654
101927125	0
101927129	0
101927131	-0.0025590353675690597
101927138	0
101927143	0.027677633223740693
101927150	0.00958469622107298
101927151	0.03812311308309438
101927152	-0.0031405263337933326
101927159	0
101927164	0
101927193	0
101927195	0
101927196	-4.3906580880943434e-4
101927204	0
101927219	0.00934973530192844
101927220	0
101927228	0
101927237	-0.024829088989456714
101927244	0
101927253	0.015983135201376456
101927257	0
101927273	0
101927274	0
101927275	0
101927282	0
101927286	0
101927292	0
101927295	-0.006954436870174098
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0.0029130859570166982
101927379	0
101927396	0
