gene	male-young_adult-fine-3
100506012	-0.0025105827372995894
100506013	0.03561235939588234
100506022	0
100506025	0
100506049	-0.004008079593094184
100506068	0
100506071	-0.02846183202483291
100506082	-0.01059869976267468
100506083	-0.007177458856917597
100506098	0.016067725901541607
100506100	-0.03105010561289332
100506107	0
100506108	0
100506113	-0.035307285404308233
100506115	0.04275571144483448
100506119	0
100506122	0
100506125	0.025706796338199906
100506126	0
100506127	0
100506142	0.009392119456966573
100506144	-0.028875769863825576
100506172	-0.045834400005584176
100506175	0
100506195	-0.02337886209693145
100506207	0.037090373431609626
100506215	-0.0038405105701558038
100506229	-0.004756806089247132
100506237	0
100506243	0
100506271	0
100506274	-0.04090704037564083
100506286	0
100506289	0
100506302	-5.63911715213274e-4
100506314	-0.0025922204992123443
100506319	0.014755831310033536
100506368	0
100506374	0.014145140484130375
100506380	0.04336786296558108
100506385	0.016867492417824037
100506405	0
100506406	0
100506409	0
100506413	0.005293151143965825
100506421	0
100506428	0
100506433	0.04743162798367072
100506457	0
100506462	0.027601872238418812
100506465	-0.05393962526245811
100506469	0
100506475	0
100506489	0
100506492	-0.009136378995427524
100506495	0.004227280284230751
100506497	0.02763204497593648
100506498	-0.0011275249055885072
100506504	0.03173773777762437
100506526	0
100506527	0
100506530	0
100506540	0.022252376387030783
100506542	0
100506571	0.004446693693267144
100506581	-0.05592954757515737
100506599	0.0443204215204281
100506603	-0.006390827233817284
100506606	1.839220699101102e-5
100506622	0
100506655	0
100506660	0.014503203948034905
100506668	0
100506675	0.019797334966862347
100506677	0
100506679	-0.012849872633856547
100506680	-0.0010939281891997412
100506686	-0.05399270245035928
100506691	0.003855230142585108
100506696	-0.02424412053097373
100506697	-0.023184153803264752
100506710	0
100506713	0
100506714	0
100506724	0
100506733	-0.005255858792153899
100506742	0
100506755	0
100506757	-0.02250641487681637
100506765	0
100506776	0
100506779	-0.006492683653238386
100506790	0
100506791	0
100506795	-0.04651026127319649
100506797	0.025010023791751438
100506826	-0.0299884989620805
100506827	0.007377045392507713
100506834	-0.006977192218494019
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	-0.008931211039875571
100506930	0.03180491778003235
100506963	-0.014321580210452446
100506994	0
100506999	0.008020512568495963
100507027	-0.010038331215267335
100507034	-2.171975208400312e-4
100507050	0
100507057	-0.06644158884225579
100507058	0
100507059	0
100507062	0
100507064	0.014427421948683008
100507086	0
100507114	0
