gene	male-old_adult-fine-2
100130950	-0.03616822554717772
100130958	0.024098583686282447
100130967	0.01129124273683331
100131017	-0.0016984972791825653
100131067	0.014861633896186891
100131117	0.010608087344499417
100131138	-0.009623793263148423
100131187	-0.0026723369451824817
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0.006504840504779891
100131434	0.016460477699990265
100131496	0
100131655	-0.017643833606991653
100131691	0
100131755	0.013280274307899536
100131801	0.02001218904916614
100131814	-0.054215058223496086
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	0
100133311	-0.01745362388143748
100133461	0
100133612	-0.017659568961317148
100133941	0
100133985	0.05546320918910821
100134229	0
100134259	0.015537272324352905
100134368	0
100134713	-0.012661647715983463
100137047	-0.051381837890214874
10014	0
100141515	0
100144597	0
100144602	0
100144603	0.0012146639208297817
100144748	0.012845573650100996
10015	0
10016	0
100169752	0
100169989	0
10017	-0.006555448343735255
100170229	-0.01834552332531092
100170765	0.013549567563771075
100170841	-0.04519132205200001
10018	2.3558416802174612e-4
100188893	0.003722957756122817
100188953	-0.005060199520698995
100189589	-0.016698637991309596
10019	0
100190938	0.014317814549762834
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100268168	0.009862042671308241
100270679	0
100272147	0.003630734613676245
100286844	0
100287015	0.006372953691210759
100287114	0
100287177	0.00609410619390483
100287366	0.022110538450097698
100287482	-0.10537152437745206
100287569	0.021232221666698217
100287616	0
100287814	0.008230820635920164
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	-0.001220942437388321
100289092	0
100289097	0
100289098	0
100289187	0.0017161908345449345
100289274	0.018018757985552213
100289341	0
100289373	0.009404081948543768
100289495	0
100289635	0.023421373767374767
100289678	0
100292680	0
100293516	0
100294362	0.0026783436343532046
100294720	0
1003	-5.472926552956004e-4
100302691	0
100303728	0
100303755	0.009055804451722903
100306951	0.02534655839515547
100316904	-0.05346581458790553
100329135	0
100359394	-0.005846108779763829
10036	0
100379174	0
10038	0
100381270	0
10039	0.006756241698601546
1004	0.0028676392523861055
10040	-0.0059287542871494904
10042	0
100422737	0
10043	0
10044	0
10045	-0.0035113004111101747
10046	0
10047	0
10048	-0.0015615351263764527
10049	0
100499171	0.015373734695080942
1005	-0.006036285321966941
10050	4.551295917702636e-4
100500850	0.04109293872747089
100505474	0
100505478	0
100505495	0.02249366354564611
100505501	0
100505515	0
100505538	-0.004434065502903023
100505540	-4.43301370567771e-4
100505545	0.003030872713011011
100505549	0
100505573	0.019359670214770197
100505583	0
100505609	0
100505616	-0.011849478609344344
100505619	0
100505622	0.030130505017608354
100505624	0.020298444935698785
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	0.006827528205847717
100505687	0
100505696	0
100505715	0.047057034126587294
100505718	0
100505738	0
100505741	0
100505746	-0.027811609430733943
100505761	-0.00601577807477146
100505768	0
100505776	0
100505782	0.014092492645612442
100505783	0.0034451373314882063
100505797	0.02985027661070521
100505811	0
100505812	0.013197431415202998
100505826	0.011281464443224953
100505839	0.013935819880215727
100505841	0.016418975268388293
100505851	0.00724883664204452
100505854	0.007259818976343004
100505876	4.603499768548931e-4
100505877	-0.008113142975397187
100505879	-0.02284589605005401
100505881	0.04486263919117145
100505890	0
100505893	0.037851531816736894
100505894	-0.01891273078811302
100505933	0.005138577692389939
100505964	-1.807210305582973e-4
100505967	0.016058675035689376
100505975	-0.013158175215898401
100505978	0
100505984	-0.02076416323822691
100505985	0.02120008150331039
100505989	-0.0025101826420152536
100506012	0.015990646812390628
100506013	0.0046896212857518715
100506022	0.05620143018890007
100506025	0
100506049	4.663387546632414e-4
100506068	0.06200534478746212
100506071	0.01017867307021572
100506082	0
100506083	0.06073567635962889
100506098	0
100506100	0.04769576850348129
100506107	0
100506108	0.040285661588561936
100506113	0.04546999703562778
100506115	-0.005064303312766908
100506119	0.03644463341567918
100506122	-0.0029104813316083752
100506125	0
100506126	-0.017890538796004742
100506127	-0.01365035485669576
100506142	0
100506144	-0.03484571947756166
100506172	-0.02268677731121333
100506175	0
