gene	female-infant-coarse-3
10175	0
10178	0.01109613812406543
10179	0
10180	-0.0015009594870268761
101805491	0
10181	0
10184	0
10186	0
10188	0
10189	0
1019	0
10190	0
101926888	0
101926890	0
101926892	0
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0
101927003	0
101927007	0
101927017	0
101927018	0.003836059327644403
101927027	0
101927034	0
101927038	0
101927040	0
101927043	0
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	0
101927112	0
101927115	0
101927123	0
101927124	0
101927125	0
101927129	0
101927131	0
101927138	0
101927143	0
101927150	0
101927151	0
101927152	-0.009937078274830055
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	0
101927220	0
101927228	0
101927237	0
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	0
101927282	0
101927286	0
101927292	-0.0075221864944904175
101927295	0
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	8.03905792802409e-4
101927417	0
101927420	0
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0
101927482	8.348320040921728e-4
101927494	0
101927495	0
101927498	0
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0
101927539	0
101927543	0
101927547	-0.0020975657866599616
101927553	0
101927565	0
101927581	0
101927586	0
101927587	0
101927588	0
101927592	0
101927599	0
101927606	1.4061034290004188e-4
101927616	0
101927636	0
101927641	0
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	0
101927720	0
101927722	0
101927735	0
101927760	0
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	0
101927821	0
101927828	0
101927829	0
101927839	0
101927843	0
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0.002033574247827578
101927900	0
101927901	0
101927907	0.004471454954907607
101927914	0
101927934	0
101927943	0
101927948	0
101927950	0
101927953	0
101927972	0
101927974	-0.0011019126018565247
101927992	0
101927994	0
101928000	0
101928002	0
101928009	0
101928012	0
101928031	0
101928035	0
101928040	0
101928043	0
101928052	0
101928069	0
101928079	0
101928087	0
101928098	0
101928100	0
101928101	0
101928104	0
101928111	0
101928120	0
101928132	0
101928134	0
101928144	0
101928158	0
101928162	0
101928165	0
101928167	8.891364584279948e-4
101928185	0
101928190	0
101928201	0
101928205	0
101928222	0
101928227	-0.010933910975586051
101928238	-0.0065639410353910445
101928251	0.011725225985963657
101928259	0
101928271	0
101928276	0
101928280	0
101928288	0
101928298	0
101928303	0
101928333	0
101928335	0
101928371	0
101928376	0
101928386	0
101928388	0
101928389	0
101928399	0
101928401	0
101928405	0
101928418	0
101928424	0
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	0
101928464	0
101928475	0
101928476	0
101928495	0
101928496	0
101928516	0
101928521	-0.020612519449630842
101928525	0.004224314553384298
101928535	0
101928537	0
101928539	0
101928555	0
101928557	0
101928559	0
101928565	0
101928571	0
101928578	0
101928580	0
101928583	-0.003897430948811243
101928590	0.006464918020382067
101928597	0
101928602	0
101928616	0
101928618	0
101928622	0
101928646	0
101928649	0
101928651	0
101928661	0
101928673	0
101928682	0
101928684	0
101928687	0
101928694	0
101928700	0
101928707	0
101928708	0
101928710	-0.0013129186517386018
101928725	0
101928728	0
101928731	0
101928739	0
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
101928784	0.008872388950203198
101928790	0
101928795	0
101928797	0
101928809	0
101928820	0
101928823	0
101928834	-0.012000973699336732
101928837	0
101928844	0
101928845	-0.009399585363765834
101928846	0
101928847	0
101928850	0
101928857	0
101928858	0
101928865	0
101928881	0
101928886	0
101928894	0
101928896	0
101928909	0
101928922	0
101928937	0
101928940	0
101928973	0
101928978	0.02049352109649373
101928988	0
101928989	0
101928999	0
101929002	0
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0
101929064	0.003965449214893067
101929076	0
101929081	0
101929084	0
101929109	0
101929110	0
101929116	0
101929123	0
101929144	0
101929151	0
101929153	0
101929154	0
101929162	0
101929164	0
101929172	0
101929176	0
101929181	0
101929210	0
101929224	0
101929239	0
101929241	0
101929243	0
101929260	0
101929261	0
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0
101929335	0
101929378	0.03183137362762373
101929384	0
101929406	0
101929407	0
101929413	0
101929423	-0.00209614312266747
101929441	0
101929460	0
101929472	0
101929478	0
101929486	0
101929488	0
101929497	0.001859185472130763
101929505	0
101929511	0
101929517	0
101929524	0
101929526	0
101929528	0
101929529	0
101929536	0
101929538	0
101929549	0
101929552	0
101929557	0
101929570	0
101929582	0
101929584	0.004702233232666969
101929586	0
101929591	0.01182078616180423
101929592	0
