gene	male-infant-fine-3
100316904	0
100329135	0.0013069665446233396
100359394	0
10036	0
100379174	0
10038	0
100381270	0
10039	0
1004	0
10040	-0.0015743323989149173
10042	0
100422737	0
10043	-0.030874930961574062
10044	0
10045	0
10046	0
10047	0
10048	0
10049	-7.404665756784551e-4
100499171	0
1005	0.003972220745497642
10050	0
100500850	0.023156666338880364
100505474	0
100505478	0
100505495	-0.001310153961754799
100505501	0.01687744951616674
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0.018166068430028742
100505619	0
100505622	-0.01596435085591021
100505624	0
100505641	0
100505658	0
100505659	0.0024496287579485946
100505664	0
100505676	0
100505681	0.012563782317100375
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0.018118491288506552
100505741	2.0018117511718287e-4
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0.008696555941196452
100505811	0
100505812	0
100505826	0
100505839	-0.0012553239290449796
100505841	0
100505851	0.002987763686768997
100505854	0
100505876	0
100505877	0
100505879	0
100505881	0.003808536527782138
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0.0017568395039005821
100505967	0
100505975	0.018932548376098673
100505978	0.007877942507381702
100505984	0
100505985	0
100505989	0
100506012	-0.004585975111578908
100506013	0
100506022	-0.005348880305417558
100506025	0.0037722585654979685
100506049	0
100506068	0
100506071	0.011013300337843977
100506082	0
100506083	0
100506098	0.009789201219119885
100506100	0.0036349633307379155
100506107	0
100506108	-0.004717282720516816
100506113	0
100506115	0
100506119	-0.0025443803776034435
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0
100506172	0
100506175	0
100506195	0.004529778165574929
100506207	-0.012064143743561169
100506215	0
100506229	0
100506237	0
100506243	-2.62432565878117e-4
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	0.050743464030291945
100506319	0
100506368	0
100506374	0
100506380	-0.003577831155545893
100506385	-0.003932838007457636
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0.006903120285075334
100506428	0
100506433	-1.8039084834319818e-4
100506457	-0.010504211944039636
100506462	0
100506465	0
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0.011660761410530974
100506530	0
100506540	-0.00794606746311119
100506542	0
100506571	0
100506581	0
100506599	0
100506603	-0.013951139089132676
100506606	0.03218439000549506
100506622	0
100506655	0
100506660	0.0052429960365153044
100506668	0
100506675	0.010939884078746465
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0
100506696	-0.009989689730214132
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	-0.0046502180946464905
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0
100506826	0
100506827	0
100506834	0
100506840	0
100506866	-0.003662657698040578
100506874	0
100506895	0
100506907	0
100506922	0.007256430153114579
100506930	0
100506963	-0.01628968371682483
100506994	0.00518314191444207
100506999	0
100507027	-0.012557704000016956
100507034	0.021318335062007338
100507050	0
100507057	-0.0076450311977977504
100507058	0
100507059	0
100507062	0
