gene	male-adolescent-fine-1
100190938	-0.02733295794018986
100192379	0
100192386	0.006488574475018246
1002	0
10020	0
10021	0
10022	-0.017981024258734494
10023	0
10024	0.01858309291502354
10025	0
10026	0.016817815252314603
100268168	0
100270679	0
100272147	0
100286844	0.04015101904159871
100287015	0.00688437452819784
100287114	0
100287177	0
100287366	0
100287482	0.05054518889881871
100287569	-0.029892834364116383
100287616	-0.018754782135962038
100287814	-0.009411622483253753
100287896	-0.01638549542577028
100287902	0.0013814639168830212
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0.020721092396885802
100288797	0
100289092	0.02382649584363991
100289097	0
100289098	0.023952669990720276
100289187	0
100289274	0
100289341	-0.0085437177628986
100289373	0.014972687737916357
100289495	0
100289635	0.011717075155889878
100289678	-0.012136447739078788
100292680	-8.47013283945392e-4
100293516	0.04107378020244483
100294362	0.051293642755693626
100294720	0
1003	0
100302691	0
100303728	0
100303755	0.020574562739774083
100306951	0.00956649161220723
100316904	0.035412552244028235
100329135	0
100359394	0.0032998385218727974
10036	0.047547956330948014
100379174	0.00480762593783244
10038	-0.034459045530497105
100381270	0
10039	0
1004	-0.01864389475247531
10040	0
10042	0.013584145210821822
100422737	-0.03316886107202924
10043	0.02622043751357237
10044	0
10045	0.014872422268175227
10046	-0.05729020226161429
10047	0
10048	0.014099821833965902
10049	-0.022546615765382385
100499171	0.023978681653787113
1005	0
10050	-0.03752402257343741
100500850	0.07124610217894242
100505474	0.013871319070771052
100505478	0
100505495	0
100505501	-0.024000341395605758
100505515	0
100505538	-0.010809731321922306
100505540	0
100505545	-0.0020128330185361963
100505549	0
100505573	-0.031278646851274204
100505583	0
100505609	0
100505616	-0.01584499572155509
100505619	0
100505622	0.008999870537594276
100505624	0.044718460974216216
100505641	0.008722725392627122
100505658	0
100505659	-0.02515715892963411
100505664	-0.00614998459501808
100505676	0
100505681	-0.006423721493843775
100505685	0.0015046957922981317
100505687	0
100505696	0
100505715	0.004153973108486905
100505718	0
100505738	9.835073017204958e-4
100505741	-0.029174149765921514
100505746	-0.010291671898212154
100505761	-0.0559159039929998
100505768	0
100505776	0.012166610671694807
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0.015360536633065337
100505826	0
100505839	-0.0024861539039184076
100505841	0
100505851	0.03237106537847052
100505854	-0.004713498512368248
100505876	0
100505877	0
100505879	0
100505881	0.015016103262702408
100505890	0
100505893	0
100505894	-0.009770032114041392
100505933	0.05134530274674668
100505964	0.006037544753674179
100505967	-0.006195142289355315
100505975	0
100505978	0
100505984	0.034568335916411765
100505985	0
100505989	0
100506012	0
100506013	0.014078937848001499
100506022	0
100506025	0
100506049	0
100506068	-0.0012959668392035738
100506071	-0.04889899727495927
100506082	-0.015303467507269495
100506083	0
100506098	0.04760190874523312
100506100	-3.9733923242534375e-4
100506107	0
100506108	-0.012014601194878164
100506113	0
100506115	-0.05557416451183883
100506119	-0.020234205481168308
100506122	0
100506125	-0.03378994618210541
100506126	0
100506127	0.01436635678419356
100506142	0
100506144	0
100506172	-0.004674457760769227
100506175	-0.03131222507421357
100506195	0
100506207	0
100506215	0.011980542939452039
100506229	-0.0513272089517849
