gene	male-child-fine-3
100303728	0.006562442119054005
100303755	-0.018160557712366087
100306951	0.01570716112054138
100316904	-0.013918397793032448
100329135	0
100359394	0
10036	-0.04195169688702926
100379174	0
10038	0
100381270	0.028623743517166438
10039	-0.013486398055557777
1004	-0.009583262995388262
10040	0
10042	0
100422737	0.04305519492866728
10043	0
10044	0
10045	0
10046	-0.008282266995744381
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0.03461931476075335
100500850	-0.0023034629829952395
100505474	-0.008125498244370038
100505478	0
100505495	0.0184059013951306
100505501	0.005723475011600865
100505515	0
100505538	0.0034425490688168524
100505540	0
100505545	0.0033755407743526135
100505549	0
100505573	0.005694969961449326
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0.07685860687002712
100505641	0
100505658	0
100505659	0.06999557801212265
100505664	0
100505676	0
100505681	0.0159765610456936
100505685	0
100505687	0
100505696	-0.013927909518975943
100505715	-0.01692300045446111
100505718	0
100505738	-0.07104603713360695
100505741	0.06146130336204771
100505746	0.02311494186960152
100505761	0.001381461167708033
100505768	0
100505776	-0.016126037185550487
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	-8.71316249258153e-4
100505841	-0.01871586755289806
100505851	0.04050253918186645
100505854	-0.004855387963384486
100505876	0
100505877	0
100505879	-0.01321699636055135
100505881	-0.017390906739893297
100505890	0
100505893	0
100505894	-2.92105428083187e-4
100505933	-0.025167463251256957
100505964	0
100505967	0
100505975	0
100505978	0
100505984	-0.0012295340580206055
100505985	0
100505989	0
100506012	0
100506013	-0.05526018956021587
100506022	0
100506025	0
100506049	0
100506068	0
100506071	0
100506082	-0.013047393913354018
100506083	0
100506098	-0.07855116120131003
100506100	0.029147157953685558
100506107	0
100506108	0
100506113	0.007281492242237525
100506115	0
100506119	0
100506122	0
100506125	0.019513792107349003
100506126	-0.016484584439295062
100506127	0
100506142	-0.01746308025439878
100506144	-0.002606492922819187
100506172	0
100506175	0
100506195	0
100506207	-0.01744202383284066
100506215	-0.040272938279142585
100506229	0.05780419896813645
100506237	0
100506243	0
100506271	0
100506274	0.02826991681769486
100506286	0
100506289	0
100506302	-0.011809653709148863
100506314	0.029682718186765336
100506319	0
100506368	0
100506374	0.020246415008122114
100506380	0.003326734695767611
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0.051248397356566715
100506433	-0.07369038950716678
100506457	-0.03894904000587391
100506462	-0.012423896296331248
100506465	-0.0026836533580188297
100506469	-0.020964760310573927
100506475	0
100506489	0
100506492	0.0036141571481563203
100506495	-0.0034797512007392344
100506497	0.013934982339575443
100506498	0
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0.014770824966521332
100506542	0.029417600304421823
100506571	0
100506581	0
100506599	0
100506603	0.03207004563007367
100506606	-0.028401479570825207
100506622	0.011827412898235176
100506655	0
100506660	0.003162213079957466
100506668	0.009963394759839789
100506675	0.04540737501601893
100506677	0
100506679	0
