gene	male-older_adult-fine-3
100506504	0.009530123898645807
100506526	1.6902892625034148e-4
100506527	-0.01438767992064006
100506530	0
100506540	0
100506542	-0.02480075325802767
100506571	0
100506581	-0.0055370223081788504
100506599	-0.008156620361922752
100506603	0.0028761180711933576
100506606	0.020177903567615188
100506622	0
100506655	0
100506660	0.036095568898442135
100506668	0
100506675	-0.05832571349166244
100506677	0
100506679	0.009111565125667045
100506680	0
100506686	0.07631422074863013
100506691	0.007993952845473612
100506696	0.014137170740569435
100506697	0
100506710	0
100506713	0
100506714	-0.017277848314157584
100506724	0.005240261008264705
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	-0.007232806926502984
100506779	0.01889295105217595
100506790	0
100506791	0
100506795	-0.0040679961248683396
100506797	0.03071502439362587
100506826	0
100506827	0.018893390323410163
100506834	0
100506840	0
100506866	-0.07595221959191943
100506874	0
100506895	0
100506907	-0.009737679748076556
100506922	0.0020822540460457228
100506930	0.04622779223440399
100506963	-0.014269572691662454
100506994	0
100506999	-0.01852533099824076
100507027	0
100507034	0
100507050	-0.008295574405432545
100507057	0.03091657231858175
100507058	0.008308559349079403
100507059	0
100507062	0.01890381195896713
100507064	-0.043522859415996255
100507086	0
100507114	-0.01685059395514742
100507117	-0.00900388218892457
100507143	0
100507156	0
100507171	-0.03554826164415825
100507173	0.00915868754391876
100507203	0.0015401509913307116
100507206	0
100507240	0
100507246	0
100507250	-0.023765936023925096
100507254	0
100507257	0
100507261	-0.004700448886828785
100507266	0.07256234152769966
100507274	0
100507277	0.0012843643473248922
100507283	0.004664946154651182
100507290	0
100507300	-0.0031054095872419573
100507303	-0.01644607117772911
100507316	0
100507331	0
100507336	-0.006082445877388067
100507362	0
100507384	-0.023880654505748916
100507388	-0.0028582944503195706
100507389	-0.011862881267324462
100507391	0.01249392905910191
100507392	-0.014525569210379516
100507403	0
100507421	0
100507423	0
100507428	0.007001211440793222
100507433	-0.022797423531674188
100507436	1.0260431510070312e-4
100507459	-0.015163742003502952
100507461	0
100507462	0
100507463	0
100507468	-0.01927963122946774
100507470	0
100507475	0.09253250656644853
100507477	-0.0016414988344193421
100507487	-0.02884048591563825
100507495	0.003703170845018621
100507506	0.004767485943497439
100507524	0
100507527	0.031713625963479805
100507533	-0.022856190005429745
100507534	-0.02527240235486517
100507537	0.031094930208377787
100507540	0.013622269206774971
100507547	0.010212335411219842
100507564	-0.008199379639015607
100507567	-0.07544695738530043
100507584	-0.020692455478332525
100507600	0
100507602	0
100507605	0
100507629	0
100507632	0
100507642	-0.01599924030853625
100507650	-0.008086658198767756
100508631	-0.003045414896279922
10051	0.018483363797979657
10052	-0.007482182134652686
100526820	0
100528062	-6.927850584093993e-4
10053	-0.007672974362910307
100533106	-0.03383693264046544
100533178	0.02709738768509145
100533182	0.026907688124734458
10054	-0.029822427061378217
10055	-0.02962998408901377
10056	0
10057	0
10058	-0.034267223031818075
10059	0
