gene	male-fetus-coarse-1
10282	0
10284	0
10285	0
10286	-0.0030928251802691113
10287	0
10288	0
10289	0.0015792814902327308
1028	0.021271925498994298
10290	0
10291	0
10293	0
10294	0
10295	0
10296	0
10297	0
10298	0
10299	0
1029	-1.511708390123796e-4
102	0.0034648972562400255
10300	0
10301	0
10302	0
10307	0
10308	0
10309	0
1030	0.00261960442942662
10311	0
10312	0
10313	0
10314	0
10316	0
10317	0
10318	0.0011432976714513055
10319	-0.0017033097698439612
1031	-0.013433350053715806
10320	0
10321	0
10322	0
10324	0
10325	0
10327	0
10328	0
10329	-2.3706949397631953e-4
1032	0
10330	0
10331	-0.002924518308479749
10332	0
10333	0
10336	0
1033	-0.004563310548313824
10342	0
10343	0
10346	-0.0035403781782564247
10347	0
10351	-6.600422529366533e-4
10352	0
10360	0
10362	0
10363	0
10365	-9.892944931363136e-4
10367	0
10368	0
10369	-8.350589510863972e-5
1036	0.007735749028740899
10370	0.013988798352138988
10371	0.0065968349316828994
10376	0
10379	0
10381	0.0032688919828827907
10382	0
10383	0
10384	-0.00984894594241079
10385	0
10388	0
10389	0
1038	0
10390	-0.0031200865311702473
103910	0
10391	0.007600154646772522
10392	0
10393	0
10394	0
10395	0
10396	0
10397	-0.001347965542007711
10398	0.013357378665171013
10399	0.0017993672396950857
1039	0
103	0
10400	0
10401	0
10402	0
10403	-0.003839499009456006
10404	0
10406	0
10407	0
10408	0
10409	0.00668918231144057
1040	0
10411	0
10413	0.0055491582265444934
10417	8.097915307684645e-4
10418	0.002682161123111849
10419	0
1041	0
10420	-0.0034551971067574246
10421	0
10422	0
10423	0
10424	0.0026283996157429744
10425	0
10426	0
10427	6.112910418152244e-4
10428	0
10430	0
10432	0
10434	0
10435	0
10436	0
10437	-0.013396117597732307
10438	0
10439	-0.009027307803513495
1043	-0.00901984833145851
10440	0
10443	0
10444	0
10445	0
10446	0
10449	0
1044	0
10450	0
10451	-7.887264811332134e-5
10454	0
10455	0
10456	-0.001286464733022302
10457	-0.006181576797460837
10458	0
1045	0
10460	0
10461	-0.0012614969587382888
10462	0
10463	0
10464	0
10465	0
10466	-2.010108571510146e-4
10467	0
10468	0
10469	0
1046	0
10471	0
10472	0
10473	0
10474	0
10475	-0.0015943171272579451
10478	0
10479	0
1047	0.010114645182730324
10480	0
10481	0
10482	4.0468036716538147e-4
10483	0
10484	0.0032484462536516317
10485	0
10486	8.877805738728208e-4
10487	0
10488	0
10489	0
1048	-0.0028843214390468557
10490	0
10491	0
10492	0
10493	0
10494	0
10495	-0.0016584367023673656
10497	6.727315568735383e-4
10498	0
10499	0
104	0
10500	0
10501	0
10505	0
10507	0
1050	-0.001617999219906255
10512	0.013477323159627673
10513	0
10514	0
10516	0
10518	0
10519	-0.00244766699930668
1051	-0.003770302183548269
10520	0
10521	0
10522	0
10523	0.0011154051928307172
10524	0
10525	0
10526	0
10527	0
10528	-0.0014009556964482183
10529	-0.006374234894050426
1052	0
10531	0
10533	0
10534	0
10535	0
10536	0
10537	-0.0050487822859352
10538	-0.0013872458460909953
10539	0
1053	0
10540	0
10541	0
10542	0
10544	3.500215487932365e-4
10548	0
10549	0
1054	-5.303741110973996e-4
10550	0
10551	0
10552	0
10553	-0.0026472759923112403
10554	-0.0012859226864895337
10555	0
10556	0
10557	0
10558	0
10559	0
10560	0.002295937047927024
10561	-0.023408625616649418
10562	0
10563	-0.005851394915617438
10564	-8.619238041762405e-4
10565	0
10566	0
10567	0
10568	0
1056	0
10570	0
10572	0
10573	0
10574	0
10575	0
10576	0
10577	0
10578	0
10579	0
10580	0
10581	-0.0037018314419228733
10584	0
10585	0
10586	0.0017692832890544657
10587	0
10589	0
1058	-0.001343738874267393
10590	0
10591	-0.002223813453169014
10592	0
10594	0
10595	0
10598	0
10599	0
1059	-1.902973520361719e-4
105	0
10600	-0.003725411991014315
10602	0
10603	-7.7929421335735e-4
10606	0
10607	0
10608	0
10609	0
1060	0
10610	-0.002812306031262818
10611	0
10612	0
10613	0.003253885614186639
10614	0
10615	-0.0031893161761725533
10616	-5.108140182173889e-5
10617	0
10618	0
10621	0
10622	0
10623	0
10625	0
10627	0
10628	-0.004613064962343211
10629	0
1062	0
10630	0.011320103391376441
10631	0
10632	0
10633	0
10634	0
10635	-0.0072609958789445475
10636	-0.0010676382278773477
10637	0
1063	-0.0017740383773208839
10640	0
10641	0
10643	0.03844310774571461
10645	0
10647	0
10648	0
10650	0
10651	-8.826532695170818e-4
10652	0
10653	0.007832614369002172
10654	-0.005932713328863379
10656	0
10657	0
10658	0
10659	0.008809023571719109
10660	0
10661	0.010404019359586295
10663	0
10664	3.6612247863303756e-5
10665	0
10666	0
10667	0
10668	0
10669	-0.004602672057276817
10670	0
10671	0
10672	0
10675	0
10677	0
10678	0
10681	-0.0014995350252010927
10682	0.0014104270896679945
10683	0
10686	0
10687	-0.003149306690069427
1068	0
10690	0
10691	0
10692	0
10693	-0.0028622995561841135
10694	0
10695	0
