gene	male-fetus-fine-2
10272	0.0021003333823290623
10273	0
10274	0
10276	-7.400476376484836e-4
10277	0.00274896374535765
10278	0
10279	-0.0052537171415742556
1027	0
10280	0
10281	0
10282	0.001597589238320214
10284	0
10285	0.0018944592060150163
10286	-0.006813316184673789
10287	0
10288	-0.005726159179378707
10289	6.699400480483931e-4
1028	0.01856488383364901
10290	0
10291	0
10293	0
10294	0
10295	0
10296	0
10297	0
10298	0
10299	0
1029	-9.398935033832707e-4
102	5.308049870856794e-5
10300	0
10301	0
10302	0.002817711331956746
10307	0
10308	0
10309	0
1030	0.004715142240259665
10311	0
10312	0
10313	0
10314	-0.0015011607302903292
10316	0
10317	0
10318	0.006473713944506469
10319	0
1031	-0.013918719989215369
10320	0.002056473605473942
10321	0
10322	0
10324	0
10325	0
10327	0
10328	0
10329	0
1032	0
10330	0
10331	-0.0024650734267428064
10332	0
10333	0
10336	0
1033	-0.0038249654791177447
10342	0
10343	0
10346	0
10347	0
10351	-0.010727209997639589
10352	0.0018437779915633327
10360	0
10362	0
10363	0
10365	-0.0026707800352345845
10367	0
10368	0
10369	-0.0011952104352108165
1036	0.0027688496355524443
10370	0.008609663353732148
10371	0.0014492848346472288
10376	0
10379	0
10381	0.0080132587406348
10382	0
10383	0
10384	0
10385	0
10388	0
10389	0
1038	0.010636905691138721
10390	0
103910	-4.985052592337149e-4
10391	0.00906522947156475
10392	0
10393	0
10394	0
10395	0
10396	0
10397	0
10398	0.008014181159232567
10399	1.2042811534057878e-4
1039	0
103	0
10400	0
10401	0.0017378898437432936
10402	0
10403	0
10404	0
10406	0.00614239642658516
10407	0
10408	0
10409	0.006496471752244919
1040	-0.0029805584848183824
10411	0
10413	0.001058479782924957
10417	4.8093766419371237e-4
10418	0.009156876640137332
10419	0
1041	0
10420	-0.0055283981568754696
10421	0
10422	0
10423	0
10424	0.003340967248551211
10425	0
10426	0
10427	0
10428	0
10430	-5.234922181715209e-4
10432	0
10434	0
10435	0
10436	0
10437	-0.011977839643423256
10438	0
10439	-0.006701512687330694
1043	-0.0038456356692318917
10440	0
10443	0
10444	0
10445	0
10446	0
10449	0
1044	0
10450	0
10451	0
10454	0
10455	0.0015654459612226435
10456	0
10457	-0.008834826437004424
10458	0
1045	0
10460	0
10461	-5.984272978170521e-4
10462	0
10463	0
10464	0
10465	0
10466	0
10467	0
10468	0.0032977279162168323
10469	0
1046	0
10471	0
10472	0.002446454840823738
10473	0
10474	0
10475	0
10478	0
10479	0
1047	0.007582085079012989
10480	0
10481	-0.003638635559439985
10482	0
10483	0
10484	0.002075358650314012
10485	0
10486	0
10487	0
10488	0
10489	0
1048	-0.010799001772537658
10490	0
10491	0
10492	0
10493	0
10494	0
10495	0
10497	-0.0011772684308274286
10498	0.0027055326231197174
10499	0
104	0
10500	0
10501	0
10505	0
10507	0
1050	-0.004810342006972471
10512	0
10513	0
10514	0
10516	0.011178335105770584
10518	0.0017984658748512936
10519	0
1051	-0.015232132444973174
10520	0
10521	0
10522	0
10523	0.0047072641050800714
10524	0
10525	0
10526	0
10527	-7.180203437063519e-4
10528	0
10529	-9.338213511219417e-4
1052	-0.0026223710604300287
10531	0
10533	0
10534	0
10535	0
10536	0
10537	0
10538	0
10539	0
1053	0
10540	0
10541	0
10542	0
10544	0.002456564702418132
10548	0
10549	0
1054	0
10550	0
10551	-8.822374839171467e-4
10552	0
10553	0
10554	0
10555	0
10556	0
10557	0
10558	0
10559	0
10560	0
10561	-0.019040549721744158
10562	-0.003842305455932446
10563	-0.00557776222468916
10564	-0.0019363126332219152
10565	0
10566	0
10567	0
10568	-0.0014264895942301954
1056	0
10570	0
10572	0
10573	0
10574	0
10575	0
10576	0
10577	0
10578	-0.004723431914281072
10579	0
10580	0
10581	0
10584	0
10585	0
10586	0.003054815712599968
10587	0
10589	0
1058	0
10590	0
10591	0
10592	0
10594	0
10595	-0.0014132229075110602
10598	0
10599	0
1059	0
105	0
10600	-0.004552878984446157
10602	0
10603	-0.002027879782668366
10606	0
10607	0
10608	0
10609	0
1060	-0.00231519419363948
10610	-0.0022933430148239327
10611	0
10612	0
10613	0
10614	0
10615	-0.008918943895994302
10616	0
10617	0
10618	-0.0017923048619818418
10621	0
10622	0
10623	0
10625	0
10627	0
10628	-0.007343384005917617
10629	0
1062	7.098352708816152e-4
10630	0.004746202972880358
10631	0
10632	0
10633	0
10634	0
10635	-0.008419265386213584
10636	-4.940654630475126e-4
10637	0
1063	0
10640	-1.1794507354134158e-4
10641	0
10643	0.045901369819663175
10645	0
10647	0
10648	0
10650	0
10651	0
10652	0
10653	0.0042698588921736775
10654	-0.002300141293709975
10656	0
10657	0
10658	0
10659	0
10660	0
10661	0.0037145725041274826
10663	0
