gene	male-elderly-fine-1
100996246	-0.006287036686342017
100996251	0
100996279	0.00727692143461414
100996286	0
100996301	0
100996307	0.02639225679808249
100996342	-0.01025713793471862
100996419	0.0024344896834756226
100996425	0
100996455	0
100996485	0
100996490	0
100996492	0
100996570	0
100996579	0
100996590	0
100996624	0
100996671	0
100996694	0
100996702	0
100996902	0
101	0
1010	0
10100	0
10101	0
10102	0.0027574978649116113
10103	0
10105	-0.010910107051763282
101055625	0
101059948	0
10106	0
101060019	0
101060200	0
101060264	0
101060544	0
10107	0
10109	0
10110	0.028709251897189977
10111	0
10112	0
10113	-0.010520331489936693
10114	0
10116	0
10117	0
1012	-0.013617024093975298
10120	0
10121	0
10123	0
10125	0
10126	-0.0011102424928361226
10127	0
10128	0
10129	0
1013	-0.014151366550447774
10130	0
10131	0
10133	0
10134	0
10135	-0.017169989138905148
10136	0
10137	0
10138	0
10139	0
1014	0
10140	0.007879410530748462
10141	0
101410533	0.003630140948519428
101410538	0
10142	0
10143	0
10144	0
10146	0
10147	0
10148	0.03179054899170261
10149	0.029395770741087946
1015	0
10150	0
10152	0
10153	0
10154	0.0032039613345213403
10155	0
101559451	0
10157	0
10158	0
10159	0
1016	0
10160	0
10161	0
10162	0
10163	0
10164	0
10165	0
10166	0
10168	0
10169	0
1017	0.012408747513256423
10170	0
10171	0
10172	0
10174	0
10175	0
10178	0
10179	0
10180	0
101805491	0
10181	0
10184	0
10186	0
10188	0
10189	0
1019	0
10190	0
101926888	0
101926890	0
101926892	0
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0
101927003	0
101927007	0
101927017	0
101927018	0
101927027	0
101927034	0
101927038	0
101927040	0
101927043	0.0021881988343745583
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	-0.007046360565595369
101927112	0
101927115	-9.640076654007935e-4
101927123	-0.013944599722059843
101927124	0
101927125	0.017885173911107364
101927129	0
101927131	0
101927138	0
101927143	-0.006409010068155707
101927150	0
101927151	0
101927152	0
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	0
101927220	0
101927228	0
101927237	0.019968342456606804
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	0.02193846654112918
101927282	0
101927286	0
101927292	0
101927295	0
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	0
101927433	0
101927438	0
