gene	male-adult-fine-2
100506826	-0.026517856304529068
100506827	-0.028524264927871624
100506834	0
100506840	0
100506866	-0.031114735902366804
100506874	0
100506895	0
100506907	0
100506922	-0.009997890368174858
100506930	-0.014614729627939353
100506963	0.02332908950847604
100506994	0.04046167615070155
100506999	0
100507027	0
100507034	-0.0014752878373728167
100507050	-0.014199556062498193
100507057	0
100507058	0.010398179478201007
100507059	0
100507062	0
100507064	-0.02230473851326808
100507086	0
100507114	0.007036724904835267
100507117	-0.02264050064823257
100507143	0
100507156	0
100507171	0.01982745252341753
100507173	0.013784810428202217
100507203	0
100507206	-0.007848608158416266
100507240	0
100507246	0.0548886407202365
100507250	0.04759225315646762
100507254	0
100507257	0.022503261401480328
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0.011258417467969717
100507290	0
100507300	0
100507303	-0.030986030479294373
100507316	0.009740888183586224
100507331	-0.002340679030656207
100507336	0.10123733411889645
100507362	0.002331557696364204
100507384	0.01344593963083463
100507388	0.0037047542523978554
100507389	0.0015546935022598247
100507391	-0.02821166069639042
100507392	-0.016083699971738624
100507403	0
100507421	-0.010317676699929371
100507423	0
100507428	0
100507433	0
100507436	-0.02730582100725908
100507459	-0.00778554339302894
100507461	-0.00414166772576895
100507462	0
100507463	0
100507468	-0.019810996115181105
100507470	0.02007452663595375
100507475	-0.08743449408227039
100507477	0
100507487	0.027485726473366633
100507495	-0.004531283400944897
100507506	-9.490278306314743e-4
100507524	0
100507527	-0.008100526777893108
100507533	0.006706541071394436
100507534	0.0027138306633641886
100507537	0
100507540	0
100507547	0.017200539975808737
100507564	0.02026946557912694
100507567	0.07705009808142341
100507584	0
100507600	-0.0082726361664701
100507602	-0.014909944758667
100507605	0
100507629	0
100507632	0.04337219057809883
100507642	0
100507650	-0.037182360894382406
100508631	0
10051	0
10052	0
100526820	0.01505762466516669
100528062	0
10053	0
100533106	0.027439376864563728
100533178	0.01542198839261809
100533182	0.02760584596904622
10054	0
10055	0.0032085665386936157
10056	0
10057	0.012493920176826084
10058	0
10059	0.019559690798627252
1006	-0.053802762819772074
10060	0.05791341254469905
10061	0.00420273454571641
10062	0.007378871527622363
100628307	0.013711534855588008
100631378	0
100652740	-0.02697066600865646
100652791	0
100652824	0
100652853	0.017243186698293944
100652911	0
100652929	0
100652999	0
10066	-0.04345755968459417
10067	0
10068	0.04331045261593094
10069	0.04688030132202836
1007	-0.00719330288718616
10071	0.040175797764290234
10072	0
10073	-0.019630279330645387
10075	0
10076	0
10077	0
10078	0
10079	-0.03072314314722296
1008	0
10081	-0.004574676282542655
10082	0
100820829	-0.01813138787418548
10083	-0.025484659919998726
10084	0.01649631922473841
10085	-0.057731737200667266
100852408	0
100852409	0
100859921	0
100859930	0
10086	0
100861552	0
100861553	7.321373011097357e-4
100861554	0
100861573	0
100862662	-0.018583366436655372
100862671	0.028319640620874505
