entrez	group
1654	Cerebellum_female
1968	Cerebellum_female
8242	Cerebellum_female
7403	Cerebellum_female
728239	Cerebellum_female
8226	Cerebellum_female
6191	Cerebellum_female
412	Cerebellum_female
6399	Cerebellum_female
8239	Cerebellum_female
7543	Cerebellum_female
8233	Cerebellum_female
11238	Cerebellum_female
55787	Cerebellum_female
10746	Cerebellum_male
100133941	Cerebellum_male
114569	Cerebellum_male
26095	Cerebellum_male
11247	Cerebellum_male
246777	Cerebellum_male
8227	Cerebellum_male
8623	Cerebellum_male
4267	Cerebellum_male
207063	Cerebellum_male
8225	Cerebellum_male
55344	Cerebellum_male
28227	Cerebellum_male
9189	Cerebellum_male
55559	Cerebellum_male
8653	Cerebellum_male
9086	Cerebellum_male
159119	Cerebellum_male
8284	Cerebellum_male
22829	Cerebellum_male
83259	Cerebellum_male
6192	Cerebellum_male
140032	Cerebellum_male
9087	Cerebellum_male
8287	Cerebellum_male
7404	Cerebellum_male
7544	Cerebellum_male
55344	Cortex_male
8653	Cortex_male
9086	Cortex_male
8284	Cortex_male
22829	Cortex_male
83259	Cortex_male
6192	Cortex_male
9087	Cortex_male
8287	Cortex_male
7404	Cortex_male
7544	Cortex_male
254268	Dorsolateral-prefrontal-cortex_female
375341	Dorsolateral-prefrontal-cortex_female
54790	Dorsolateral-prefrontal-cortex_female
202559	Dorsolateral-prefrontal-cortex_female
114788	Dorsolateral-prefrontal-cortex_female
65981	Dorsolateral-prefrontal-cortex_female
55082	Dorsolateral-prefrontal-cortex_female
55644	Dorsolateral-prefrontal-cortex_female
54768	Dorsolateral-prefrontal-cortex_female
55692	Dorsolateral-prefrontal-cortex_female
51326	Dorsolateral-prefrontal-cortex_female
80039	Dorsolateral-prefrontal-cortex_female
9098	Dorsolateral-prefrontal-cortex_female
55614	Dorsolateral-prefrontal-cortex_female
26152	Dorsolateral-prefrontal-cortex_female
7543	Dorsolateral-prefrontal-cortex_female
963	Dorsolateral-prefrontal-cortex_male
3075	Dorsolateral-prefrontal-cortex_male
56944	Dorsolateral-prefrontal-cortex_male
5396	Dorsolateral-prefrontal-cortex_male
1281	Dorsolateral-prefrontal-cortex_male
5010	Dorsolateral-prefrontal-cortex_male
4071	Dorsolateral-prefrontal-cortex_male
7545	Dorsolateral-prefrontal-cortex_male
1909	Dorsolateral-prefrontal-cortex_male
1436	Dorsolateral-prefrontal-cortex_male
6678	Dorsolateral-prefrontal-cortex_male
800	Dorsolateral-prefrontal-cortex_male
1278	Dorsolateral-prefrontal-cortex_male
79974	Dorsolateral-prefrontal-cortex_male
5166	Dorsolateral-prefrontal-cortex_male
1052	Dorsolateral-prefrontal-cortex_male
6383	Dorsolateral-prefrontal-cortex_male
301	Dorsolateral-prefrontal-cortex_male
4969	Dorsolateral-prefrontal-cortex_male
5730	Dorsolateral-prefrontal-cortex_male
59	Dorsolateral-prefrontal-cortex_male
23555	Dorsolateral-prefrontal-cortex_male
2350	Dorsolateral-prefrontal-cortex_male
3481	Dorsolateral-prefrontal-cortex_male
10894	Dorsolateral-prefrontal-cortex_male
397	Dorsolateral-prefrontal-cortex_male
4060	Dorsolateral-prefrontal-cortex_male
241	Dorsolateral-prefrontal-cortex_male
10161	Dorsolateral-prefrontal-cortex_male
10577	Dorsolateral-prefrontal-cortex_male
6035	Dorsolateral-prefrontal-cortex_male
57214	Dorsolateral-prefrontal-cortex_male
1381	Dorsolateral-prefrontal-cortex_male
3671	Dorsolateral-prefrontal-cortex_male
1277	Dorsolateral-prefrontal-cortex_male
3959	Dorsolateral-prefrontal-cortex_male
9368	Dorsolateral-prefrontal-cortex_male
81035	Dorsolateral-prefrontal-cortex_male
30846	Dorsolateral-prefrontal-cortex_male
7305	Dorsolateral-prefrontal-cortex_male
3956	Dorsolateral-prefrontal-cortex_male
633	Dorsolateral-prefrontal-cortex_male
1536	Dorsolateral-prefrontal-cortex_male
4478	Dorsolateral-prefrontal-cortex_male
8653	Dorsolateral-prefrontal-cortex_male
9086	Dorsolateral-prefrontal-cortex_male
22829	Dorsolateral-prefrontal-cortex_male
83259	Dorsolateral-prefrontal-cortex_male
6192	Dorsolateral-prefrontal-cortex_male
8287	Dorsolateral-prefrontal-cortex_male
7404	Dorsolateral-prefrontal-cortex_male
7544	Dorsolateral-prefrontal-cortex_male
8653	Epstein-Barr-virus-transformed-lymphocyte_male
9086	Epstein-Barr-virus-transformed-lymphocyte_male
8284	Epstein-Barr-virus-transformed-lymphocyte_male
22829	Epstein-Barr-virus-transformed-lymphocyte_male
6192	Epstein-Barr-virus-transformed-lymphocyte_male
9087	Epstein-Barr-virus-transformed-lymphocyte_male
8287	Epstein-Barr-virus-transformed-lymphocyte_male
7404	Epstein-Barr-virus-transformed-lymphocyte_male
7544	Epstein-Barr-virus-transformed-lymphocyte_male
8653	Esophagus_male
9086	Esophagus_male
8284	Esophagus_male
22829	Esophagus_male
6192	Esophagus_male
9087	Esophagus_male
8287	Esophagus_male
7404	Esophagus_male
7544	Esophagus_male
9464	Frontal-cortex_female
23460	Frontal-cortex_female
55655	Frontal-cortex_female
1654	Frontal-cortex_female
8242	Frontal-cortex_female
7403	Frontal-cortex_female
8226	Frontal-cortex_female
7543	Frontal-cortex_female
1968	Frontal-cortex_female
6191	Frontal-cortex_female
8233	Frontal-cortex_female
8887	Frontal-cortex_male
26095	Frontal-cortex_male
29966	Frontal-cortex_male
246777	Frontal-cortex_male
4987	Frontal-cortex_male
8623	Frontal-cortex_male
4267	Frontal-cortex_male
207063	Frontal-cortex_male
8225	Frontal-cortex_male
27328	Frontal-cortex_male
55344	Frontal-cortex_male
28227	Frontal-cortex_male
9189	Frontal-cortex_male
8653	Frontal-cortex_male
9086	Frontal-cortex_male
8284	Frontal-cortex_male
22829	Frontal-cortex_male
6192	Frontal-cortex_male
9087	Frontal-cortex_male
8287	Frontal-cortex_male
7404	Frontal-cortex_male
7544	Frontal-cortex_male
159119	Frontal-cortex_male
83259	Frontal-cortex_male
140032	Frontal-cortex_male
91392	Heart_female
51735	Heart_female
389432	Heart_female
7486	Heart_female
648	Heart_female
221037	Heart_female
84280	Heart_female
388566	Heart_female
55816	Heart_female
412	Heart_female
11238	Heart_female
94056	Heart_female
55787	Heart_female
1968	Heart_female
7543	Heart_female
1654	Heart_female
7403	Heart_female
8242	Heart_female
8243	Heart_female
1193	Heart_female
3155	Heart_male
57185	Heart_male
2946	Heart_male
2330	Heart_male
23385	Heart_male
4817	Heart_male
55224	Heart_male
149603	Heart_male
3760	Heart_male
92737	Heart_male
55799	Heart_male
2272	Heart_male
6565	Heart_male
286676	Heart_male
84525	Heart_male
2878	Heart_male
153201	Heart_male
2172	Heart_male
266727	Heart_male
222584	Heart_male
100133941	Heart_male
4885	Heart_male
155066	Heart_male
23245	Heart_male
27315	Heart_male
1200	Heart_male
1466	Heart_male
266722	Heart_male
2100	Heart_male
3706	Heart_male
84978	Heart_male
594855	Heart_male
4351	Heart_male
9899	Heart_male
4185	Heart_male
23302	Heart_male
22843	Heart_male
2774	Heart_male
8192	Heart_male
1995	Heart_male
54929	Heart_male
6253	Heart_male
55260	Heart_male
434	Heart_male
8225	Heart_male
8623	Heart_male
9189	Heart_male
4267	Heart_male
27112	Heart_male
55796	Heart_male
140032	Heart_male
1617	Heart_male
57055	Heart_male
8653	Heart_male
9086	Heart_male
8284	Heart_male
22829	Heart_male
6192	Heart_male
90665	Heart_male
9087	Heart_male
8287	Heart_male
7404	Heart_male
7544	Heart_male
57639	Hippocampus_female
317762	Hippocampus_female
158787	Hippocampus_female
7543	Hippocampus_female
1654	Hippocampus_female
8242	Hippocampus_female
7403	Hippocampus_female
8226	Hippocampus_female
8653	Hippocampus_male
9086	Hippocampus_male
22829	Hippocampus_male
83259	Hippocampus_male
6192	Hippocampus_male
8287	Hippocampus_male
7404	Hippocampus_male
7544	Hippocampus_male
8284	Hippocampus_male
9087	Hippocampus_male
388585	Human-umbilical-vein-endothelial-cells_female
3953	Human-umbilical-vein-endothelial-cells_female
1545	Human-umbilical-vein-endothelial-cells_female
2006	Human-umbilical-vein-endothelial-cells_female
3486	Human-umbilical-vein-endothelial-cells_female
8789	Human-umbilical-vein-endothelial-cells_female
3293	Human-umbilical-vein-endothelial-cells_female
10974	Human-umbilical-vein-endothelial-cells_female
84632	Human-umbilical-vein-endothelial-cells_female
57412	Human-umbilical-vein-endothelial-cells_female
85442	Human-umbilical-vein-endothelial-cells_female
79827	Human-umbilical-vein-endothelial-cells_female
121355	Human-umbilical-vein-endothelial-cells_female
283463	Human-umbilical-vein-endothelial-cells_female
8660	Human-umbilical-vein-endothelial-cells_female
3643	Human-umbilical-vein-endothelial-cells_female
140628	Human-umbilical-vein-endothelial-cells_female
60489	Human-umbilical-vein-endothelial-cells_female
80833	Human-umbilical-vein-endothelial-cells_female
80830	Human-umbilical-vein-endothelial-cells_female
395	Human-umbilical-vein-endothelial-cells_female
414	Human-umbilical-vein-endothelial-cells_female
84707	Human-umbilical-vein-endothelial-cells_female
695	Human-umbilical-vein-endothelial-cells_female
11238	Human-umbilical-vein-endothelial-cells_female
91851	Human-umbilical-vein-endothelial-cells_female
1536	Human-umbilical-vein-endothelial-cells_female
1964	Human-umbilical-vein-endothelial-cells_female
11141	Human-umbilical-vein-endothelial-cells_female
7403	Human-umbilical-vein-endothelial-cells_female
11279	Human-umbilical-vein-endothelial-cells_female
5009	Human-umbilical-vein-endothelial-cells_female
5613	Human-umbilical-vein-endothelial-cells_female
9104	Human-umbilical-vein-endothelial-cells_female
27330	Human-umbilical-vein-endothelial-cells_female
55787	Human-umbilical-vein-endothelial-cells_female
7499	Human-umbilical-vein-endothelial-cells_female
158866	Human-umbilical-vein-endothelial-cells_female
7543	Human-umbilical-vein-endothelial-cells_female
84460	Human-umbilical-vein-endothelial-cells_female
6997	Human-umbilical-vein-endothelial-cells_male
212	Human-umbilical-vein-endothelial-cells_male
158833	Human-umbilical-vein-endothelial-cells_male
8653	Human-umbilical-vein-endothelial-cells_male
8284	Human-umbilical-vein-endothelial-cells_male
22829	Human-umbilical-vein-endothelial-cells_male
5940	Human-umbilical-vein-endothelial-cells_male
6192	Human-umbilical-vein-endothelial-cells_male
140032	Human-umbilical-vein-endothelial-cells_male
8287	Human-umbilical-vein-endothelial-cells_male
7404	Human-umbilical-vein-endothelial-cells_male
9084	Human-umbilical-vein-endothelial-cells_male
7544	Human-umbilical-vein-endothelial-cells_male
284654	Hypothalamus_male
8653	Hypothalamus_male
8284	Hypothalamus_male
22829	Hypothalamus_male
6192	Hypothalamus_male
8287	Hypothalamus_male
9086	Hypothalamus_male
83259	Hypothalamus_male
90665	Hypothalamus_male
9087	Hypothalamus_male
7404	Hypothalamus_male
7544	Hypothalamus_male
56944	Inferior-temporal-cortex_male
1278	Inferior-temporal-cortex_male
6383	Inferior-temporal-cortex_male
8325	Inferior-temporal-cortex_male
81035	Inferior-temporal-cortex_male
8653	Inferior-temporal-cortex_male
9086	Inferior-temporal-cortex_male
22829	Inferior-temporal-cortex_male
83259	Inferior-temporal-cortex_male
6192	Inferior-temporal-cortex_male
8287	Inferior-temporal-cortex_male
7404	Inferior-temporal-cortex_male
7544	Inferior-temporal-cortex_male
8653	Lung_male
9086	Lung_male
8284	Lung_male
22829	Lung_male
83259	Lung_male
6192	Lung_male
90665	Lung_male
9087	Lung_male
8287	Lung_male
7404	Lung_male
7544	Lung_male
6281	Medial-prefrontal-cortex_female
375341	Medial-prefrontal-cortex_female
4306	Medial-prefrontal-cortex_female
390927	Medial-prefrontal-cortex_female
5126	Medial-prefrontal-cortex_female
7543	Medial-prefrontal-cortex_female
4237	Medial-prefrontal-cortex_male
56944	Medial-prefrontal-cortex_male
1281	Medial-prefrontal-cortex_male
63973	Medial-prefrontal-cortex_male
10788	Medial-prefrontal-cortex_male
3977	Medial-prefrontal-cortex_male
84466	Medial-prefrontal-cortex_male
9627	Medial-prefrontal-cortex_male
7430	Medial-prefrontal-cortex_male
1278	Medial-prefrontal-cortex_male
80820	Medial-prefrontal-cortex_male
8325	Medial-prefrontal-cortex_male
85450	Medial-prefrontal-cortex_male
7431	Medial-prefrontal-cortex_male
10894	Medial-prefrontal-cortex_male
55742	Medial-prefrontal-cortex_male
283248	Medial-prefrontal-cortex_male
871	Medial-prefrontal-cortex_male
429	Medial-prefrontal-cortex_male
4060	Medial-prefrontal-cortex_male
143	Medial-prefrontal-cortex_male
2013	Medial-prefrontal-cortex_male
23090	Medial-prefrontal-cortex_male
1277	Medial-prefrontal-cortex_male
9368	Medial-prefrontal-cortex_male
81035	Medial-prefrontal-cortex_male
182	Medial-prefrontal-cortex_male
57580	Medial-prefrontal-cortex_male
4478	Medial-prefrontal-cortex_male
7105	Medial-prefrontal-cortex_male
8653	Medial-prefrontal-cortex_male
9086	Medial-prefrontal-cortex_male
22829	Medial-prefrontal-cortex_male
83259	Medial-prefrontal-cortex_male
6192	Medial-prefrontal-cortex_male
9087	Medial-prefrontal-cortex_male
8287	Medial-prefrontal-cortex_male
7404	Medial-prefrontal-cortex_male
7544	Medial-prefrontal-cortex_male
80333	Mediodorsal-nucleus-of-the-thalamus_male
5272	Mediodorsal-nucleus-of-the-thalamus_male
25805	Mediodorsal-nucleus-of-the-thalamus_male
8653	Mediodorsal-nucleus-of-the-thalamus_male
9086	Mediodorsal-nucleus-of-the-thalamus_male
22829	Mediodorsal-nucleus-of-the-thalamus_male
83259	Mediodorsal-nucleus-of-the-thalamus_male
6192	Mediodorsal-nucleus-of-the-thalamus_male
9087	Mediodorsal-nucleus-of-the-thalamus_male
8287	Mediodorsal-nucleus-of-the-thalamus_male
7404	Mediodorsal-nucleus-of-the-thalamus_male
7544	Mediodorsal-nucleus-of-the-thalamus_male
1654	Medulla_female
1968	Medulla_female
8242	Medulla_female
8228	Medulla_female
7543	Medulla_female
8233	Medulla_female
8653	Medulla_male
9086	Medulla_male
8284	Medulla_male
22829	Medulla_male
6192	Medulla_male
9087	Medulla_male
8287	Medulla_male
7404	Medulla_male
7544	Medulla_male
962	Monocyte-derived-dendritic-cells_female
1513	Monocyte-derived-dendritic-cells_female
2633	Monocyte-derived-dendritic-cells_female
2635	Monocyte-derived-dendritic-cells_female
109	Monocyte-derived-dendritic-cells_female
5966	Monocyte-derived-dendritic-cells_female
6546	Monocyte-derived-dendritic-cells_female
6775	Monocyte-derived-dendritic-cells_female
7130	Monocyte-derived-dendritic-cells_female
84873	Monocyte-derived-dendritic-cells_female
64332	Monocyte-derived-dendritic-cells_female
3600	Monocyte-derived-dendritic-cells_female
399	Monocyte-derived-dendritic-cells_female
79931	Monocyte-derived-dendritic-cells_female
3659	Monocyte-derived-dendritic-cells_female
3097	Monocyte-derived-dendritic-cells_female
3696	Monocyte-derived-dendritic-cells_female
4481	Monocyte-derived-dendritic-cells_female
2185	Monocyte-derived-dendritic-cells_female
81796	Monocyte-derived-dendritic-cells_female
7185	Monocyte-derived-dendritic-cells_female
158219	Monocyte-derived-dendritic-cells_female
840	Monocyte-derived-dendritic-cells_female
3559	Monocyte-derived-dendritic-cells_female
916	Monocyte-derived-dendritic-cells_female
225	Monocyte-derived-dendritic-cells_female
2597	Monocyte-derived-dendritic-cells_female
8111	Monocyte-derived-dendritic-cells_female
57194	Monocyte-derived-dendritic-cells_female
3566	Monocyte-derived-dendritic-cells_female
8140	Monocyte-derived-dendritic-cells_female
247	Monocyte-derived-dendritic-cells_female
83990	Monocyte-derived-dendritic-cells_female
1236	Monocyte-derived-dendritic-cells_female
5770	Monocyte-derived-dendritic-cells_female
414	Monocyte-derived-dendritic-cells_female
286464	Monocyte-derived-dendritic-cells_female
541466	Monocyte-derived-dendritic-cells_female
728911	Monocyte-derived-dendritic-cells_female
441519	Monocyte-derived-dendritic-cells_female
541465	Monocyte-derived-dendritic-cells_female
1654	Monocyte-derived-dendritic-cells_female
729428	Monocyte-derived-dendritic-cells_female
645073	Monocyte-derived-dendritic-cells_female
26748	Monocyte-derived-dendritic-cells_female
729396	Monocyte-derived-dendritic-cells_female
8242	Monocyte-derived-dendritic-cells_female
7403	Monocyte-derived-dendritic-cells_female
8228	Monocyte-derived-dendritic-cells_female
5613	Monocyte-derived-dendritic-cells_female
8226	Monocyte-derived-dendritic-cells_female
6191	Monocyte-derived-dendritic-cells_female
8243	Monocyte-derived-dendritic-cells_female
412	Monocyte-derived-dendritic-cells_female
170627	Monocyte-derived-dendritic-cells_female
7543	Monocyte-derived-dendritic-cells_female
1386	Monocyte-derived-dendritic-cells_male
79411	Monocyte-derived-dendritic-cells_male
9208	Monocyte-derived-dendritic-cells_male
130557	Monocyte-derived-dendritic-cells_male
100124696	Monocyte-derived-dendritic-cells_male
7006	Monocyte-derived-dendritic-cells_male
100133941	Monocyte-derived-dendritic-cells_male
112609	Monocyte-derived-dendritic-cells_male
10090	Monocyte-derived-dendritic-cells_male
79689	Monocyte-derived-dendritic-cells_male
