gene	female-adult-fine-2
100294362	-0.01412990562781272
100294720	0
1003	-0.0023123287028265415
100302691	0
100303728	0.0026061392111419784
100303755	0
100306951	-0.002525086751956828
100316904	0.050487585358308815
100329135	0
100359394	-0.025667465193684513
10036	-0.012829246816076788
100379174	0
10038	0
100381270	-0.021198764983021263
10039	0
1004	0.017511695847260852
10040	0.00715599396621016
10042	-0.009215313002451788
100422737	0
10043	0
10044	-0.012543596486424302
10045	0
10046	-0.013499114633901056
10047	0
10048	-0.007655048082081895
10049	-0.009585415867945904
100499171	0
1005	0
10050	0
100500850	0
100505474	0
100505478	0
100505495	-0.040124188472349866
100505501	-0.020182372588521545
100505515	0
100505538	0
100505540	0
100505545	-0.0029123811274986513
100505549	0
100505573	0
100505583	0.004266762773519123
100505609	0
100505616	0
100505619	0
100505622	-0.030842216408094883
100505624	-0.027063984885759836
100505641	0
100505658	0
100505659	-0.018490097361595514
100505664	-0.01595032539372059
100505676	0
100505681	-0.06025657756726724
100505685	-0.001675674365480119
100505687	0
100505696	0.03207699095418324
100505715	0.026700443951343064
100505718	0
100505738	0.028731186420633985
100505741	-0.0070579932415496946
100505746	0.056943216576649865
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0.00917571690988453
100505797	0.0036112227243363278
100505811	0
100505812	0
100505826	0.022018480322227932
100505839	0
100505841	0
100505851	-0.035100892067526104
100505854	0
100505876	0.05542576375881861
100505877	0
100505879	0.015280924975520204
100505881	0
100505890	0
100505893	-0.02597017803847273
100505894	0
100505933	0
100505964	0
100505967	0
100505975	0.0031407450254642656
100505978	-6.003789289728275e-4
100505984	0.03361319160202928
100505985	-0.014751353727251608
100505989	0.00389260776617901
100506012	-6.013865315344936e-4
100506013	0
100506022	0.012080246596565456
100506025	0
100506049	0
100506068	0
100506071	0
100506082	-0.028066636317231757
100506083	0
100506098	-0.029569505352774066
100506100	0
100506107	0
100506108	-0.0012249492272380486
100506113	0.008765267380784467
100506115	0.09735157721499371
100506119	-0.024534647703878008
100506122	0
100506125	0
100506126	-0.027060752850810287
100506127	0.047671876478792265
100506142	0
100506144	0
100506172	0.07903954227721056
100506175	-0.002875704419843631
100506195	0
100506207	-0.004902086911058416
100506215	-0.06974708308738034
100506229	0.0041999403247703175
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	5.701915977980529e-4
100506314	0.07712236285491635
100506319	0
100506368	0
100506374	0.040564174880715044
100506380	-0.020087628195317186
100506385	-0.0010190223528834977
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0.008979349400494647
100506428	0.0089053311873955009
100506433	0.016154313893920306
100506457	0.024846082142763678
100506462	0.008275796884178054
100506465	0
100506469	0.017736758219077428
100506475	0.02419363703614426
100506489	0
100506492	-1.7549066543027288e-4
100506495	0
100506497	0.00814008118000989
100506498	0
100506504	-0.013658345692517084
100506526	0
100506527	0.010355174921650171
100506530	-0.0012741656671968007
100506540	-0.01591379076083652
100506542	-0.03458247516091424
100506571	0
100506581	0.002046038518244605
100506599	0
100506603	-0.05106291935021625
100506606	0
100506622	-0.005221105198314217
100506655	0
100506660	-0.032043741246983976
100506668	0
100506675	0.03826240140617493
100506677	0
100506679	0
100506680	0
100506686	-0.03835221549352741
100506691	0.014076204736407236
100506696	0
100506697	0
100506710	0
100506713	0.03197386614252764
100506714	-0.026997019353918895
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0.036347250535253256
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0.07788213103213452
100506826	-0.02623092100870237
100506827	0
100506834	-0.02736990033777387
100506840	0
100506866	-0.023179918929316774
100506874	0
100506895	0
100506907	0
100506922	0.008931218238628212
100506930	0
100506963	-0.06618058879714785
100506994	0.010716106405920859
100506999	0.02343438615351042
100507027	-0.0595071618816491
100507034	0
100507050	-0.002434035133352574
100507057	0.03412738804753203
100507058	0
100507059	0
100507062	0.005788091888234083
100507064	0.02423285532744155
100507086	0
100507114	-0.02644976733437162
100507117	0.026687454024329572
100507143	0
100507156	0
100507171	0.03521334925417733
100507173	0
100507203	0
100507206	0.029233193356827558
100507240	0
100507246	0.013294484886104008
100507250	0.029587231456398126
100507254	-0.0961217805530413
100507257	-0.03133849094662812
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0
100507316	0
100507331	0
100507336	0.02680195299750517
100507362	0
100507384	0.006085101289632061
100507388	0
100507389	0.001740774564654067
100507391	-0.027067592639947954
100507392	0.011267545214648579
100507403	0.013378107143264584
100507421	0.0016682345563924716
100507423	8.827018379233015e-4
100507428	0
100507433	-0.00327375923659453
100507436	0.04374389728574463
100507459	2.1077101614464238e-4
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	0
100507477	0
100507487	-0.06588564141549515
100507495	0
100507506	0
100507524	0.004948483353542978
100507527	0.0042359497321790025
100507533	0
100507534	0
100507537	0
100507540	-0.0024786268365970918
100507547	-0.03613265558483728
100507564	0
100507567	0.06356839009856961
100507584	-0.019785884289652424
100507600	0
100507602	-0.07879062647975639
100507605	0
100507629	0
100507632	0
100507642	-0.024478180038559397
100507650	-0.01270889145767258
100508631	0
10051	-0.02416739423663017
10052	0.04798505760962855
100526820	0
100528062	0.01503479241216527
10053	-0.00972199421815933
100533106	0.022391539167321294
100533178	0
100533182	0.03163057592505823
10054	0
10055	0.0015541688826390151
10056	0
10057	0
10058	3.716794505047151e-4
10059	-0.01214457537507276
1006	-0.027566927246260066
10060	-0.021286559169662676
10061	0
10062	-0.037720861931616265
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	-0.0021081937906714085
100652911	0
100652929	0
100652999	0.014205258616997472
10066	5.488437679709207e-4
10067	-0.008538895813820542
10068	0.015617314838299314
10069	0.004245849983546465
1007	0.025345055935477943
10071	0.001496283505086438
10072	0.0474024335958403
10073	0
10075	-0.008710462980361768
10076	0
10077	0.04825704372054832
10078	0
10079	0
1008	0
10081	0.02742203466129185
10082	-0.03958448255356316
100820829	0
10083	0
10084	0
10085	-0.016891051288285722
100852408	0
100852409	0
100859921	0
100859930	-1.0955902386959991e-4
10086	0
100861552	0
100861553	0
100861554	-0.004396623908503033
100861573	0
100862662	0
100862671	0.007540684073498645
100862679	0.03241602493080888
100862680	0.01196527731736694
100862704	0.05109571377176842
10087	0
100873930	-0.030039045804657084
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0.008892396537345618
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0.045044747902530595
100874253	-0.05048226835289949
100874323	0
100874362	-0.020969084635487113
100874365	0
100885778	0
100885781	-0.011121235685830962
100885798	0
100885848	-0.015709073059638038
10089	-0.013964534104493729
1009	-0.03824974153510317
10090	0.0020614998683779295
10092	0
10093	0
10095	0.053855806087636016
10096	0
10097	0.0039566638557248695
10098	-0.0010532298909071112
10099	0
100996246	0
100996251	0
100996279	0
100996286	0.13779243461294793
100996301	-0.02204528889184662
100996307	0
100996342	0
100996419	0.038364632966399796
100996425	-0.0648233045229898
100996455	0
100996485	0.0015697962472990836
100996490	-0.020941004913406724
100996492	0.012765187026617834
100996570	0
100996579	0.07378084716701397
100996590	0
100996624	0
100996671	-0.022345599380630004
100996694	0
100996702	0
100996902	0
101	-0.021179081823679384
1010	-0.018169544784924704
10100	-0.03910298787039114
10101	0
10102	0.012480327789878214
10103	0
10105	-9.428246224407436e-4
101055625	-0.09357246433886676
101059948	0.02712386713322925
10106	0
101060019	0
101060200	0
101060264	-0.05594326997461018
101060544	0
10107	-0.01965806573065399
10109	-0.004829629844049163
10110	0
10111	-0.04367708288707754
10112	0
10113	-0.01523671069909652
10114	0.012504947065710342
10116	0
10117	-0.015717703459673486
1012	0.01997316144700576
10120	-0.015950859203988102
10121	0
10123	-0.08922259308283773
10125	-0.01836283722068301
10126	-0.0011849347860784047
10127	0
10128	0.00230652599883654
10129	0
1013	-0.044670059426110034
10130	0
10131	0
10133	-0.022653555292363143
10134	0
10135	-0.039727654311718825
10136	0.02858799862763835
10137	0
10138	0
10139	9.908383111069227e-4
1014	0.02277543979815309
10140	0
10141	0.012960917240958013
101410533	0.03745745569409322
101410538	0.02345975446144511
10142	0.013068919736868016
10143	-5.755336189441824e-4
10144	0.020826244853007807
10146	0
10147	0
10148	0
10149	0.02882365056958371
1015	0.026383694442400105
10150	0
10152	-0.022286024451382024
10153	0.012686192768712856
10154	-2.3317066361382586e-4
10155	-0.016422037271469708
101559451	0
10157	3.134214175734346e-4
10158	-0.06739165850557831
10159	0
1016	-0.025333135070151783
10160	0
10161	-0.06349182012423249
10162	0
10163	0.0019494170297574601
10164	0.020850313067433842
10165	-0.004568299555857889
10166	3.889530005179163e-4
10168	0
10169	0
1017	0
10170	0.045564827607335885
10171	0
10172	0.01715070601286553
10174	-0.003169701920208793
10175	0
10178	-0.027573255630885116
10179	0.016648146528021684
10180	0.0032844089909301703
101805491	0
10181	0.009513637766483502
10184	-0.023203285849501643
10186	0.022941293826188182
10188	0.020721831774924624
10189	0.01905347458415692
1019	-0.0064663570389681055
10190	0
101926888	-0.03308725580808316
101926890	0
101926892	0.021892556034378115
101926903	0.007221636830023313
101926928	0
101926934	-0.0025759654291828884
101926942	0
101926951	0
101926978	-0.00585572380044077
101926987	0.01949572113508836
101927003	0.007033931499181028
101927007	0
101927017	0
101927018	0.021234516063675005
101927027	-0.021853555830909404
101927034	0
101927038	0
101927040	0
101927043	0
101927051	0
101927059	0
101927067	0
101927074	-0.0027098108745938158
101927075	0
101927081	0
101927096	0.0063260609297425725
101927111	-0.03584687596056139
101927112	0
101927115	-0.06791306606947968
101927123	0
101927124	0.025922837222919333
101927125	-0.002135349638617888
101927129	0
101927131	0
101927138	0
101927143	-0.057719005184895554
101927150	0.05464048944086527
101927151	0
101927152	-0.03920770051379396
101927159	0
101927164	-0.014809454024876921
101927193	0
101927195	0
