gene	female-old_adult-fine-1
100287482	-0.039169599049703754
100287569	0.007522213591662462
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0.03680585439078849
100288797	0
100289092	0
100289097	0
100289098	0.05384246759881116
100289187	-0.012274911952947125
100289274	0
100289341	0.014880136893300698
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0.012229623780425091
100293516	0
100294362	-0.008458335764630096
100294720	0
1003	0.01357401974022193
100302691	0
100303728	-0.013043316978647438
100303755	0
100306951	-0.01877777031654562
100316904	0
100329135	0
100359394	0
10036	0
100379174	0
10038	0.0012835659330154286
100381270	0
10039	0
1004	0
10040	-0.04638630806533468
10042	0
100422737	0.032413325556208496
10043	0.009704717636142385
10044	1.3578802754657808e-4
10045	-0.014156943500558797
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0.007092430769573581
100500850	0.07255416513927744
100505474	0
100505478	0
100505495	0
100505501	-0.022907191621405074
100505515	0
100505538	-0.01574191825338119
100505540	0
100505545	0
100505549	-0.021294924333543817
100505573	0.009515946653691239
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0.01136457199454805
100505641	0.010349204525297905
100505658	0
100505659	0
100505664	-0.006393932556365128
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0
100505715	0.018339041049226127
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0.03173369041200968
100505782	0
100505783	0
100505797	-0.02842781890418711
100505811	0
100505812	0.01023087517001334
100505826	0.004306507868596008
100505839	-0.039247306075697846
100505841	0
100505851	-0.03076739699877853
100505854	0
100505876	0
100505877	0
100505879	-0.011547809786622823
100505881	0.0023276063151878956
100505890	0
100505893	0
100505894	0.0015502271873170988
100505933	0.041639703232830394
100505964	0
100505967	0.010956210421597041
100505975	-0.010038819248981805
100505978	0.003109408472303059
100505984	0
100505985	0.015369770949961755
100505989	0.00804110896335929
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	-0.013042539111705356
100506071	0
100506082	-0.01193492569618581
100506083	0
100506098	-0.032948814050429286
100506100	-0.02857488357591423
100506107	0
100506108	0.012258913862705532
100506113	0
100506115	0.009823774042921512
100506119	0
100506122	0.008579306741322183
100506125	0
100506126	0
100506127	0.014664444394259494
100506142	-0.013577372322980558
100506144	0
100506172	-0.021792220356389922
100506175	0
100506195	0
100506207	0.0024446913391910235
100506215	0
100506229	-0.045370480212247016
100506237	0
100506243	-0.052971119449412005
100506271	0
100506274	0.014628280797730906
100506286	0
100506289	0
100506302	0.060920902839164556
100506314	0
100506319	0
100506368	0
100506374	-0.03632391253741043
100506380	0.008867406754326854
100506385	0
100506405	0.04264875086268772
100506406	0
100506409	0
100506413	0
100506421	-0.004674249158530735
100506428	0
100506433	0.024584111531689677
100506457	0.027376708100969326
100506462	0
100506465	-0.016336768201914917
100506469	0
100506475	0.004199176647898139
100506489	0
100506492	-0.011618137150931063
100506495	0.003577722643503557
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0.0021178731418580454
100506599	0.005775475724701591
