gene	female-elderly-coarse-1
100288198	0.0018945880633864012
100288413	0
100288637	0.009790784647307505
100288797	0
100289092	-0.006306623292517127
100289097	0
100289098	-0.012990998185906974
100289187	0
100289274	0.0047068946225177506
100289341	0
100289373	0
100289495	0
100289635	0.0015389403230082629
100289678	0
100292680	0
100293516	-0.016956663871195262
100294362	0
100294720	0.008567303180128848
1003	0
100302691	0
100303728	0
100303755	0.008854066212667218
100306951	-0.022753568622448518
100316904	0.02527129676772087
100329135	0
100359394	0
10036	-0.00244789967382288
100379174	0
10038	0
100381270	0.01638642765009413
10039	0
1004	0.0033980302800503096
10040	0.006326385279992011
10042	0
100422737	-0.031077533098447324
10043	-0.010346445463796632
10044	0
10045	-0.0025149212226777563
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	-3.7746169371091765e-4
10050	0.002678597335612224
100500850	0.031489798433576875
100505474	0
100505478	0
100505495	0
100505501	0.042099207114460635
100505515	0
100505538	-0.0048208155999003854
100505540	0
100505545	4.549621147771351e-4
100505549	0
100505573	0.014688753891447767
100505583	0
100505609	0
100505616	0.0401027110102025
100505619	0
100505622	0
100505624	0.04524247658582962
100505641	0
100505658	0
100505659	0.025179441197418027
100505664	0
100505676	0
100505681	0
100505685	-0.0023085048128328746
100505687	0
100505696	0
100505715	-0.01156662061588562
100505718	0
100505738	0
100505741	0
100505746	0.014912734627928866
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0.01370781218726866
100505811	0
100505812	-0.006229917465791064
100505826	0
100505839	0.029667460377523394
100505841	0.0013056183703664963
100505851	8.872478345986872e-4
100505854	0
100505876	0
100505877	0
100505879	0
100505881	-0.006542257880538579
100505890	0
100505893	0.006009076402009977
100505894	0
100505933	0.028614587020749024
100505964	0
100505967	0.009125114355603033
100505975	0
100505978	0.0052001030738617025
100505984	-0.006958161604045196
100505985	0
100505989	-0.008646735699366293
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	0.017177048047845856
100506071	0
100506082	7.577014249900181e-4
100506083	-0.006115358644333517
100506098	0.0037549492924328575
100506100	0
100506107	0
100506108	0.003724894356890346
100506113	0
100506115	0
100506119	0
100506122	0
100506125	0
100506126	0.010556662017491008
100506127	-0.0013971855326807253
100506142	0
100506144	0.00419194549105072
100506172	0
100506175	0
100506195	3.025876682837686e-4
100506207	0.0055865867586138256
100506215	0
100506229	-9.699714173402171e-4
100506237	0
100506243	-0.00677948290462749
100506271	0
100506274	0
100506286	-0.002260595801409988
100506289	0
100506302	-0.012880605502318317
100506314	0.020361926144626136
100506319	0
100506368	0
100506374	-0.004788097331592884
100506380	-0.01360612460299019
100506385	0.004616154278386549
100506405	0
100506406	0
100506409	0
100506413	0
100506421	-0.009806881223920429
100506428	0
100506433	0
100506457	0
100506462	0
100506465	0
100506469	0
100506475	0
100506489	0
100506492	-1.166834004126803e-4
100506495	0
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0.005365288484522791
100506542	-0.006690860392259238
100506571	0
100506581	0.001098258496434434
100506599	0
100506603	0
100506606	-0.015757848549486007
100506622	0
100506655	0
100506660	-0.007532164133793445
100506668	0
