gene	male-infant-fine-2
10169	0
1017	0
10170	-0.014902344304951309
10171	0
10172	0.010825163372313784
10174	-0.01106605559145554
10175	0
10178	0
10179	0.0020969307758654807
10180	0
101805491	0
10181	0
10184	0
10186	0
10188	0
10189	0
1019	0
10190	0
101926888	-0.0046007355681343155
101926890	0
101926892	0
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	-0.010089661858801193
101927003	0
101927007	0
101927017	0
101927018	0
101927027	0
101927034	0
101927038	0
101927040	0
101927043	-0.016563904183988114
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	-0.0038080526392422383
101927112	0
101927115	-0.0016012339909416678
101927123	0
101927124	-0.007301391124815865
101927125	0
101927129	0
101927131	0
101927138	0
101927143	-0.008263947305212767
101927150	-0.009747374439969144
101927151	-0.0026315249058824043
101927152	0
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	-0.0182866950434297
101927220	0
101927228	0
101927237	0
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	-9.439965093264437e-4
101927282	0
101927286	0
101927292	0
101927295	0
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	0
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0
101927482	0
101927494	0
101927495	0
101927498	0
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0.006404398443511672
101927539	0
101927543	0
101927547	-0.007167850112273275
101927553	-0.0033470124381766117
101927565	0
101927581	0
101927586	0
101927587	0
101927588	0
101927592	0
101927599	0
101927606	0
101927616	0
101927636	-0.02130908025783164
101927641	-0.010508868286551731
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	0
101927720	0
101927722	0
101927735	0
101927760	-0.02604257956008829
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	0.012360930839876981
101927821	0
101927828	0
101927829	0
101927839	0
101927843	-0.02353600950661517
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	0
101927948	0
101927950	0
101927953	0
101927972	0
101927974	0
101927992	0
101927994	0
101928000	0
101928002	0
101928009	0
101928012	0
101928031	0
101928035	0
101928040	0
101928043	0
101928052	0
101928069	0.0019391759676832215
101928079	0
101928087	0
101928098	0
101928100	-4.7246457211241297e-4
101928101	0
101928104	0
101928111	0
101928120	0.0023958216258570535
101928132	0
101928134	0.009021752259186699
101928144	0
101928158	0
101928162	0
101928165	0
101928167	0
101928185	0
101928190	0
101928201	0
101928205	0
101928222	0
101928227	0
