gene	male-young_adult-fine-1
10755	0.0193227316289477
10758	0
1075	-0.013427648312433926
10761	-0.025545386311145276
10762	0.008270467029232195
10763	-0.02947683447917995
10765	0.009869074317463792
10766	0.02738308310068504
10767	-0.016917431797034144
10768	0.009431807311290102
10769	-0.07428652360717969
10771	0.024533175100800594
10772	-0.0031348073060829965
10773	0.024383551584707022
10775	-0.018939460399497562
10776	0.002331733614020805
10777	0
10778	-0.014926254587800636
10780	0.005323373627101575
10781	0.025572399360829133
10782	-0.023154585939707168
10785	-0.020606201034021176
10786	0.009590380065831012
10787	0.0019532557514548793
10788	0.03539502949534735
10791	-0.06380877032789281
10793	0.025553364733635727
10794	0
10795	0.007715800897512604
10797	-0.0038129194555699426
10798	0.02931628228767732
10799	0.001548493838669318
107	0
10801	-0.013578128491186786
10802	0.012308752668795416
10803	-0.004302224225189677
10807	-0.009091779374133606
10808	0.008094967114762255
1080	-0.010485831575952936
10810	0.04848266972481284
10813	0.013926019300459336
10814	-0.010947664209609896
10816	0
10817	2.815530327926265e-4
10818	0.003432762578574097
1081	0
10825	-0.013353351872607158
10826	0.0437213471155129
10827	0.004983009220309793
10840	0
10841	0.014868444546455023
10842	-0.02913146059408771
10844	-0.002598376927616132
10845	0.008300036809931119
10846	0.004300359275677242
10847	0
10848	0.011432628228688268
10849	0.00814130495752068
1084	2.3556149113943984e-4
10850	0
10855	-0.05788377966179268
10856	0
10857	0.01824951467908698
10858	0.021548022410921484
10859	-0.003291951473885389
10861	4.9281080175716116e-11
10863	0.011947662855521136
10864	0
10865	-0.004429393689358202
10866	0.004505625658927237
10867	-0.02050534451877338
10868	-0.012293726380559719
10869	0.02542840061756792
10871	-0.03213310793627749
10873	-0.03752753130209658
10874	0.11195591058397375
10875	0.04472868365439341
10876	0
10879	-0.018867950795514173
1087	0.005099593423630911
10880	-0.0014400081936889035
10881	-0.021303903319966677
10882	0.025809226540343195
10884	0
10885	0
1088	-0.03811637082773385
10891	0.00664576973274419
10892	0.007665973866547823
10893	0
10894	0.006251039567126506
10895	0
10897	-0.006526608066693907
10898	0
10899	0.005307515339802695
1089	-0.01474078842948994
108	-0.0014673610674169255
10900	-0.030495268517262145
10902	-4.215707185717689e-4
10903	0.006458387557647357
10904	0
10905	0.01331205851261597
10906	0
10907	-0.0032847441489469303
10908	-1.1324994814884431e-4
10911	0.027953272753155768
10912	0.007076552833974631
10913	-0.019840832190794695
10914	-0.004118474324061643
10915	0.002935522113272444
10916	-0.009761282823678205
10917	0.006220803735017498
10919	0.03072493594584134
10920	-0.021465375710157403
10921	-0.014177629555272275
10922	0.012881568300663565
10923	-0.028571866582756157
10924	2.3184689845036363e-4
10926	1.9461214658663915e-10
10927	0.006284936573943727
10928	-0.006231027374462722
10929	0
10930	-1.8950933048211274e-5
10935	0.025744001046085298
10936	-3.469209719139433e-4
10938	-0.03533847462625201
10939	0.010328369467816229
10940	0.010173651674007963
10942	-0.03792977516877279
10943	-0.0030728832232431503
10944	-0.0052826034787410775
10945	-0.011095293033749828
10946	0.024881394631873992
10947	-0.01054426513349382
10948	-0.005580090061451176
10949	0.002143326779903443
10950	0
10952	-0.01080989042237289
10953	-0.009261053609918175
10954	0.011676059973838483
10955	-0.0037479353867808807
10956	0
10957	-0.017113330306407753
10959	0
10960	0.010792185876493146
10961	0.020053068832632578
10962	0.018078412673414004
10963	0
10964	0.027744993297854383
10966	2.735156365755493e-4
10969	-0.011080745481817455
10970	0.005550677117415182
10972	-0.007666043654306072
10973	-0.0027428392232288048
10974	0.005353627761810874
10975	0
10978	-1.558310565070304e-4
10979	-0.009978535845342718
10980	0
10981	-5.1941758606315e-4
10982	0.008181968178232293
10983	-0.016839874171019526
10985	0
10987	0
10988	0.012094440926389508
10989	0.014174335581358171
10990	-0.027915499958259055
10991	0.007414725178681955
10992	-0.01139743831425543
10993	-0.006779630170830562
