gene	male-old_adult-fine-3
100131138	0
100131187	-0.009416185396033474
100131211	0
100131213	0.015173715344366961
100131303	0
100131347	0
100131366	0.016422162672836114
100131434	0.02237284272029701
100131496	0
100131655	-0.017036398173145593
100131691	-0.002882160140981596
100131755	0
100131801	0
100131814	-4.943808364750923e-4
100131816	0
100132074	0
100132078	0
100132341	0
100132386	-0.003434152791411903
100132464	0
100132476	-0.005744445158308335
100132596	0
100132677	-0.01295156294522028
100132891	0
100133205	0.02507052576247299
100133311	0
100133461	0
100133612	-0.01578880918180093
100133941	0.023935486600533486
100133985	0.04288839095295028
100134229	0
100134259	0.0402543617363146
100134368	0
100134713	0
100137047	-0.028077548084920734
10014	-0.016630563440823764
100141515	0
100144597	0
100144602	0.029006583699794593
100144603	-0.004573699142385697
100144748	0.012222719574656971
10015	0
10016	0
100169752	0
100169989	0
10017	0.00597995045572275
100170229	-0.01823630650528394
100170765	0
100170841	-0.009595717113915079
10018	0.0033549066943591383
100188893	0.02495070387520331
100188953	0
100189589	-0.036755897630227886
10019	-0.005449323227223331
100190938	0
100192379	0
100192386	-0.006610659428365758
1002	0
10020	0
10021	0
10022	0.003290283834201875
10023	-0.0016994621556395621
10024	0
10025	0
10026	0.008633303354515457
100268168	0.006993427494767013
100270679	0
100272147	0
100286844	0
100287015	0.005637087356180412
100287114	0
100287177	0.013626153932023103
100287366	0.045939292639139435
100287482	-0.08937833741146277
100287569	0.017863416870362882
100287616	0
100287814	0
100287896	0.006564298762013035
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0.013434073965790133
100288637	0
100288797	-0.013054654916814503
100289092	-0.005529810982662598
100289097	0
100289098	0
100289187	0
100289274	0
100289341	-0.004041767600023272
100289373	0.015901324660298317
100289495	0
100289635	0.0064158122464381545
100289678	-0.0010563632326235086
100292680	0
100293516	0
100294362	0
100294720	0
1003	0.0012114727997925485
100302691	0
100303728	0
100303755	0
100306951	-8.821673270812838e-4
100316904	-0.024674525110046162
100329135	0
100359394	-0.005172333338634778
10036	-0.016896025391270615
100379174	0
10038	0
100381270	0
10039	0.0060392914314161454
1004	0
10040	0.011986901846417304
10042	-0.014176192715110008
100422737	0
10043	0
10044	0
10045	-0.02469127457407947
10046	-0.011551202281000952
10047	0
10048	0
10049	3.139120164212606e-4
100499171	0
1005	-0.016006523181105445
10050	0
100500850	0.10678593773911899
100505474	0
100505478	0
100505495	0.020556262907481773
100505501	0
100505515	0
100505538	0
100505540	0
100505545	0
100505549	-0.005772869798789996
100505573	0
100505583	0
100505609	0.005882188616227635
100505616	0
100505619	0
100505622	0.033460351924689165
100505624	0
100505641	0
100505658	0
100505659	0.022758673418853795
100505664	-0.011326407625951536
100505676	0
100505681	-0.04249105189472878
100505685	0
100505687	0
100505696	0
100505715	0.04964640678297057
100505718	-0.006062258158738846
100505738	-0.005932866040615798
100505741	-0.039051877492056346
100505746	-0.021897805250252384
100505761	-0.004013017229421534
100505768	0
100505776	-0.0014613392685064832
100505782	0
100505783	0.027675689092050638
100505797	0.07104360999538342
100505811	0
100505812	0
100505826	0
100505839	0
100505841	0.020727232897037866
100505851	0
100505854	0.013030581243840506
100505876	0
100505877	-0.022652679595855103
100505879	-0.007679035649515891
100505881	0
100505890	0
100505893	0.008303944399637846
100505894	-0.04934778501836048
100505933	0
100505964	-1.896856407708235e-4
100505967	0
100505975	0
100505978	0
100505984	0.015356747302174536
100505985	0
100505989	0
100506012	0
100506013	0
100506022	0.03775714164382543
100506025	0
100506049	0.0032779905697451163
100506068	0.01580148204546149
100506071	0.013501504387055599
100506082	0.022682272386105595
100506083	0.09324173213699133
100506098	-0.042525824300123784
100506100	0.055258553607181696
100506107	0
100506108	0.028542022482699256
100506113	0.08051329259057788
100506115	0
100506119	-0.007891159963098584
100506122	0
100506125	0
100506126	-0.0134263733390931
100506127	-0.01880332553610716
100506142	0.007552244749634802
100506144	-0.01091162177379075
100506172	0
100506175	-0.013427543594668148
100506195	0.013877470373277358
100506207	0
100506215	-0.007943891984481252
100506229	-9.895990531457526e-4
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	-0.0111633703425495
100506302	0.003921855733789432
100506314	0
100506319	0
100506368	-0.026993020108088996
100506374	0.030024594469050966
100506380	0
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0.029802686412566386
100506433	0.021240246578246393
100506457	0.09438890761129094
100506462	0.02627187858603334
100506465	-0.03012079021437777
100506469	-0.01418766480112005
100506475	0
100506489	0
100506492	0
100506495	0
100506497	-0.03470721766115558
100506498	-0.022106188504855146
100506504	0
100506526	0
100506527	-0.005530940704382713
100506530	0
100506540	0.04544736270894198
100506542	-0.018124529124255943
100506571	0
100506581	0
100506599	0
100506603	0
100506606	-0.05835991863653934
100506622	0
100506655	0
100506660	-0.0046315851936116065
