gene	female-fetus-fine-1
10279	-0.0071709123247334595
1027	0
10280	0
10281	0
10282	1.964204188361559e-4
10284	0
10285	0
10286	0
10287	0
10288	0
10289	6.879585663898642e-4
1028	0.013821416412602145
10290	0
10291	0
10293	0
10294	0
10295	0
10296	0
10297	0
10298	0
10299	0
1029	-0.001310643957611258
102	0.0029011464429881994
10300	0
10301	0
10302	0
10307	0
10308	0
10309	0
1030	0
10311	0
10312	0
10313	0
10314	0
10316	0
10317	0
10318	0
10319	-3.8780557897706927e-4
1031	-0.009423693455410062
10320	0
10321	0
10322	0
10324	-0.0012612649581758718
10325	0
10327	0
10328	0
10329	0
1032	0
10330	0
10331	0
10332	0
10333	0
10336	0
1033	-0.0014038321896943612
10342	0
10343	0
10346	-4.986215617707563e-4
10347	0
10351	-0.009249396693469636
10352	0
10360	0
10362	0
10363	0
10365	0
10367	0
10368	0
10369	0
1036	0.005815697485951437
10370	0.008926408021543026
10371	0.01789234674710459
10376	0
10379	-0.0032332328587201774
10381	0
10382	0
10383	4.2306919862458015e-4
10384	-0.00901339813042396
10385	0
10388	0
10389	0
1038	0.0010596865461429434
10390	-0.0010135508573720106
103910	0
10391	0.010621181082923743
10392	0
10393	0
10394	0
10395	2.2955726332818532e-4
10396	0
10397	0
10398	0.007684623982040211
10399	9.119216841919743e-5
1039	0
103	0
10400	0
10401	0
10402	0
10403	-5.395782010829626e-4
10404	0
10406	0
10407	0
10408	0
10409	0.004020430985491205
1040	0
10411	0
10413	0.0029638237414219655
10417	0.009549449022382889
10418	0
10419	0
1041	0
10420	-0.00194478790857081
10421	0
10422	0
10423	0
10424	0.0025431996656780386
10425	0
10426	0
10427	0.002057496351910929
10428	0
10430	0
10432	0
10434	0
10435	0
10436	0
10437	-0.008159891212117715
10438	0
10439	-0.007349968441959452
1043	-0.005156674388174806
10440	0
10443	0
10444	0
10445	0
10446	0
10449	0
1044	0
10450	0
10451	-5.240313833107265e-4
10454	0
10455	5.626351940283375e-4
10456	-0.001070684467109588
10457	-0.013782020216290283
10458	0
1045	0
10460	0
10461	-3.3667520528623374e-4
10462	0
10463	0
10464	0
10465	0
10466	0
10467	0
10468	0
10469	0
1046	0
10471	-0.0010918959752470815
10472	0
10473	-3.285232264295477e-4
10474	0
10475	-4.1810969359981946e-4
10478	0
10479	0
1047	0
10480	0
10481	0
10482	0.00279875937326588
10483	0
10484	0.00134578246620349
10485	2.3144965060717734e-4
10486	0
10487	0
10488	0
10489	0
1048	-0.00551898583319324
10490	0
10491	0
10492	0
10493	0
10494	0
10495	-0.002382512040428634
10497	0.0031469515747645053
10498	0
10499	0
104	0
10500	0
10501	0
10505	0
10507	0
1050	-0.0012277715074167255
10512	0.004623930947408498
10513	0
10514	0
10516	0.0022696362027078143
10518	0
10519	-0.0014955996705380684
1051	-0.006888180548962719
10520	4.0298594377658284e-4
10521	0
10522	0
10523	0
10524	0
10525	0
10526	0
10527	0
10528	-1.4232479066968813e-4
10529	-5.607909932267275e-4
1052	-0.002440597485312661
10531	0
10533	0
10534	0
10535	0
10536	0
10537	-0.0016633761512659842
10538	0
10539	0
1053	0
10540	0
10541	0
10542	0
10544	0
10548	0
10549	0
1054	-1.7855705908774254e-4
10550	0
10551	0
10552	0
10553	-0.005898274442520617
10554	0
10555	0
10556	0
10557	0
10558	0
10559	0
10560	3.0404031981552324e-4
10561	-0.01797559281754471
10562	-0.00166695385377297
10563	-0.0022068637985041177
10564	0
10565	0
10566	0
10567	0
10568	0
1056	0
10570	0
10572	0
10573	0
10574	0
10575	0
10576	0
10577	4.487249581534967e-5
10578	-1.373503107620249e-4
10579	0
10580	0
10581	-9.109091578372952e-4
10584	0.002626037700504248
10585	0
10586	0
10587	0
10589	0
1058	0
10590	0
10591	-0.0038845702635921103
10592	0
10594	0
10595	0
10598	0
10599	0
1059	-4.57849316467874e-4
105	0
10600	0
10602	0.003679649052207886
10603	-0.0021224852361504064
10606	0
10607	0
10608	0
10609	0
1060	0
10610	-1.5982086367977312e-4
10611	0
10612	0
10613	0.001066071457676039
10614	0
10615	0
10616	0
10617	0
10618	0
10621	0
10622	0
10623	0
10625	0
10627	0
10628	-0.00886689639670515
10629	0
1062	0
10630	0.004275217977452613
10631	0.0017943166064054341
10632	0
10633	-9.283595203982928e-4
10634	-0.0019215193214326628
10635	-0.0016931109614860686
10636	-5.325131507396331e-4
10637	0
1063	-5.68316946923416e-4
10640	0
10641	0
10643	0.03082062469295296
10645	-4.508353841645233e-4
10647	-0.003535648801585901
10648	0
10650	0
10651	-1.8386460294080964e-4
10652	0
10653	0.006486230842846507
10654	-0.005485688147764186
10656	0
10657	0
10658	0
10659	0.010434430667948236
10660	0
10661	0.004557122715793197
10663	0
10664	1.3093462087261962e-4
10665	0
10666	0
10667	0
10668	0
10669	-0.005873876400315321
10670	0
10671	0
10672	0
10675	0
10677	-7.869870875419757e-4
10678	0
10681	0
10682	0.0018335374365813333
10683	0
10686	0
10687	-0.006118361184008935
1068	0
10690	0
10691	0
10692	0
10693	-0.0013405740376028338
10694	0
10695	0
10699	0
1069	0
1070	0
10712	0
10713	0
10714	0
10716	0.0015440781384780575
1071	0.0032047885330764255
10721	0
10723	0
10724	0
10725	0
10726	0
10728	0
10730	0
10732	-0.0016020029340698407
10733	0
10734	0
10735	0
10736	-0.0032211572196052963
10737	0
10738	0
10739	0
10741	0
10742	0
10744	0
10745	0
10746	0
10747	0
10749	0
10750	0
10752	0
10753	0
10755	0
10758	0
1075	0.0011473166323555325
10761	0
10762	0
10763	8.331098041428474e-4
10765	0.005010141246661905
10766	0
10767	0
10768	0
10769	0.005552503777989095
10771	0
10772	0
10773	0
10775	0
10776	0
10777	0
10778	0
10780	0
10781	0
10782	0
10785	0
10786	0
10787	0
10788	0.004110075933070363
10791	0
10793	0
10794	0
10795	0
10797	-0.005199672080443481
10798	0
10799	0
107	0
10801	0
10802	0
10803	0
10807	0
10808	0
1080	0
10810	0
10813	0
10814	0
10816	0
10817	0
10818	0
1081	0.001981956486845425
10825	0
10826	0
10827	0
10840	0
10841	7.143132467970397e-5
10842	0
10844	0
10845	0
10846	0
10847	0
10848	-0.0034876100362195694
10849	0
1084	0
10850	0
10855	-0.005009653404166182
10856	0
10857	0
10858	0
10859	0
10861	0
10863	0
10864	0
10865	0
10866	-0.010019835036383694
10867	0
10868	0
10869	0
10871	0
10873	0
10874	-0.009138742689093437
10875	-0.013236114158533426
10876	0
10879	0
1087	0
10880	0
10881	0
10882	0
10884	0
10885	0
1088	0
10891	0
10892	0
10893	0
10894	0.0054527833277441505
10895	0
10897	0
10898	-6.885515542756922e-5
10899	-1.1977371088493327e-4
1089	0
108	0
10900	0
10902	0
10903	0
10904	0
10905	0
10906	0
10907	0
10908	0
10911	0
10912	0
10913	0
10914	0
10915	0
10916	0.0025804591720047097
10917	0
10919	0
10920	0
10921	0
10922	-3.6531002381467754e-4
10923	0
10924	0.008313637591349156
10926	0
10927	0
10928	-2.1667161573697054e-4
10929	0
10930	0
10935	0
10936	0
10938	0
10939	-0.0019657487935321426
10940	0
10942	0
10943	0
10944	0
10945	0
10946	0
10947	0
10948	0
10949	0.0023620194657297338
10950	0
10952	0
10953	0
10954	0
10955	-1.3736653989012435e-4
10956	0
10957	0
10959	0
10960	0
10961	0
10962	0.007319358235523436
10963	9.826192124039637e-4
10964	-0.026362737194239972
10966	-0.007300932016372887
10969	0
10970	0.0023794446421108325
10972	0
10973	0
10974	-0.014547235511906696
10975	0
10978	0
10979	0.005341038859587861
10980	0
10981	2.91345525112609e-4
10982	0
10983	0
10985	0
10987	0
10988	0
10989	0
10990	0
10991	0.0037818770836205054
10992	0
10993	-3.6238995901506524e-4
10994	0
10998	0
109	0
10	0
11000	0
11001	0
11004	0
11005	-0.0017528658004787017
11006	0
11007	0
11009	0
11010	0
11011	0
11012	0
11013	0.012467422091932934
11014	0
11015	0
11016	0
11017	0
11018	0
