gene	group
3990	pos_female-adolescent-coarse-1
3992	pos_female-adolescent-coarse-1
400242	pos_female-adolescent-coarse-1
400451	pos_female-adolescent-coarse-1
401014	pos_female-adolescent-coarse-1
401115	pos_female-adolescent-coarse-1
404266	pos_female-adolescent-coarse-1
4047	pos_female-adolescent-coarse-1
4058	pos_female-adolescent-coarse-1
4092	pos_female-adolescent-coarse-1
4118	pos_female-adolescent-coarse-1
4137	pos_female-adolescent-coarse-1
4208	pos_female-adolescent-coarse-1
4288	pos_female-adolescent-coarse-1
4306	pos_female-adolescent-coarse-1
4317	pos_female-adolescent-coarse-1
432	pos_female-adolescent-coarse-1
4327	pos_female-adolescent-coarse-1
4332	pos_female-adolescent-coarse-1
4338	pos_female-adolescent-coarse-1
440416	pos_female-adolescent-coarse-1
440603	pos_female-adolescent-coarse-1
440829	pos_female-adolescent-coarse-1
443	pos_female-adolescent-coarse-1
4616	pos_female-adolescent-coarse-1
4635	pos_female-adolescent-coarse-1
4640	pos_female-adolescent-coarse-1
4670	pos_female-adolescent-coarse-1
4726	pos_female-adolescent-coarse-1
4728	pos_female-adolescent-coarse-1
4745	pos_female-adolescent-coarse-1
478	pos_female-adolescent-coarse-1
4824	pos_female-adolescent-coarse-1
4856	pos_female-adolescent-coarse-1
488	pos_female-adolescent-coarse-1
4897	pos_female-adolescent-coarse-1
4907	pos_female-adolescent-coarse-1
49855	pos_female-adolescent-coarse-1
5046	pos_female-adolescent-coarse-1
50509	pos_female-adolescent-coarse-1
50512	pos_female-adolescent-coarse-1
50838	pos_female-adolescent-coarse-1
50840	pos_female-adolescent-coarse-1
50854	pos_female-adolescent-coarse-1
51092	pos_female-adolescent-coarse-1
51118	pos_female-adolescent-coarse-1
51148	pos_female-adolescent-coarse-1
5116	pos_female-adolescent-coarse-1
51203	pos_female-adolescent-coarse-1
51226	pos_female-adolescent-coarse-1
51280	pos_female-adolescent-coarse-1
51284	pos_female-adolescent-coarse-1
51313	pos_female-adolescent-coarse-1
51330	pos_female-adolescent-coarse-1
51351	pos_female-adolescent-coarse-1
51474	pos_female-adolescent-coarse-1
5152	pos_female-adolescent-coarse-1
51562	pos_female-adolescent-coarse-1
5159	pos_female-adolescent-coarse-1
51665	pos_female-adolescent-coarse-1
5195	pos_female-adolescent-coarse-1
5270	pos_female-adolescent-coarse-1
5273	pos_female-adolescent-coarse-1
53373	pos_female-adolescent-coarse-1
5351	pos_female-adolescent-coarse-1
5366	pos_female-adolescent-coarse-1
5368	pos_female-adolescent-coarse-1
53905	pos_female-adolescent-coarse-1
53942	pos_female-adolescent-coarse-1
53944	pos_female-adolescent-coarse-1
54039	pos_female-adolescent-coarse-1
54097	pos_female-adolescent-coarse-1
54474	pos_female-adolescent-coarse-1
54478	pos_female-adolescent-coarse-1
54517	pos_female-adolescent-coarse-1
54558	pos_female-adolescent-coarse-1
54587	pos_female-adolescent-coarse-1
5463	pos_female-adolescent-coarse-1
54762	pos_female-adolescent-coarse-1
54843	pos_female-adolescent-coarse-1
54955	pos_female-adolescent-coarse-1
