gene	male-young_child-fine-1
100288637	-0.010390069589885339
100288797	0
100289092	0.03797353694858743
100289097	0
100289098	0
100289187	-0.013112486334752262
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0.018643044292121387
100289678	0
100292680	0
100293516	0.012783074822504214
100294362	-0.015267524259544713
100294720	0.007050820239959472
1003	0.004366802704497041
100302691	0
100303728	0
100303755	0.0013334073144979231
100306951	0
100316904	0.00401935262691063
100329135	0
100359394	0
10036	0
100379174	0.013055642408949181
10038	-0.022507141375977438
100381270	0.009621484998928231
10039	-0.025106085118833874
1004	0.01373620746449608
10040	0.011505208011968644
10042	0
100422737	1.2618044733509118e-4
10043	-0.013500945104139636
10044	0
10045	-0.02345340729173434
10046	0
10047	0
10048	0
10049	0
100499171	-0.012304621639527615
1005	0
10050	-0.007301153378240675
100500850	-0.0403849530299496
100505474	0
100505478	0
100505495	0
100505501	0.010125824540377332
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	-0.003172171770062121
100505619	0
100505622	0
100505624	-0.05122356743685997
100505641	0
100505658	0
100505659	-0.03280139093689327
100505664	0
100505676	0
100505681	-0.032575425557989084
100505685	0.01667953492927397
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0
100505741	-0.0065890481298511916
100505746	0.00342782468220157
100505761	0.008219857534743203
100505768	0
100505776	0
100505782	0
100505783	0
100505797	-0.021479448002107285
100505811	0
100505812	0
100505826	0
100505839	0.0036828328375836483
100505841	0.008460136485068239
100505851	0
100505854	0.005675269342683563
100505876	0
100505877	0
100505879	0
100505881	-0.058571192506569565
100505890	0.0017069056155581375
100505893	0.00982224922192308
100505894	0.01664326437875823
100505933	0
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0.025383742710960184
100505985	-0.013187481979136209
100505989	0
100506012	0.0115511665975327
100506013	0
100506022	0
100506025	9.124286487776223e-4
100506049	0
100506068	-9.458114531064551e-5
100506071	0
100506082	0
100506083	0
100506098	0.0036425149262501975
100506100	-0.02465779770036906
100506107	0
100506108	0
100506113	0
100506115	2.757672451336782e-4
100506119	0.01621895930959315
100506122	0
100506125	0.011294758172774484
100506126	0
100506127	0
100506142	0
100506144	0
100506172	0.009236862720085292
100506175	0.011348855408558513
100506195	0
100506207	0.008853886798559767
100506215	0.004035164972255882
100506229	-0.007743860441598657
100506237	0
100506243	0
100506271	0
100506274	-0.026017350572833074
100506286	0
100506289	0
100506302	0.0066957771941219615
100506314	-0.23187920922589475
100506319	0
100506368	-0.006054979517617619
100506374	0
100506380	0.022813038582506284
100506385	-0.00938717697596807
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	-0.0011098840816970176
100506433	0.02175755412831195
100506457	0.06205074949276483
100506462	0
100506465	0.007906233273111754
100506469	0.005916591893160613
100506475	0.006157850112223593
100506489	0
100506492	-1.9111456282196993e-5
100506495	0
100506497	-0.014242356039338233
100506498	0.009577347957589305
100506504	-0.02566917327904163
100506526	0
100506527	0.02490746438530942
100506530	0
100506540	0.0799820065044463
100506542	0
100506571	0
100506581	0.01886644834646095
100506599	0.012307613824785802
100506603	0
100506606	-0.024890519549182137
