gene	female-child-fine-1
1010	6.486078686880121e-4
10110	-0.0029206180053821945
10111	-0.008499729100520588
10112	0
10113	0
10114	-0.0022406140185594705
10116	-3.750894462124959e-4
10120	0
10121	0
10123	0
10125	0
10126	-3.1284653937326504e-5
10127	0
10128	-0.0033763487867621623
10129	-0.001406594703254302
1012	-0.001177888943886715
10130	-0.002687653718252081
10131	0.004449975518670523
10133	0.011210425050163238
10134	0.003593448435640116
10135	0
10136	0.00357499295949154
10137	-0.01563034698237557
10138	0
10139	0
1013	-0.0027119180356356327
10140	-0.015648510120250807
10141	0
10142	0
10144	-0.01289943157557727
10146	-0.003355934198617479
10147	0
10148	-0.016577578350338337
10149	0.012392939536867443
1014	0.0067013646861008224
10150	-0.006115319547143563
10152	0
10153	0
10154	-0.006167323128108293
10155	0
10157	0
10158	4.393992274211849e-4
10159	2.1230571615420108e-4
1015	-0.004740027208246114
10160	0.001188072101092871
10161	0
10162	0
10163	0.008997084612786515
10164	0.003445070905367505
10165	0.005299581119744607
10166	0
10168	0
1016	0
10170	0.009003175181562661
10171	0.005280080224462988
10174	0
10175	0
10178	0.0070280629557554295
10179	0
1017	-6.010143066302318e-4
10180	0
10181	0
10184	0.004410331184663341
10186	-0.0037062038901195787
10188	0
10190	0
10193	-0.0033082850114661603
10195	0
10196	0.018955503944338575
10197	0
10198	0
10199	0.0017192283172117156
1019	-0.002012724853233218
101	0
10200	-0.0033210434035407786
10201	0
10202	0.00443815988772131
10203	0
10205	0
10206	0.0074312869924786935
10207	0.005764921046131787
10208	6.945363617249714e-4
10209	0
1020	0.0023891537404475273
10210	0
10211	0.003257724538470146
10212	-0.006366974355579671
10213	0
10214	0
10215	-0.004489961416960322
10216	-0.023636615024702573
10217	0
10218	0
10219	-0.007705649958405652
1021	0
10220	-0.006846249568176118
10221	0
10223	0
10225	-0.00780917303917521
10226	0
10227	0
10228	0.0010208503063203476
10229	0
1022	-0.004076598093035839
10230	-6.091453574217345e-4
10231	0
10232	-0.0023223084262866036
10233	0.0015294543412854914
10234	0.0033855356026110785
10235	0.001887503529614676
10236	0
10237	2.3736661423748724e-4
10238	0
10240	0
10241	0
10242	0
10243	0
10244	0.008137355770001077
10245	0.010011822196457859
10246	0
10247	0
10248	0.0027881011796144976
10249	0
10250	-0.005013626315605586
10252	0
10253	0
10254	4.444414370298058e-4
10255	0
10256	-0.005216274311668225
10257	-0.010784983364995691
1025	0
10260	-0.007789812864299181
10261	0.017191911230301345
10262	0
10263	0
10265	-0.0014796598509820085
10266	0
10267	0.005325286372432389
10268	0
10269	4.043320525034362e-4
1026	-0.003998621603198213
10270	0
10272	0
10273	0
10274	0
10276	-0.00679484974898334
10277	6.37165259180149e-4
10278	0
10279	0
1027	0
10280	7.428192403831585e-4
10281	0.005332714698366801
10282	-0.003868710255632615
10284	0.007709194448674715
10285	0
10286	0.005090463514294234
10287	0
10288	2.536225312983882e-4
10289	-0.002482052099165304
1028	-0.018066799957830986
10290	0
10291	0
10293	8.227957242804485e-4
10294	0
10295	-0.002084445970552692
10296	0
10297	0
10298	0
10299	-0.004088272507834569
1029	0
102	-0.0045586826350779135
10300	0
10301	-0.012194056203882014
10302	-0.0030997251988191697
10307	-0.0034217926074937214
10308	0
10309	-0.007743970854303068
1030	-0.003844812993223874
10311	-8.690373773181499e-5
10312	0
10313	0
10314	0
10316	-0.0025724768768981775
10317	0
10318	0
10319	0.004756211676511685
1031	0.011927519973278424
10320	0
10321	3.22662007295506e-4
10322	0.0013858222477823605
10324	0.00970792710128632
10325	0
10327	0
10328	-2.4774155218420634e-4
10329	0.00885424193414849
1032	0
10330	0
10331	0
10332	0
10333	0
10336	0
1033	0.0034996178060044346
10342	0
10343	0.004160509800203628
10346	-0.0037389282534653697
10347	0
10351	0.011354558264345227
10352	-0.0021262805473300167
10360	9.360754652869057e-4
10362	0.004131366523328045
10363	0
10365	-0.005041130366313816
10367	0.004737878272771446
10368	0.0037049233758045482
10369	0
