gene	female-elderly-fine-2
10533	-0.003180891008420922
10534	0.004174078834348151
10535	-0.012705035182311778
10536	0.023289412205854617
10537	0.03375896563003572
10538	0.013864955599150105
10539	-0.0029580084672015347
1053	-0.008053643240517551
10540	0
10541	-0.0020260108284628022
10542	0.0027175019655229717
10544	-0.023837644192621625
10548	-0.0075974991487820585
10549	0.002254986186011573
1054	-0.006256984548233741
10550	0.010001808669323414
10551	0
10552	0.037483655548592516
10553	-0.00953515744322012
10554	0.0022299376145736897
10555	0.0018598614154088948
10556	0
10557	0
10558	0.0030529305598477143
10559	-0.004156447645693228
10560	0.006433308972738587
10561	0.018890799391428605
10562	0.07553936094534841
10563	0.08669957051946196
10564	0.001217905373134912
10565	-0.0011019899565952117
10566	-0.005678653311846481
10567	-0.011921213576892839
10568	-0.026116751048491232
1056	0.06033855933481576
10570	0
10572	-0.0025204555372764603
10573	-0.006517346112643861
10574	-0.003207435025833284
10575	0
10576	0.013889039264386538
10577	0.01722410793744019
10578	-0.030621180224828723
10579	-0.029468879905838977
10580	-0.002788980055644498
10581	0.00382187196232402
10584	0
10585	0.01191362690591815
10586	0.04356547771558566
10587	0
10589	-3.2011095159206564e-4
1058	0
10590	0.03473512390825919
10591	0
10592	0.0021686103083196884
10594	0.015945415986244178
10595	-0.015346035450774832
10598	-0.012533424303824764
10599	0.0028205988674607054
1059	-0.007587037810009698
105	-0.023371548578092215
10600	0
10602	0.03616878549689156
10603	-0.004058033194058184
10606	-9.421228950826488e-5
10607	0.005330257449974217
10608	-0.005364108397548837
10609	-0.003455157614676175
1060	-0.039946302468516756
10610	-0.0352375217696176
10611	0.01699793482719012
10612	-0.005994362277843782
10613	0.013684559922621473
10614	0
10615	0
10616	-0.004613570157780268
10617	0
10618	0.01570680540627718
10621	0.009193222763383652
10622	0.008837734543806614
10623	-0.005993209694260215
10625	-0.012164254461553344
10627	-0.01893819726660627
10628	0.04628478861234451
10629	-0.0060377459694827005
1062	0.016835244287150344
10630	0.0046166814507523695
10631	0.03933617895460538
10632	-4.1076684794104265e-4
10633	0
10634	-0.022026578104200837
10635	-0.0054605638645261745
10636	-0.004707747202343931
10637	0.039534646992052266
1063	0.03159061690618118
10640	0.003606785162476699
10641	-0.008627287943466252
10643	-0.01675965890638974
10645	0
10647	-0.005607400691219278
10648	0.04307033405064811
10650	-0.002047063171657487
10651	0.011059780182163149
10652	0
10653	0.024413762319677505
10654	-0.0068459324038721665
10656	-0.013313840444943102
10657	0
10658	0
10659	-0.015122310488254615
10660	-0.0010101602011657403
10661	0.005660771672979534
10663	0.005961018028150664
10664	0
10665	0.0035431845836225145
10666	0
10667	-0.008817590229582091
10668	0
10669	0.01380818744475385
10670	9.633969830696439e-4
10671	0.029462887004593475
10672	0.007433565794918006
10675	-0.027560631680266828
10677	0
10678	0
10681	-0.028066738855379043
10682	0.0021242458891070587
10683	-0.008655031901877979
10686	-0.006336941919307464
10687	-0.00924552766366546
1068	0
10690	-0.004585610736225215
10691	0.0011723519397961342
10692	0.0014090947185747794
10693	-0.0028572902010711707
10694	0.015421415708552638
10695	0.01939130600684398
10699	0
1069	-1.9467888347906022e-4
1070	0.006150634039656452
10712	-0.0013982574753943122
10713	-6.84787612885585e-4
10714	-0.011547154106813513
10716	0.008494898260727107
1071	-0.007547594281751553
10721	0.009539691231368913
10723	-0.0323260741631221
10724	0.03613002539019355
10725	-0.009882733882329445
10726	0.0015338542603581266
10728	0
10730	-0.006380739864584149
10732	-3.6884444229469686e-4
10733	-5.458858676728123e-4
10734	0.0042529451983812664
10735	-0.002440913139849488
10736	0.016517165182154663
10737	0
10738	0
10739	0.014231577609462765
10741	-0.004876649871710881
10742	0.022389086230962325
10744	0.007057174464786897
10745	0.001964521851058441
10746	0
10747	0.002787338343429363
10749	0.015843720368228103
10750	-0.002045517304072797
10752	0.026334349629125522
10753	-0.023570507574532596
10755	-0.007916041973986265
10758	-0.00997879399122014
1075	0.004496295021657259
10761	-0.028365009894897358
10762	0.006500803773092979
10763	-0.005152076777902781
10765	0.007164244662963652
10766	-0.005559794077933628
10767	-0.0036991167533084774
10768	0.009914151056166694
10769	-0.005162196801749376
10771	0
10772	-0.0030114983428930313
10773	1.8504351831364878e-4
10775	-0.0026341842360805934
10776	0
10777	-0.00664479791007173
10778	0.0027834010278912505
10780	0.007580539102736896
10781	0.02957116824735857
10782	-0.023513265607338275
10785	-1.1436922680015013e-10
10786	0.006511496429655129
10787	0
10788	0.02106568121577274
10791	-0.006885441964737219
10793	0.009160504565152362
10794	0
10795	-0.003682608220841802
10797	-0.010139161673466726
10798	0
10799	0
107	0
10801	0.009523997469414784
10802	0
10803	-0.010819123485716165
10807	0.01177751558274138
10808	-0.0054071716271055625
1080	-0.028621219179595925
10810	0.0023873811215972345
10813	-0.01444124425937739
10814	0.013578457418739882
10816	-0.002881548838804893
10817	0
10818	-0.006546307246043531
1081	0
10825	0
10826	-0.01872425593198523
10827	0
10840	0.04007134407568454
10841	-0.006341482476494736
10842	0.011839259326010675
10844	0
10845	0.014467217244276567
10846	0
10847	0
10848	0.023495369863872472
10849	0
1084	0
