gene	male-middle_adult-fine-2
10112	-0.002913537506969413
10113	0.013589485226077813
10114	0.0013397104468716565
10116	-0.03277473536399358
10120	0.017010334766503286
10121	-0.0095261470405996
10123	-0.032954594084532184
10125	0.04124143436227267
10126	-0.00757194061543184
10127	-0.0010927256121471922
10128	-0.03188604143304679
10129	-0.05151891149055131
1012	0.07913389866698364
10130	-0.024465440989394703
10131	0.008432964717038409
10133	-0.021855113150258967
10134	0.01609556411112573
10135	-0.006006222074045032
10136	0.0451293178776614
10137	-0.011752431510178105
10138	0.03694190421410569
10139	0.006362833747949347
1013	0.011646895658854755
10140	-0.014984415028309156
10141	0.00575626473342347
10142	0.009779063851326826
10144	0.004449625440659144
10146	0.00430962876635764
10147	0.0316833047043245
10148	-0.0421629861818404
10149	-0.013513416622451818
1014	-9.077109301678519e-6
10150	-0.056700653058195855
10152	-3.1728425535677214e-10
10153	0.012448251317902394
10154	0.03472137043070348
10155	0.02010183978224177
10157	-0.012589839729923695
10158	-0.04308653575512595
10159	0.0011283673549447137
1015	-0.00236871044394562
10160	0.032415377415381176
10161	0.06647471701892918
10162	-4.128554271237911e-10
10163	-0.0020376231933052704
10164	0.011167993999119101
10165	-3.758819943540665e-4
10166	0.029377109310692526
10168	-0.022215311354141096
1016	-0.02390369528039792
10170	-0.0427589465903135
10171	0.025051814713456327
10174	0.015545876530092572
10175	6.624765149106364e-11
10178	6.78011512423639e-10
10179	0.013738342057691423
1017	-0.022496146485307112
10180	-0.043779193458593116
10181	-0.007506110295789987
10184	0
10186	0.014945468059034496
10188	1.861980025795001e-4
10190	-0.030335179585883006
10193	0.003384810325127898
10195	0.007301183082756486
10196	0.007148602044220944
10197	0.02247202822972239
10198	-0.035893759880780245
10199	-0.03221107666670024
1019	0.040801171390345795
101	0.030193904606863626
10200	-1.7235522545487946e-10
10201	0.022828739063498155
10202	0.07685160503893913
10203	-0.033868951496520146
10205	0.02731393494719618
10206	0.05293183353484008
10207	0.003964229585065388
10208	-0.05551595184945427
10209	0.0017682090508205671
1020	4.477962853981761e-4
10210	0.019540890832283653
10211	-1.3927026692637223e-9
10212	3.6896560534754436e-10
10213	0.02955216889839152
10214	0.0031486826138677083
10215	0.01707421964225517
10216	0.005109211087771533
10217	-0.01661931156556543
10218	9.30102076835234e-4
10219	-0.06315527650246844
1021	-0.00298002051639988
10220	-0.0271561957327757
10221	-0.008815245223968203
10223	-0.06991395638651735
10225	0.043100131648267655
10226	0.01579266666680393
10227	0.019618794170269974
10228	-0.013468955451515179
10229	-0.022427002337884677
1022	0
10230	0.007784471800500967
10231	-0.055259212098717855
10232	0.01389514683617538
10233	-0.057536002302004036
10234	0.009102119082281689
10235	0.025404673880617623
10236	-5.10598166941826e-4
10237	0
10238	-0.021327931759495215
10240	0.03257332357093463
10241	-0.012467856614030935
10242	0.038732910183576524
10243	0.029396754737489105
10244	0.0187748601100849
10245	-0.0010888953904301618
10246	0.010098411474990007
10247	0.01261122738247276
10248	-0.013991866507837262
10249	-0.009792913413528132
10250	-0.027124608615792124
10252	0.054096932362975005
10253	-0.030690492786210492
10254	-1.4452342167229628e-4
10255	-0.03326115401970537
10256	-0.020066203564382157
10257	0.012241366879959683
1025	0.03641400661994927
10260	-0.009237830944795238
10261	0.05463931029838312
10262	-0.040509790787555636
10263	-0.010052937297268603
10265	0.032750048940515794
10266	-0.028579726726675414
10267	-0.060212092703730465
10268	0.06535787475676298
10269	0.018720796537659873
1026	-0.04022390242446402
10270	-0.012406452394464371
10272	-0.0555228677258211
10273	-0.015154329059165656
10274	-0.024461472509001863
10276	-0.022269348825210724
10277	-3.768431540883501e-10
10278	-0.030161922462415745
10279	0.002011086299760934
1027	-0.009081364281192756
10280	-0.046591811455767095
10281	0.006342392401429424
10282	-0.013848318095582544
10284	0.0394063573737585
10285	-0.004301048761808806
10286	0.023814536681035524
10287	0.005656283862071376
10288	-0.0028654895653768544
10289	0.005498420378718454
1028	0.02366570714169791
10290	0
10291	-0.013447865986275212
10293	3.3077623923447714e-10
10294	0.012543949799758284
10295	0.019209814864926292
10296	-0.048278097707006806
10297	-0.029938958327314514
10298	0.0014131390857556503
10299	-0.008666126290348243
1029	0.00185194266585168
102	0.005462938081529629
10300	0
10301	0.03487474657024463
10302	-0.01690098019664235
10307	-0.030686470728662082
10308	-0.01004990214836198
10309	-0.015906915945920638
1030	0.049615354320214314
10311	0.006937841224035579
10312	0.05313249165282512
10313	-0.008160727185877889
10314	-0.002589150585708835
10316	-0.01728479070769709
10317	-0.035335259640280864
10318	-0.004272620819335529
10319	0.01599890653853364
1031	0.00857917885114029
10320	-4.240276676074646e-10
10321	0.0034326974567630065
10322	0.002231604785153604
10324	-0.03612910004847585
10325	-0.04629451457653296
10327	-0.010192254951759603
10328	-1.6107772391111353e-10
10329	0.05603819885461782
1032	-0.054006497167597305
10330	0.0030367423166313755
10331	-0.002820484810370353
10332	-0.030812663367660663
10333	0.06602382856857009
10336	-6.428032061369551e-4
1033	0.044500403051629674
10342	0.01068805226373049
10343	0
10346	-0.007891709287659898
10347	0.03468577429565764
10351	-0.07274236645748329
10352	0.027917873082092003
10360	-0.025645492885482363
10362	-0.005004787408626136
10363	-4.978399308517661e-10
10365	5.958133098801058e-4
10367	0.005024136488520415
10368	-0.0013863372341717936
10369	0.008360070942851228
1036	-0.045253712244510455
10370	-0.00890237826557322
10371	0.04027962868031599
10376	0.02211540479940727
10379	-0.0320544812587979
10381	-0.0442926169740941
10382	0.0014417612468818782
10383	0.011981429187611456
10384	0.0018402345274962828
10385	-0.04569239533876026
10388	-0.07735851751661806
10389	-0.010266636469067232
1038	-0.06435353458033496
10390	0.020095840467925574
103910	0.0013140422294718945
10391	-0.0027773555222445723
10392	0
10393	0.02460127584940744
10394	0.07860335272125812
10395	0.0019859914428564146
10396	-0.0718217749598012
10397	-0.03937589159593556
10398	0.036144933335392974
10399	0.0029420819329968725
1039	-0.008898476215965703
103	0
10400	0.006191303059014692
10401	-0.036606864394864415
10402	-0.03541232033581471
10403	2.0566863412962473e-4
10404	-0.0022249952688458527
10406	0.07213402682272038
10407	-0.05353953796347408
10408	-0.00306102342390721
10409	0.0018910108764823815
1040	0.031540108085184995
10411	-0.018392643997716694
10413	-0.01532473154162767
10417	-0.0022153783134486607
10418	0.053575527716640634
10419	0.024957773791192375
1041	-0.02117237989806679
10420	-0.004260491650625682
10421	-6.270592112806381e-4
10422	0.04119984374039571
10423	0
10424	0.015821985044278255
10425	0.003988629648273591
10426	-0.055125853021095524
10427	-0.00791009724010995
10428	-0.05055348227682361
10430	-0.014580668740414325
10432	0.030926957211545
10434	-0.005202699280212
10435	-0.020094510936034742
10436	0.030753154237294467
10437	0.001979314795130324
10438	0.024781272357958645
10439	0.0305482005858949
1043	-0.026194889049889612
10440	-0.004214529766328114
10443	-0.004807066238694546
10444	-0.022788050697156195
10445	-0.006119349656917647
10446	-0.021996232638840735
10449	0.005647670569148782
1044	0.028835963946255577
10450	-3.2489633875563924e-10
10451	0.024444833140636796
10454	0.024203138104624478
10455	-0.0034785665011953975
10456	-0.028654756981875622
10457	-0.015859156733998167
10458	0.01037182839378551
1045	0.028570900063970773
10460	-0.004152174241061967
10461	-2.3729022630528065e-10
10462	0.03782728033060966
10463	-0.030644459411730107
10464	-3.23748995996686e-4
10465	-0.02226557214811672
