Entrez	tissue
1010	female__Cervix Uteri
1010	female__Fallopian Tube
1010	female__Pituitary
1010	female__Salivary Gland
1010	female__Skin
1013	female__Cervix Uteri
1013	female__Lung
1013	female__Muscle
1013	female__Nerve
1013	female__Ovary
1013	female__Salivary Gland
1013	female__Spleen
1014	female__Fallopian Tube
1014	female__Heart
1014	female__Kidney
1014	female__Nerve
1014	female__Small Intestine
1014	female__Thyroid
1014	female__Vagina
1015	female__Colon
1015	female__Small Intestine
1016	female__Brain
1016	female__Pituitary
1016	female__Skin
1041	female__Breast
1041	female__Cervix Uteri
1041	female__Fallopian Tube
1041	female__Skin
1041	female__Thyroid
1041	female__Uterus
1041	female__Vagina
1044	female__Cervix Uteri
1044	female__Colon
1044	female__Small Intestine
1045	female__Bladder
1045	female__Colon
1045	female__Fallopian Tube
1045	female__Liver
1045	female__Ovary
1045	female__Pancreas
1045	female__Salivary Gland
1045	female__Small Intestine
1045	female__Spleen
1045	female__Stomach
1046	female__Pituitary
1046	female__Skin
1048	female__Bladder
1048	female__Colon
1048	female__Esophagus
1048	female__Lung
1048	female__Salivary Gland
1048	female__Skin
1048	female__Small Intestine
1048	female__Stomach
1048	female__Vagina
1053	female__Blood
1053	female__Lung
1053	female__Small Intestine
1053	female__Spleen
1056	female__Pancreas
1056	female__Pituitary
1068	female__Cervix Uteri
1080	female__Colon
1080	female__Fallopian Tube
1080	female__Kidney
1080	female__Liver
1080	female__Lung
1080	female__Pancreas
1080	female__Salivary Gland
1080	female__Skin
1080	female__Small Intestine
1081	female__Adrenal Gland
1081	female__Kidney
1081	female__Pituitary
1081	female__Stomach
1082	female__Adrenal Gland
1082	female__Breast
1082	female__Kidney
1082	female__Pancreas
1082	female__Pituitary
1082	female__Skin
1082	female__Small Intestine
1082	female__Spleen
1082	female__Stomach
1082	female__Vagina
1084	female__Blood
1084	female__Lung
1084	female__Spleen
1084	female__Vagina
1087	female__Bladder
1087	female__Cervix Uteri
1087	female__Colon
1087	female__Esophagus
1087	female__Pancreas
1087	female__Salivary Gland
1087	female__Skin
1087	female__Small Intestine
1087	female__Vagina
1088	female__Adipose Tissue
1088	female__Blood
1088	female__Lung
1088	female__Spleen
1089	female__Blood
1089	female__Lung
1089	female__Small Intestine
1089	female__Spleen
1103	female__Brain
1103	female__Colon
1103	female__Pituitary
1103	female__Small Intestine
1103	female__Stomach
1109	female__Liver
1109	female__Lung
1109	female__Small Intestine
1113	female__Adrenal Gland
1113	female__Brain
1113	female__Colon
1113	female__Pancreas
1113	female__Pituitary
1113	female__Small Intestine
1113	female__Stomach
1114	female__Adrenal Gland
1114	female__Brain
1114	female__Fallopian Tube
1114	female__Heart
1114	female__Ovary
1114	female__Pancreas
1114	female__Pituitary
1114	female__Small Intestine
1114	female__Stomach
1118	female__Adipose Tissue
1118	female__Blood
1118	female__Breast
1118	female__Lung
1118	female__Small Intestine
1118	female__Spleen
1118	female__Thyroid
1128	female__Brain
1128	female__Breast
1128	female__Colon
1128	female__Lung
1128	female__Salivary Gland
1128	female__Skin
1128	female__Small Intestine
1128	female__Stomach
1129	female__Bladder
1129	female__Brain
1129	female__Cervix Uteri
1129	female__Colon
1129	female__Esophagus
1129	female__Heart
1129	female__Lung
1129	female__Stomach
1129	female__Vagina
1132	female__Brain
1132	female__Colon
1132	female__Pituitary
1132	female__Skin
1132	female__Small Intestine
1132	female__Spleen
1134	female__Brain
1134	female__Muscle
1134	female__Pituitary
1134	female__Salivary Gland
1135	female__Adrenal Gland
1135	female__Blood
1135	female__Brain
1135	female__Lung
1135	female__Pituitary
1135	female__Spleen
1136	female__Adrenal Gland
1136	female__Cervix Uteri
1136	female__Colon
1136	female__Pituitary
1136	female__Small Intestine
1137	female__Adrenal Gland
1137	female__Brain
1137	female__Cervix Uteri
1137	female__Fallopian Tube
1137	female__Kidney
1137	female__Liver
1137	female__Ovary
1137	female__Pituitary
1137	female__Spleen
1137	female__Thyroid
1141	female__Brain
1141	female__Breast
1141	female__Colon
1141	female__Pancreas
1141	female__Pituitary
1141	female__Small Intestine
1141	female__Stomach
1142	female__Brain
1142	female__Pancreas
1142	female__Pituitary
1143	female__Adrenal Gland
1143	female__Cervix Uteri
1143	female__Colon
1143	female__Esophagus
1143	female__Pituitary
1143	female__Small Intestine
1144	female__Adrenal Gland
1144	female__Brain
1144	female__Muscle
1144	female__Pituitary
1144	female__Salivary Gland
1144	female__Spleen
1146	female__Muscle
1146	female__Pituitary
1146	female__Salivary Gland
1146	female__Small Intestine
1146	female__Spleen
1149	female__Adipose Tissue
1149	female__Bladder
1149	female__Breast
1149	female__Nerve
1149	female__Salivary Gland
1149	female__Skin
1149	female__Vagina
1158	female__Heart
1158	female__Muscle
1158	female__Salivary Gland
1158	female__Stomach
1178	female__Blood
1178	female__Lung
1178	female__Small Intestine
1178	female__Spleen
1179	female__Bladder
1179	female__Colon
1179	female__Ovary
1179	female__Small Intestine
1180	female__Breast
1180	female__Fallopian Tube
1180	female__Muscle
1180	female__Small Intestine
1180	female__Uterus
1188	female__Kidney
1188	female__Pituitary
1188	female__Salivary Gland
1188	female__Thyroid
1208	female__Pancreas
1232	female__Blood
1232	female__Lung
1232	female__Skin
1232	female__Small Intestine
1232	female__Spleen
1233	female__Blood
1233	female__Lung
1233	female__Small Intestine
1233	female__Spleen
1235	female__Blood
1235	female__Lung
1235	female__Small Intestine
1235	female__Spleen
1235	female__Thyroid
1237	female__Blood
1237	female__Lung
1237	female__Salivary Gland
1237	female__Skin
1237	female__Small Intestine
1237	female__Spleen
1258	female__Brain
1258	female__Colon
1258	female__Lung
1258	female__Pituitary
1258	female__Small Intestine
1261	female__Colon
1261	female__Esophagus
1261	female__Pituitary
1261	female__Small Intestine
1261	female__Stomach
1269	female__Bladder
1269	female__Blood
1269	female__Liver
1269	female__Lung
1269	female__Small Intestine
1269	female__Spleen
1269	female__Thyroid
1270	female__Nerve
1280	female__Brain
1280	female__Breast
1280	female__Cervix Uteri
1280	female__Colon
1280	female__Ovary
1280	female__Pituitary
1280	female__Small Intestine
1280	female__Stomach
1297	female__Brain
1297	female__Colon
1297	female__Heart
1297	female__Nerve
1297	female__Pituitary
1297	female__Stomach
1297	female__Vagina
1300	female__Blood Vessel
1300	female__Lung
1300	female__Ovary
1300	female__Pituitary
1300	female__Salivary Gland
1300	female__Skin
1300	female__Spleen
1300	female__Thyroid
1301	female__Brain
1301	female__Nerve
1301	female__Ovary
1301	female__Pituitary
1301	female__Skin
1308	female__Breast
1308	female__Salivary Gland
1308	female__Skin
1308	female__Small Intestine
1308	female__Thyroid
1308	female__Vagina
1310	female__Bladder
1310	female__Esophagus
1310	female__Heart
1310	female__Pituitary
1310	female__Small Intestine
1310	female__Spleen
1339	female__Blood Vessel
1339	female__Heart
1339	female__Liver
1339	female__Muscle
1339	female__Pituitary
1339	female__Salivary Gland
1357	female__Pancreas
1358	female__Pancreas
1358	female__Small Intestine
1358	female__Stomach
1360	female__Adrenal Gland
1360	female__Pancreas
1360	female__Spleen
1361	female__Liver
1361	female__Lung
1361	female__Pancreas
1361	female__Thyroid
1369	female__Bladder
1369	female__Kidney
1369	female__Liver
1369	female__Pancreas
1370	female__Adipose Tissue
1370	female__Adrenal Gland
1370	female__Kidney
1370	female__Liver
1370	female__Spleen
1373	female__Liver
1373	female__Small Intestine
1378	female__Adipose Tissue
1378	female__Blood
1378	female__Kidney
1378	female__Lung
1378	female__Nerve
1378	female__Small Intestine
1378	female__Spleen
1379	female__Blood
1379	female__Kidney
1379	female__Lung
1379	female__Small Intestine
1379	female__Spleen
1380	female__Blood
1380	female__Breast
1380	female__Kidney
1380	female__Lung
1380	female__Salivary Gland
1380	female__Small Intestine
1380	female__Spleen
1380	female__Thyroid
1392	female__Brain
1392	female__Kidney
1392	female__Nerve
1392	female__Pancreas
1392	female__Pituitary
1392	female__Stomach
1394	female__Brain
1394	female__Breast
1394	female__Cervix Uteri
1394	female__Fallopian Tube
1394	female__Nerve
1394	female__Pituitary
1394	female__Skin
1394	female__Thyroid
1394	female__Uterus
1394	female__Vagina
1395	female__Pituitary
1395	female__Thyroid
1401	female__Bladder
1401	female__Cervix Uteri
1401	female__Fallopian Tube
1401	female__Liver
1401	female__Pancreas
1404	female__Blood Vessel
1404	female__Brain
1404	female__Colon
1404	female__Esophagus
1404	female__Heart
1404	female__Lung
1404	female__Salivary Gland
1404	female__Skin
1404	female__Small Intestine
1404	female__Stomach
1406	female__Liver
1409	female__Kidney
1409	female__Liver
1412	female__Adrenal Gland
1412	female__Brain
1412	female__Colon
1412	female__Esophagus
1412	female__Fallopian Tube
1412	female__Muscle
1412	female__Nerve
1412	female__Pancreas
1412	female__Pituitary
1412	female__Salivary Gland
1412	female__Small Intestine
1412	female__Stomach
1413	female__Small Intestine
1413	female__Spleen
1418	female__Brain
1421	female__Brain
1421	female__Fallopian Tube
1421	female__Ovary
1421	female__Pituitary
1421	female__Stomach
1437	female__Bladder
1437	female__Lung
1437	female__Spleen
1442	female__Pituitary
1443	female__Pituitary
1444	female__Pituitary
1446	female__Adipose Tissue
1446	female__Bladder
1446	female__Breast
1446	female__Colon
1446	female__Pancreas
1446	female__Salivary Gland
1446	female__Skin
1446	female__Small Intestine
1447	female__Salivary Gland
1448	female__Breast
1448	female__Salivary Gland
1463	female__Brain
1463	female__Cervix Uteri
1463	female__Colon
1463	female__Nerve
1463	female__Pituitary
1469	female__Bladder
1469	female__Fallopian Tube
1469	female__Nerve
1469	female__Salivary Gland
1470	female__Adipose Tissue
1470	female__Adrenal Gland
1470	female__Cervix Uteri
1470	female__Esophagus
1470	female__Fallopian Tube
1470	female__Lung
1470	female__Nerve
1470	female__Pancreas
1470	female__Pituitary
1470	female__Small Intestine
1470	female__Spleen
1470	female__Vagina
1472	female__Thyroid
1473	female__Adrenal Gland
1473	female__Bladder
1473	female__Esophagus
1473	female__Kidney
1473	female__Lung
1473	female__Pancreas
1474	female__Blood Vessel
1474	female__Lung
1474	female__Skin
1474	female__Thyroid
1474	female__Vagina
1482	female__Heart
1482	female__Pituitary
1482	female__Salivary Gland
1482	female__Spleen
1496	female__Adrenal Gland
1496	female__Brain
1496	female__Colon
1496	female__Esophagus
1496	female__Nerve
