entrez	group
83259	atrium-auricular-region_unknown_male
1311	atrium-auricular-region_unknown_male
6289	atrium-auricular-region_unknown_female
7060	atrium-auricular-region_unknown_male
107987337	atrium-auricular-region_unknown_male
2194	atrium-auricular-region_unknown_female
1149	atrium-auricular-region_unknown_female
7051	atrium-auricular-region_unknown_male
90665	atrium-auricular-region_unknown_male
4499	atrium-auricular-region_unknown_female
11012	atrium-auricular-region_unknown_male
84649	atrium-auricular-region_unknown_female
10216	atrium-auricular-region_unknown_male
7857	atrium-auricular-region_unknown_male
3991	atrium-auricular-region_unknown_female
4498	atrium-auricular-region_unknown_female
55200	atrium-auricular-region_unknown_female
84141	atrium-auricular-region_unknown_male
55908	atrium-auricular-region_unknown_female
246	atrium-auricular-region_unknown_male
220296	atrium-auricular-region_unknown_female
9966	atrium-auricular-region_unknown_male
4489	atrium-auricular-region_unknown_female
5346	atrium-auricular-region_unknown_female
5266	atrium-auricular-region_unknown_male
152831	atrium-auricular-region_unknown_female
246176	atrium-auricular-region_unknown_female
13	atrium-auricular-region_unknown_male
728113	atrium-auricular-region_unknown_male
51200	atrium-auricular-region_unknown_male
2205	atrium-auricular-region_unknown_male
101927686	atrium-auricular-region_unknown_male
10053	atrium-auricular-region_unknown_male
5950	atrium-auricular-region_unknown_female
80339	atrium-auricular-region_unknown_female
10249	atrium-auricular-region_unknown_female
400208	atrium-auricular-region_unknown_male
23620	atrium-auricular-region_unknown_female
83698	atrium-auricular-region_unknown_female
548596	atrium-auricular-region_unknown_female
6192	blood_unknown_male
7404	blood_unknown_male
8284	blood_unknown_male
5616	blood_unknown_male
9086	blood_unknown_male
8653	blood_unknown_male
286554	blood_unknown_male
246126	blood_unknown_male
83869	blood_unknown_male
7544	blood_unknown_male
8287	blood_unknown_male
7503	blood_unknown_female
105377068	blood_unknown_female
3434	blood_unknown_female
10562	blood_unknown_female
55138	blood_unknown_male
3880	blood_unknown_female
91543	blood_unknown_female
5909	blood_unknown_female
83715	blood_unknown_male
10964	blood_unknown_female
932	blood_unknown_female
55600	blood_unknown_female
8284	breast_unknown_male
8653	breast_unknown_male
246126	breast_unknown_male
8287	breast_unknown_male
