Entrez	tissue
100996385	adrenal_gland
100996876	adrenal_gland
1010	adrenal_gland
101060019	adrenal_gland
101410536	adrenal_gland
10164	adrenal_gland
101927416	adrenal_gland
101927476	adrenal_gland
101927482	adrenal_gland
101927497	adrenal_gland
101927512	adrenal_gland
101927539	adrenal_gland
101927543	adrenal_gland
101927554	adrenal_gland
101927586	adrenal_gland
101927642	adrenal_gland
101927653	adrenal_gland
101927671	adrenal_gland
101927694	adrenal_gland
101927780	adrenal_gland
101927787	adrenal_gland
101927795	adrenal_gland
101927832	adrenal_gland
101927873	adrenal_gland
101927934	adrenal_gland
101928002	adrenal_gland
101928035	adrenal_gland
101928141	adrenal_gland
101928158	adrenal_gland
101928303	adrenal_gland
101928416	adrenal_gland
101928461	adrenal_gland
101928571	adrenal_gland
101928601	adrenal_gland
101928677	adrenal_gland
101928765	adrenal_gland
101928773	adrenal_gland
101928941	adrenal_gland
101929282	adrenal_gland
101929602	adrenal_gland
101929626	adrenal_gland
101929733	adrenal_gland
101929989	adrenal_gland
102723487	adrenal_gland
102723617	adrenal_gland
102723692	adrenal_gland
102724373	adrenal_gland
102724589	adrenal_gland
102724691	adrenal_gland
10332	adrenal_gland
103344930	adrenal_gland
10368	adrenal_gland
103695435	adrenal_gland
10382	adrenal_gland
104413892	adrenal_gland
104533120	adrenal_gland
10517	adrenal_gland
105369413	adrenal_gland
105369758	adrenal_gland
105369848	adrenal_gland
105371184	adrenal_gland
105371485	adrenal_gland
105371708	adrenal_gland
105373051	adrenal_gland
105373352	adrenal_gland
105373377	adrenal_gland
105374057	adrenal_gland
105374177	adrenal_gland
105374338	adrenal_gland
105374484	adrenal_gland
105375013	adrenal_gland
105375706	adrenal_gland
105376955	adrenal_gland
105377736	adrenal_gland
105379194	adrenal_gland
105379301	adrenal_gland
10584	adrenal_gland
10595	adrenal_gland
10642	adrenal_gland
106456574	adrenal_gland
10686	adrenal_gland
10786	adrenal_gland
1081	adrenal_gland
10814	adrenal_gland
10842	adrenal_gland
10879	adrenal_gland
10880	adrenal_gland
10881	adrenal_gland
109729184	adrenal_gland
10993	adrenal_gland
110806280	adrenal_gland
110806303	adrenal_gland
1113	adrenal_gland
1114	adrenal_gland
112267871	adrenal_gland
11318	adrenal_gland
1135	adrenal_gland
1137	adrenal_gland
114132	adrenal_gland
1143	adrenal_gland
1144	adrenal_gland
114784	adrenal_gland
115861	adrenal_gland
116729	adrenal_gland
116931	adrenal_gland
117579	adrenal_gland
120935	adrenal_gland
124590	adrenal_gland
124857	adrenal_gland
124872	adrenal_gland
125931	adrenal_gland
126755	adrenal_gland
126820	adrenal_gland
126859	adrenal_gland
127254	adrenal_gland
127255	adrenal_gland
127343	adrenal_gland
128209	adrenal_gland
128229	adrenal_gland
128864	adrenal_gland
129025	adrenal_gland
13	adrenal_gland
130013	adrenal_gland
130106	adrenal_gland
130120	adrenal_gland
131540	adrenal_gland
133491	adrenal_gland
135886	adrenal_gland
1360	adrenal_gland
136227	adrenal_gland
136259	adrenal_gland
136306	adrenal_gland
1370	adrenal_gland
138046	adrenal_gland
139189	adrenal_gland
139212	adrenal_gland
140683	adrenal_gland
140689	adrenal_gland
140883	adrenal_gland
1412	adrenal_gland
143425	adrenal_gland
144193	adrenal_gland
144195	adrenal_gland
144453	adrenal_gland
145195	adrenal_gland
145226	adrenal_gland
146167	adrenal_gland
146183	adrenal_gland
146336	adrenal_gland
1470	adrenal_gland
1473	adrenal_gland
148229	adrenal_gland
149018	adrenal_gland
149086	adrenal_gland
149233	adrenal_gland
1496	adrenal_gland
150142	adrenal_gland
150165	adrenal_gland
151647	adrenal_gland
151835	adrenal_gland
153218	adrenal_gland
154313	adrenal_gland
1558	adrenal_gland
157570	adrenal_gland
1576	adrenal_gland
1583	adrenal_gland
1584	adrenal_gland
158401	adrenal_gland
1585	adrenal_gland
1586	adrenal_gland
158763	adrenal_gland
1589	adrenal_gland
159989	adrenal_gland
160728	adrenal_gland
161436	adrenal_gland
163933	adrenal_gland
164127	adrenal_gland
1644	adrenal_gland
164633	adrenal_gland
169966	adrenal_gland
170261	adrenal_gland
170850	adrenal_gland
174	adrenal_gland
1807	adrenal_gland
181	adrenal_gland
189	adrenal_gland
190	adrenal_gland
197350	adrenal_gland
1990	adrenal_gland
1995	adrenal_gland
199699	adrenal_gland
200150	adrenal_gland
200373	adrenal_gland
200504	adrenal_gland
200844	adrenal_gland
201456	adrenal_gland
201625	adrenal_gland
201651	adrenal_gland
2019	adrenal_gland
202559	adrenal_gland
203076	adrenal_gland
203447	adrenal_gland
2046	adrenal_gland
205860	adrenal_gland
2104	adrenal_gland
2128	adrenal_gland
2169	adrenal_gland
2172	adrenal_gland
219527	adrenal_gland
219578	adrenal_gland
219995	adrenal_gland
220032	adrenal_gland
2201	adrenal_gland
220416	adrenal_gland
221223	adrenal_gland
221393	adrenal_gland
221424	adrenal_gland
221468	adrenal_gland
222008	adrenal_gland
222546	adrenal_gland
2266	adrenal_gland
22843	adrenal_gland
229	adrenal_gland
23025	adrenal_gland
23101	adrenal_gland
23205	adrenal_gland
23251	adrenal_gland
23305	adrenal_gland
23532	adrenal_gland
23615	adrenal_gland
23619	adrenal_gland
23620	adrenal_gland
23732	adrenal_gland
246213	adrenal_gland
2516	adrenal_gland
253017	adrenal_gland
253314	adrenal_gland
254158	adrenal_gland
254439	adrenal_gland
2554	adrenal_gland
255928	adrenal_gland
2561	adrenal_gland
256130	adrenal_gland
2563	adrenal_gland
256536	adrenal_gland
2566	adrenal_gland
2571	adrenal_gland
257169	adrenal_gland
25774	adrenal_gland
26212	adrenal_gland
2626	adrenal_gland
26291	adrenal_gland
2646	adrenal_gland
26659	adrenal_gland
26664	adrenal_gland
269	adrenal_gland
27136	adrenal_gland
27159	adrenal_gland
27181	adrenal_gland
27197	adrenal_gland
27255	adrenal_gland
27290	adrenal_gland
2747	adrenal_gland
