gene_id	go_id
55755	GO:1902903
55845	GO:1902903
55971	GO:1902903
56203	GO:1902903
5663	GO:1902903
57026	GO:1902903
57175	GO:1902903
57482	GO:1902903
57551	GO:1902903
57606	GO:1902903
57662	GO:1902903
5829	GO:1902903
58497	GO:1902903
5879	GO:1902903
5921	GO:1902903
5962	GO:1902903
5987	GO:1902903
6093	GO:1902903
6188	GO:1902903
6249	GO:1902903
6281	GO:1902903
6314	GO:1902903
6356	GO:1902903
6366	GO:1902903
6369	GO:1902903
6376	GO:1902903
6387	GO:1902903
64857	GO:1902903
6548	GO:1902903
6622	GO:1902903
6904	GO:1902903
7016	GO:1902903
7043	GO:1902903
71	GO:1902903
7114	GO:1902903
7248	GO:1902903
7408	GO:1902903
7429	GO:1902903
7454	GO:1902903
7481	GO:1902903
7840	GO:1902903
79709	GO:1902903
7984	GO:1902903
79998	GO:1902903
8440	GO:1902903
8477	GO:1902903
84952	GO:1902903
8500	GO:1902903
85477	GO:1902903
859	GO:1902903
88	GO:1902903
8829	GO:1902903
8936	GO:1902903
89795	GO:1902903
90102	GO:1902903
9026	GO:1902903
9087	GO:1902903
90952	GO:1902903
9113	GO:1902903
91663	GO:1902903
9181	GO:1902903
9353	GO:1902903
93663	GO:1902903
9475	GO:1902903
9639	GO:1902903
9647	GO:1902903
9793	GO:1902903
9873	GO:1902903
9948	GO:1902903
998	GO:1902903
10008	GO:0010959
10142	GO:0010959
10268	GO:0010959
10288	GO:0010959
10345	GO:0010959
10681	GO:0010959
10768	GO:0010959
10859	GO:0010959
11027	GO:0010959
11060	GO:0010959
11261	GO:0010959
115352	GO:0010959
1193	GO:0010959
1230	GO:0010959
126755	GO:0010959
130497	GO:0010959
1394	GO:0010959
144245	GO:0010959
1499	GO:0010959
150684	GO:0010959
151651	GO:0010959
1729	GO:0010959
1739	GO:0010959
1804	GO:0010959
1812	GO:0010959
1815	GO:0010959
187	GO:0010959
1950	GO:0010959
196051	GO:0010959
196996	GO:0010959
2056	GO:0010959
2147	GO:0010959
2149	GO:0010959
2185	GO:0010959
219527	GO:0010959
